i,c,id,s,f
UnitedHealthcare,Coffee County,"Coffee, AL",AL,01031
Blue Cross and Blue Shield of Alabama,Coffee County,"Coffee, AL",AL,01031
UnitedHealthcare,Colbert County,"Colbert, AL",AL,01033
Blue Cross and Blue Shield of Alabama,Colbert County,"Colbert, AL",AL,01033
UnitedHealthcare,Conecuh County,"Conecuh, AL",AL,01035
Blue Cross and Blue Shield of Alabama,Conecuh County,"Conecuh, AL",AL,01035
UnitedHealthcare,Coosa County,"Coosa, AL",AL,01037
Blue Cross and Blue Shield of Alabama,Coosa County,"Coosa, AL",AL,01037
UnitedHealthcare,Covington County,"Covington, AL",AL,01039
Blue Cross and Blue Shield of Alabama,Covington County,"Covington, AL",AL,01039
UnitedHealthcare,Crenshaw County,"Crenshaw, AL",AL,01041
Blue Cross and Blue Shield of Alabama,Crenshaw County,"Crenshaw, AL",AL,01041
Blue Cross and Blue Shield of Alabama,Cullman County,"Cullman, AL",AL,01043
UnitedHealthcare,Cullman County,"Cullman, AL",AL,01043
Blue Cross and Blue Shield of Alabama,Dale County,"Dale, AL",AL,01045
UnitedHealthcare,Dale County,"Dale, AL",AL,01045
Blue Cross and Blue Shield of Alabama,Dallas County,"Dallas, AL",AL,01047
UnitedHealthcare,Dallas County,"Dallas, AL",AL,01047
Blue Cross and Blue Shield of Alabama,DeKalb County,"DeKalb, AL",AL,01049
UnitedHealthcare,DeKalb County,"DeKalb, AL",AL,01049
UnitedHealthcare,Elmore County,"Elmore, AL",AL,01051
Blue Cross and Blue Shield of Alabama,Elmore County,"Elmore, AL",AL,01051
UnitedHealthcare,Escambia County,"Escambia, AL",AL,01053
Blue Cross and Blue Shield of Alabama,Escambia County,"Escambia, AL",AL,01053
UnitedHealthcare,Etowah County,"Etowah, AL",AL,01055
Blue Cross and Blue Shield of Alabama,Etowah County,"Etowah, AL",AL,01055
UnitedHealthcare,Fayette County,"Fayette, AL",AL,01057
Blue Cross and Blue Shield of Alabama,Fayette County,"Fayette, AL",AL,01057
UnitedHealthcare,Franklin County,"Franklin, AL",AL,01059
Blue Cross and Blue Shield of Alabama,Franklin County,"Franklin, AL",AL,01059
UnitedHealthcare,Geneva County,"Geneva, AL",AL,01061
Blue Cross and Blue Shield of Alabama,Geneva County,"Geneva, AL",AL,01061
Blue Cross and Blue Shield of Alabama,Greene County,"Greene, AL",AL,01063
UnitedHealthcare,Greene County,"Greene, AL",AL,01063
UnitedHealthcare,Hale County,"Hale, AL",AL,01065
Blue Cross and Blue Shield of Alabama,Hale County,"Hale, AL",AL,01065
UnitedHealthcare,Henry County,"Henry, AL",AL,01067
Blue Cross and Blue Shield of Alabama,Henry County,"Henry, AL",AL,01067
Blue Cross and Blue Shield of Alabama,Houston County,"Houston, AL",AL,01069
UnitedHealthcare,Houston County,"Houston, AL",AL,01069
UnitedHealthcare,Jackson County,"Jackson, AL",AL,01071
Blue Cross and Blue Shield of Alabama,Jackson County,"Jackson, AL",AL,01071
Blue Cross and Blue Shield of Alabama,Jefferson County,"Jefferson, AL",AL,01073
UnitedHealthcare,Jefferson County,"Jefferson, AL",AL,01073
"Humana, Inc.",Jefferson County,"Jefferson, AL",AL,01073
UnitedHealthcare,Lamar County,"Lamar, AL",AL,01075
Blue Cross and Blue Shield of Alabama,Lamar County,"Lamar, AL",AL,01075
UnitedHealthcare,Lauderdale County,"Lauderdale, AL",AL,01077
Blue Cross and Blue Shield of Alabama,Lauderdale County,"Lauderdale, AL",AL,01077
UnitedHealthcare,Lawrence County,"Lawrence, AL",AL,01079
Blue Cross and Blue Shield of Alabama,Lawrence County,"Lawrence, AL",AL,01079
UnitedHealthcare,Lee County,"Lee, AL",AL,01081
Blue Cross and Blue Shield of Alabama,Lee County,"Lee, AL",AL,01081
Blue Cross and Blue Shield of Alabama,Limestone County,"Limestone, AL",AL,01083
UnitedHealthcare,Limestone County,"Limestone, AL",AL,01083
Blue Cross and Blue Shield of Alabama,Lowndes County,"Lowndes, AL",AL,01085
UnitedHealthcare,Lowndes County,"Lowndes, AL",AL,01085
Blue Cross and Blue Shield of Alabama,Macon County,"Macon, AL",AL,01087
UnitedHealthcare,Macon County,"Macon, AL",AL,01087
Blue Cross and Blue Shield of Alabama,Madison County,"Madison, AL",AL,01089
"Humana, Inc.",Madison County,"Madison, AL",AL,01089
UnitedHealthcare,Madison County,"Madison, AL",AL,01089
Blue Cross and Blue Shield of Alabama,Marengo County,"Marengo, AL",AL,01091
UnitedHealthcare,Marengo County,"Marengo, AL",AL,01091
UnitedHealthcare,Marion County,"Marion, AL",AL,01093
Blue Cross and Blue Shield of Alabama,Marion County,"Marion, AL",AL,01093
Blue Cross and Blue Shield of Alabama,Marshall County,"Marshall, AL",AL,01095
UnitedHealthcare,Marshall County,"Marshall, AL",AL,01095
Blue Cross and Blue Shield of Alabama,Mobile County,"Mobile, AL",AL,01097
UnitedHealthcare,Mobile County,"Mobile, AL",AL,01097
UnitedHealthcare,Monroe County,"Monroe, AL",AL,01099
Blue Cross and Blue Shield of Alabama,Monroe County,"Monroe, AL",AL,01099
UnitedHealthcare,Montgomery County,"Montgomery, AL",AL,01101
Blue Cross and Blue Shield of Alabama,Montgomery County,"Montgomery, AL",AL,01101
Blue Cross and Blue Shield of Alabama,Morgan County,"Morgan, AL",AL,01103
UnitedHealthcare,Morgan County,"Morgan, AL",AL,01103
Blue Cross and Blue Shield of Alabama,Perry County,"Perry, AL",AL,01105
UnitedHealthcare,Perry County,"Perry, AL",AL,01105
UnitedHealthcare,Pickens County,"Pickens, AL",AL,01107
Blue Cross and Blue Shield of Alabama,Pickens County,"Pickens, AL",AL,01107
UnitedHealthcare,Pike County,"Pike, AL",AL,01109
Blue Cross and Blue Shield of Alabama,Pike County,"Pike, AL",AL,01109
Blue Cross and Blue Shield of Alabama,Randolph County,"Randolph, AL",AL,01111
UnitedHealthcare,Randolph County,"Randolph, AL",AL,01111
UnitedHealthcare,Russell County,"Russell, AL",AL,01113
Blue Cross and Blue Shield of Alabama,Russell County,"Russell, AL",AL,01113
Blue Cross and Blue Shield of Alabama,St. Clair County,"St. Clair, AL",AL,01115
UnitedHealthcare,St. Clair County,"St. Clair, AL",AL,01115
Blue Cross and Blue Shield of Alabama,Shelby County,"Shelby, AL",AL,01117
UnitedHealthcare,Shelby County,"Shelby, AL",AL,01117
"Humana, Inc.",Shelby County,"Shelby, AL",AL,01117
Blue Cross and Blue Shield of Alabama,Sumter County,"Sumter, AL",AL,01119
UnitedHealthcare,Sumter County,"Sumter, AL",AL,01119
UnitedHealthcare,Talladega County,"Talladega, AL",AL,01121
Blue Cross and Blue Shield of Alabama,Talladega County,"Talladega, AL",AL,01121
UnitedHealthcare,Tallapoosa County,"Tallapoosa, AL",AL,01123
Blue Cross and Blue Shield of Alabama,Tallapoosa County,"Tallapoosa, AL",AL,01123
Blue Cross and Blue Shield of Alabama,Tuscaloosa County,"Tuscaloosa, AL",AL,01125
UnitedHealthcare,Tuscaloosa County,"Tuscaloosa, AL",AL,01125
Blue Cross and Blue Shield of Alabama,Walker County,"Walker, AL",AL,01127
UnitedHealthcare,Walker County,"Walker, AL",AL,01127
Blue Cross and Blue Shield of Alabama,Washington County,"Washington, AL",AL,01129
UnitedHealthcare,Washington County,"Washington, AL",AL,01129
UnitedHealthcare,Wilcox County,"Wilcox, AL",AL,01131
Blue Cross and Blue Shield of Alabama,Wilcox County,"Wilcox, AL",AL,01131
Blue Cross and Blue Shield of Alabama,Winston County,"Winston, AL",AL,01133
UnitedHealthcare,Winston County,"Winston, AL",AL,01133
Moda Health,Aleutians East Borough,"Aleutians East, AK",AK,02013
Premera Blue Cross Blue Shield of Alaska,Aleutians East Borough,"Aleutians East, AK",AK,02013
Moda Health,Aleutians West Census Area,"Aleutians West Census, AK",AK,02016
Premera Blue Cross Blue Shield of Alaska,Aleutians West Census Area,"Aleutians West Census, AK",AK,02016
Moda Health,Anchorage Municipality,"Anchorage, AK",AK,02020
Premera Blue Cross Blue Shield of Alaska,Anchorage Municipality,"Anchorage, AK",AK,02020
Moda Health,Bethel Census Area,"Bethel Census, AK",AK,02050
Premera Blue Cross Blue Shield of Alaska,Bethel Census Area,"Bethel Census, AK",AK,02050
Moda Health,Bristol Bay Borough,"Bristol Bay, AK",AK,02060
Premera Blue Cross Blue Shield of Alaska,Bristol Bay Borough,"Bristol Bay, AK",AK,02060
Moda Health,Denali Borough,"Denali, AK",AK,02068
Premera Blue Cross Blue Shield of Alaska,Denali Borough,"Denali, AK",AK,02068
Moda Health,Dillingham Census Area,"Dillingham Census, AK",AK,02070
Premera Blue Cross Blue Shield of Alaska,Dillingham Census Area,"Dillingham Census, AK",AK,02070
Moda Health,Fairbanks North Star Borough,"Fairbanks North Star, AK",AK,02090
Premera Blue Cross Blue Shield of Alaska,Fairbanks North Star Borough,"Fairbanks North Star, AK",AK,02090
Moda Health,Haines Borough,"Haines, AK",AK,02100
Premera Blue Cross Blue Shield of Alaska,Haines Borough,"Haines, AK",AK,02100
Moda Health,Hoonah-Angoon Census Area,"Hoonah-Angoon Census, AK",AK,02105
Premera Blue Cross Blue Shield of Alaska,Hoonah-Angoon Census Area,"Hoonah-Angoon Census, AK",AK,02105
Premera Blue Cross Blue Shield of Alaska,Juneau City and Borough,"Juneau City and, AK",AK,02110
Moda Health,Juneau City and Borough,"Juneau City and, AK",AK,02110
Moda Health,Kenai Peninsula Borough,"Kenai Peninsula, AK",AK,02122
Premera Blue Cross Blue Shield of Alaska,Kenai Peninsula Borough,"Kenai Peninsula, AK",AK,02122
Moda Health,Ketchikan Gateway Borough,"Ketchikan Gateway, AK",AK,02130
Premera Blue Cross Blue Shield of Alaska,Ketchikan Gateway Borough,"Ketchikan Gateway, AK",AK,02130
Premera Blue Cross Blue Shield of Alaska,Kodiak Island Borough,"Kodiak Island, AK",AK,02150
Moda Health,Kodiak Island Borough,"Kodiak Island, AK",AK,02150
Premera Blue Cross Blue Shield of Alaska,Lake and Peninsula Borough,"Lake and Peninsula, AK",AK,02164
Moda Health,Lake and Peninsula Borough,"Lake and Peninsula, AK",AK,02164
Moda Health,Matanuska-Susitna Borough,"Matanuska-Susitna, AK",AK,02170
Premera Blue Cross Blue Shield of Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna, AK",AK,02170
Moda Health,Nome Census Area,"Nome Census, AK",AK,02180
Premera Blue Cross Blue Shield of Alaska,Nome Census Area,"Nome Census, AK",AK,02180
Moda Health,North Slope Borough,"North Slope, AK",AK,02185
Premera Blue Cross Blue Shield of Alaska,North Slope Borough,"North Slope, AK",AK,02185
Moda Health,Northwest Arctic Borough,"Northwest Arctic, AK",AK,02188
Premera Blue Cross Blue Shield of Alaska,Northwest Arctic Borough,"Northwest Arctic, AK",AK,02188
Moda Health,Petersburg Census Area,"Petersburg Census, AK",AK,02195
Premera Blue Cross Blue Shield of Alaska,Petersburg Census Area,"Petersburg Census, AK",AK,02195
Premera Blue Cross Blue Shield of Alaska,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census, AK",AK,02198
Moda Health,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census, AK",AK,02198
Premera Blue Cross Blue Shield of Alaska,Sitka City and Borough,"Sitka City and, AK",AK,02220
Moda Health,Sitka City and Borough,"Sitka City and, AK",AK,02220
Premera Blue Cross Blue Shield of Alaska,Skagway Municipality,"Skagway, AK",AK,02230
Moda Health,Skagway Municipality,"Skagway, AK",AK,02230
Moda Health,Southeast Fairbanks Census Area,"Southeast Fairbanks Census, AK",AK,02240
Premera Blue Cross Blue Shield of Alaska,Southeast Fairbanks Census Area,"Southeast Fairbanks Census, AK",AK,02240
Moda Health,Valdez-Cordova Census Area,"Valdez-Cordova Census, AK",AK,02261
Premera Blue Cross Blue Shield of Alaska,Valdez-Cordova Census Area,"Valdez-Cordova Census, AK",AK,02261
Moda Health,Wade Hampton Census Area,"Wade Hampton Census, AK",AK,02270
Premera Blue Cross Blue Shield of Alaska,Wade Hampton Census Area,"Wade Hampton Census, AK",AK,02270
Moda Health,Wrangell City and Borough,"Wrangell City and, AK",AK,02275
Premera Blue Cross Blue Shield of Alaska,Wrangell City and Borough,"Wrangell City and, AK",AK,02275
Premera Blue Cross Blue Shield of Alaska,Yakutat City and Borough,"Yakutat City and, AK",AK,02282
Moda Health,Yakutat City and Borough,"Yakutat City and, AK",AK,02282
Premera Blue Cross Blue Shield of Alaska,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census, AK",AK,02290
Moda Health,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census, AK",AK,02290
Health Net,Apache County,"Apache, AZ",AZ,04001
MERITUS MUTUAL HEALTH PARTNERS,Apache County,"Apache, AZ",AZ,04001
Health Choice Insurance Co.,Apache County,"Apache, AZ",AZ,04001
Aetna,Apache County,"Apache, AZ",AZ,04001
Cigna Healthcare,Apache County,"Apache, AZ",AZ,04001
"Blue Cross Blue Shield of Arizona, Inc.",Apache County,"Apache, AZ",AZ,04001
United Health One,Apache County,"Apache, AZ",AZ,04001
MERITUS MUTUAL HEALTH PARTNERS,Cochise County,"Cochise, AZ",AZ,04003
University of Arizona Health Plans - University Healthcare Marketplace,Cochise County,"Cochise, AZ",AZ,04003
Health Net,Cochise County,"Cochise, AZ",AZ,04003
United Health One,Cochise County,"Cochise, AZ",AZ,04003
Cigna Healthcare,Cochise County,"Cochise, AZ",AZ,04003
Aetna,Cochise County,"Cochise, AZ",AZ,04003
"Blue Cross Blue Shield of Arizona, Inc.",Cochise County,"Cochise, AZ",AZ,04003
Health Net,Coconino County,"Coconino, AZ",AZ,04005
United Health One,Coconino County,"Coconino, AZ",AZ,04005
Aetna,Coconino County,"Coconino, AZ",AZ,04005
MERITUS MUTUAL HEALTH PARTNERS,Coconino County,"Coconino, AZ",AZ,04005
"Blue Cross Blue Shield of Arizona, Inc.",Coconino County,"Coconino, AZ",AZ,04005
Health Choice Insurance Co.,Coconino County,"Coconino, AZ",AZ,04005
Cigna Healthcare,Coconino County,"Coconino, AZ",AZ,04005
MERITUS MUTUAL HEALTH PARTNERS,Gila County,"Gila, AZ",AZ,04007
Health Net,Gila County,"Gila, AZ",AZ,04007
United Health One,Gila County,"Gila, AZ",AZ,04007
"Blue Cross Blue Shield of Arizona, Inc.",Gila County,"Gila, AZ",AZ,04007
Health Choice Insurance Co.,Gila County,"Gila, AZ",AZ,04007
Cigna Healthcare,Gila County,"Gila, AZ",AZ,04007
Aetna,Gila County,"Gila, AZ",AZ,04007
Health Net,Graham County,"Graham, AZ",AZ,04009
Cigna Healthcare,Graham County,"Graham, AZ",AZ,04009
MERITUS MUTUAL HEALTH PARTNERS,Graham County,"Graham, AZ",AZ,04009
Aetna,Graham County,"Graham, AZ",AZ,04009
University of Arizona Health Plans - University Healthcare Marketplace,Graham County,"Graham, AZ",AZ,04009
United Health One,Graham County,"Graham, AZ",AZ,04009
"Blue Cross Blue Shield of Arizona, Inc.",Graham County,"Graham, AZ",AZ,04009
MERITUS MUTUAL HEALTH PARTNERS,Greenlee County,"Greenlee, AZ",AZ,04011
Cigna Healthcare,Greenlee County,"Greenlee, AZ",AZ,04011
United Health One,Greenlee County,"Greenlee, AZ",AZ,04011
University of Arizona Health Plans - University Healthcare Marketplace,Greenlee County,"Greenlee, AZ",AZ,04011
"Blue Cross Blue Shield of Arizona, Inc.",Greenlee County,"Greenlee, AZ",AZ,04011
Aetna,Greenlee County,"Greenlee, AZ",AZ,04011
Health Net,Greenlee County,"Greenlee, AZ",AZ,04011
"Blue Cross Blue Shield of Arizona, Inc.",La Paz County,"La Paz, AZ",AZ,04012
MERITUS MUTUAL HEALTH PARTNERS,La Paz County,"La Paz, AZ",AZ,04012
Cigna Healthcare,La Paz County,"La Paz, AZ",AZ,04012
Aetna,La Paz County,"La Paz, AZ",AZ,04012
United Health One,La Paz County,"La Paz, AZ",AZ,04012
Health Net,La Paz County,"La Paz, AZ",AZ,04012
University of Arizona Health Plans - University Healthcare Marketplace,La Paz County,"La Paz, AZ",AZ,04012
MERITUS MUTUAL HEALTH PARTNERS,Maricopa County,"Maricopa, AZ",AZ,04013
Health Net,Maricopa County,"Maricopa, AZ",AZ,04013
United Health One,Maricopa County,"Maricopa, AZ",AZ,04013
"Humana, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
University of Arizona Health Plans - University Healthcare Marketplace,Maricopa County,"Maricopa, AZ",AZ,04013
Meritus Health Partners,Maricopa County,"Maricopa, AZ",AZ,04013
Health Choice Insurance Co.,Maricopa County,"Maricopa, AZ",AZ,04013
"Phoenix Health Plans, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
"Blue Cross Blue Shield of Arizona, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
Aetna,Maricopa County,"Maricopa, AZ",AZ,04013
Cigna Healthcare,Maricopa County,"Maricopa, AZ",AZ,04013
Aetna,Mohave County,"Mohave, AZ",AZ,04015
Cigna Healthcare,Mohave County,"Mohave, AZ",AZ,04015
MERITUS MUTUAL HEALTH PARTNERS,Mohave County,"Mohave, AZ",AZ,04015
Meritus Health Partners,Mohave County,"Mohave, AZ",AZ,04015
Health Choice Insurance Co.,Mohave County,"Mohave, AZ",AZ,04015
"Blue Cross Blue Shield of Arizona, Inc.",Mohave County,"Mohave, AZ",AZ,04015
United Health One,Mohave County,"Mohave, AZ",AZ,04015
Health Net,Mohave County,"Mohave, AZ",AZ,04015
Aetna,Navajo County,"Navajo, AZ",AZ,04017
MERITUS MUTUAL HEALTH PARTNERS,Navajo County,"Navajo, AZ",AZ,04017
United Health One,Navajo County,"Navajo, AZ",AZ,04017
Health Net,Navajo County,"Navajo, AZ",AZ,04017
Health Choice Insurance Co.,Navajo County,"Navajo, AZ",AZ,04017
Cigna Healthcare,Navajo County,"Navajo, AZ",AZ,04017
"Blue Cross Blue Shield of Arizona, Inc.",Navajo County,"Navajo, AZ",AZ,04017
University of Arizona Health Plans - University Healthcare Marketplace,Pima County,"Pima, AZ",AZ,04019
United Health One,Pima County,"Pima, AZ",AZ,04019
MERITUS MUTUAL HEALTH PARTNERS,Pima County,"Pima, AZ",AZ,04019
"Blue Cross Blue Shield of Arizona, Inc.",Pima County,"Pima, AZ",AZ,04019
Health Choice Insurance Co.,Pima County,"Pima, AZ",AZ,04019
"Humana, Inc.",Pima County,"Pima, AZ",AZ,04019
Meritus Health Partners,Pima County,"Pima, AZ",AZ,04019
Health Net,Pima County,"Pima, AZ",AZ,04019
Aetna,Pima County,"Pima, AZ",AZ,04019
Cigna Healthcare,Pima County,"Pima, AZ",AZ,04019
University of Arizona Health Plans - University Healthcare Marketplace,Pinal County,"Pinal, AZ",AZ,04021
"Blue Cross Blue Shield of Arizona, Inc.",Pinal County,"Pinal, AZ",AZ,04021
MERITUS MUTUAL HEALTH PARTNERS,Pinal County,"Pinal, AZ",AZ,04021
Health Choice Insurance Co.,Pinal County,"Pinal, AZ",AZ,04021
Aetna,Pinal County,"Pinal, AZ",AZ,04021
Health Net,Pinal County,"Pinal, AZ",AZ,04021
Cigna Healthcare,Pinal County,"Pinal, AZ",AZ,04021
United Health One,Pinal County,"Pinal, AZ",AZ,04021
"Blue Cross Blue Shield of Arizona, Inc.",Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Cigna Healthcare,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
United Health One,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
University of Arizona Health Plans - University Healthcare Marketplace,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
MERITUS MUTUAL HEALTH PARTNERS,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Meritus Health Partners,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Health Net,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Aetna,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
MERITUS MUTUAL HEALTH PARTNERS,Yavapai County,"Yavapai, AZ",AZ,04025
Aetna,Yavapai County,"Yavapai, AZ",AZ,04025
Cigna Healthcare,Yavapai County,"Yavapai, AZ",AZ,04025
Health Net,Yavapai County,"Yavapai, AZ",AZ,04025
University of Arizona Health Plans - University Healthcare Marketplace,Yavapai County,"Yavapai, AZ",AZ,04025
United Health One,Yavapai County,"Yavapai, AZ",AZ,04025
"Blue Cross Blue Shield of Arizona, Inc.",Yavapai County,"Yavapai, AZ",AZ,04025
United Health One,Yuma County,"Yuma, AZ",AZ,04027
Health Net,Yuma County,"Yuma, AZ",AZ,04027
Cigna Healthcare,Yuma County,"Yuma, AZ",AZ,04027
"Blue Cross Blue Shield of Arizona, Inc.",Yuma County,"Yuma, AZ",AZ,04027
MERITUS MUTUAL HEALTH PARTNERS,Yuma County,"Yuma, AZ",AZ,04027
University of Arizona Health Plans - University Healthcare Marketplace,Yuma County,"Yuma, AZ",AZ,04027
Aetna,Yuma County,"Yuma, AZ",AZ,04027
QC Life and Health,Arkansas County,"Arkansas, AR",AR,05001
QualChoice Health Insurance,Arkansas County,"Arkansas, AR",AR,05001
Ambetter of Arkansas,Arkansas County,"Arkansas, AR",AR,05001
Arkansas Blue Cross and Blue Shield,Arkansas County,"Arkansas, AR",AR,05001
Arkansas Blue Cross and Blue Shield,Ashley County,"Ashley, AR",AR,05003
QC Life and Health,Ashley County,"Ashley, AR",AR,05003
QualChoice Health Insurance,Ashley County,"Ashley, AR",AR,05003
Ambetter of Arkansas,Ashley County,"Ashley, AR",AR,05003
Arkansas Blue Cross and Blue Shield,Baxter County,"Baxter, AR",AR,05005
QualChoice Health Insurance,Baxter County,"Baxter, AR",AR,05005
QC Life and Health,Baxter County,"Baxter, AR",AR,05005
Ambetter of Arkansas,Baxter County,"Baxter, AR",AR,05005
QualChoice Health Insurance,Benton County,"Benton, AR",AR,05007
QC Life and Health,Benton County,"Benton, AR",AR,05007
Ambetter of Arkansas,Benton County,"Benton, AR",AR,05007
Arkansas Blue Cross and Blue Shield,Benton County,"Benton, AR",AR,05007
Ambetter of Arkansas,Boone County,"Boone, AR",AR,05009
QC Life and Health,Boone County,"Boone, AR",AR,05009
QualChoice Health Insurance,Boone County,"Boone, AR",AR,05009
Arkansas Blue Cross and Blue Shield,Boone County,"Boone, AR",AR,05009
Arkansas Blue Cross and Blue Shield,Bradley County,"Bradley, AR",AR,05011
Ambetter of Arkansas,Bradley County,"Bradley, AR",AR,05011
QualChoice Health Insurance,Bradley County,"Bradley, AR",AR,05011
QC Life and Health,Bradley County,"Bradley, AR",AR,05011
Ambetter of Arkansas,Calhoun County,"Calhoun, AR",AR,05013
QC Life and Health,Calhoun County,"Calhoun, AR",AR,05013
QualChoice Health Insurance,Calhoun County,"Calhoun, AR",AR,05013
Arkansas Blue Cross and Blue Shield,Calhoun County,"Calhoun, AR",AR,05013
Arkansas Blue Cross and Blue Shield,Carroll County,"Carroll, AR",AR,05015
QualChoice Health Insurance,Carroll County,"Carroll, AR",AR,05015
Ambetter of Arkansas,Carroll County,"Carroll, AR",AR,05015
QC Life and Health,Carroll County,"Carroll, AR",AR,05015
Arkansas Blue Cross and Blue Shield,Chicot County,"Chicot, AR",AR,05017
QualChoice Health Insurance,Chicot County,"Chicot, AR",AR,05017
Ambetter of Arkansas,Chicot County,"Chicot, AR",AR,05017
QC Life and Health,Chicot County,"Chicot, AR",AR,05017
QualChoice Health Insurance,Clark County,"Clark, AR",AR,05019
Arkansas Blue Cross and Blue Shield,Clark County,"Clark, AR",AR,05019
QC Life and Health,Clark County,"Clark, AR",AR,05019
Ambetter of Arkansas,Clark County,"Clark, AR",AR,05019
Arkansas Blue Cross and Blue Shield,Clay County,"Clay, AR",AR,05021
QualChoice Health Insurance,Clay County,"Clay, AR",AR,05021
Ambetter of Arkansas,Clay County,"Clay, AR",AR,05021
QC Life and Health,Clay County,"Clay, AR",AR,05021
QC Life and Health,Cleburne County,"Cleburne, AR",AR,05023
Ambetter of Arkansas,Cleburne County,"Cleburne, AR",AR,05023
QualChoice Health Insurance,Cleburne County,"Cleburne, AR",AR,05023
Arkansas Blue Cross and Blue Shield,Cleburne County,"Cleburne, AR",AR,05023
Arkansas Blue Cross and Blue Shield,Cleveland County,"Cleveland, AR",AR,05025
QC Life and Health,Cleveland County,"Cleveland, AR",AR,05025
Ambetter of Arkansas,Cleveland County,"Cleveland, AR",AR,05025
QualChoice Health Insurance,Cleveland County,"Cleveland, AR",AR,05025
QualChoice Health Insurance,Columbia County,"Columbia, AR",AR,05027
Arkansas Blue Cross and Blue Shield,Columbia County,"Columbia, AR",AR,05027
Ambetter of Arkansas,Columbia County,"Columbia, AR",AR,05027
QC Life and Health,Columbia County,"Columbia, AR",AR,05027
Arkansas Blue Cross and Blue Shield,Conway County,"Conway, AR",AR,05029
Ambetter of Arkansas,Conway County,"Conway, AR",AR,05029
QualChoice Health Insurance,Conway County,"Conway, AR",AR,05029
QC Life and Health,Conway County,"Conway, AR",AR,05029
QualChoice Health Insurance,Craighead County,"Craighead, AR",AR,05031
Ambetter of Arkansas,Craighead County,"Craighead, AR",AR,05031
QC Life and Health,Craighead County,"Craighead, AR",AR,05031
Arkansas Blue Cross and Blue Shield,Craighead County,"Craighead, AR",AR,05031
QualChoice Health Insurance,Crawford County,"Crawford, AR",AR,05033
QC Life and Health,Crawford County,"Crawford, AR",AR,05033
Arkansas Blue Cross and Blue Shield,Crawford County,"Crawford, AR",AR,05033
Ambetter of Arkansas,Crawford County,"Crawford, AR",AR,05033
QualChoice Health Insurance,Crittenden County,"Crittenden, AR",AR,05035
QC Life and Health,Crittenden County,"Crittenden, AR",AR,05035
Arkansas Blue Cross and Blue Shield,Crittenden County,"Crittenden, AR",AR,05035
