i,c,id,s,f
Blue Cross and Blue Shield of Alabama,Lawrence County,"Lawrence, AL",AL,01079
Blue Cross and Blue Shield of Alabama,Lee County,"Lee, AL",AL,01081
Blue Cross and Blue Shield of Alabama,Limestone County,"Limestone, AL",AL,01083
Blue Cross and Blue Shield of Alabama,Lowndes County,"Lowndes, AL",AL,01085
Blue Cross and Blue Shield of Alabama,Macon County,"Macon, AL",AL,01087
Humana Insurance Company,Madison County,"Madison, AL",AL,01089
Blue Cross and Blue Shield of Alabama,Madison County,"Madison, AL",AL,01089
Blue Cross and Blue Shield of Alabama,Marengo County,"Marengo, AL",AL,01091
Blue Cross and Blue Shield of Alabama,Marion County,"Marion, AL",AL,01093
Blue Cross and Blue Shield of Alabama,Marshall County,"Marshall, AL",AL,01095
Blue Cross and Blue Shield of Alabama,Mobile County,"Mobile, AL",AL,01097
Blue Cross and Blue Shield of Alabama,Monroe County,"Monroe, AL",AL,01099
Blue Cross and Blue Shield of Alabama,Montgomery County,"Montgomery, AL",AL,01101
Blue Cross and Blue Shield of Alabama,Morgan County,"Morgan, AL",AL,01103
Blue Cross and Blue Shield of Alabama,Perry County,"Perry, AL",AL,01105
Blue Cross and Blue Shield of Alabama,Pickens County,"Pickens, AL",AL,01107
Blue Cross and Blue Shield of Alabama,Pike County,"Pike, AL",AL,01109
Blue Cross and Blue Shield of Alabama,Randolph County,"Randolph, AL",AL,01111
Blue Cross and Blue Shield of Alabama,Russell County,"Russell, AL",AL,01113
Blue Cross and Blue Shield of Alabama,St. Clair County,"St. Clair, AL",AL,01115
Blue Cross and Blue Shield of Alabama,Shelby County,"Shelby, AL",AL,01117
Humana Insurance Company,Shelby County,"Shelby, AL",AL,01117
Blue Cross and Blue Shield of Alabama,Sumter County,"Sumter, AL",AL,01119
Blue Cross and Blue Shield of Alabama,Talladega County,"Talladega, AL",AL,01121
Blue Cross and Blue Shield of Alabama,Tallapoosa County,"Tallapoosa, AL",AL,01123
Blue Cross and Blue Shield of Alabama,Tuscaloosa County,"Tuscaloosa, AL",AL,01125
Blue Cross and Blue Shield of Alabama,Walker County,"Walker, AL",AL,01127
Blue Cross and Blue Shield of Alabama,Washington County,"Washington, AL",AL,01129
Blue Cross and Blue Shield of Alabama,Wilcox County,"Wilcox, AL",AL,01131
Blue Cross and Blue Shield of Alabama,Winston County,"Winston, AL",AL,01133
"Moda Health Plan, Inc.",Aleutians East Borough,"Aleutians East, AK",AK,02013
Premera Blue Cross Blue Shield of Alaska,Aleutians East Borough,"Aleutians East, AK",AK,02013
Premera Blue Cross Blue Shield of Alaska,Aleutians West Census Area,"Aleutians West Census, AK",AK,02016
"Moda Health Plan, Inc.",Aleutians West Census Area,"Aleutians West Census, AK",AK,02016
"Moda Health Plan, Inc.",Anchorage Municipality,"Anchorage, AK",AK,02020
Premera Blue Cross Blue Shield of Alaska,Anchorage Municipality,"Anchorage, AK",AK,02020
"Moda Health Plan, Inc.",Bethel Census Area,"Bethel Census, AK",AK,02050
Premera Blue Cross Blue Shield of Alaska,Bethel Census Area,"Bethel Census, AK",AK,02050
"Moda Health Plan, Inc.",Bristol Bay Borough,"Bristol Bay, AK",AK,02060
Premera Blue Cross Blue Shield of Alaska,Bristol Bay Borough,"Bristol Bay, AK",AK,02060
"Moda Health Plan, Inc.",Denali Borough,"Denali, AK",AK,02068
Premera Blue Cross Blue Shield of Alaska,Denali Borough,"Denali, AK",AK,02068
Premera Blue Cross Blue Shield of Alaska,Dillingham Census Area,"Dillingham Census, AK",AK,02070
"Moda Health Plan, Inc.",Dillingham Census Area,"Dillingham Census, AK",AK,02070
"Moda Health Plan, Inc.",Fairbanks North Star Borough,"Fairbanks North Star, AK",AK,02090
Premera Blue Cross Blue Shield of Alaska,Fairbanks North Star Borough,"Fairbanks North Star, AK",AK,02090
"Moda Health Plan, Inc.",Haines Borough,"Haines, AK",AK,02100
Premera Blue Cross Blue Shield of Alaska,Haines Borough,"Haines, AK",AK,02100
"Moda Health Plan, Inc.",Hoonah-Angoon Census Area,"Hoonah-Angoon Census, AK",AK,02105
Premera Blue Cross Blue Shield of Alaska,Hoonah-Angoon Census Area,"Hoonah-Angoon Census, AK",AK,02105
Premera Blue Cross Blue Shield of Alaska,Juneau City and Borough,"Juneau City and, AK",AK,02110
"Moda Health Plan, Inc.",Juneau City and Borough,"Juneau City and, AK",AK,02110
Premera Blue Cross Blue Shield of Alaska,Kenai Peninsula Borough,"Kenai Peninsula, AK",AK,02122
"Moda Health Plan, Inc.",Kenai Peninsula Borough,"Kenai Peninsula, AK",AK,02122
"Moda Health Plan, Inc.",Ketchikan Gateway Borough,"Ketchikan Gateway, AK",AK,02130
Premera Blue Cross Blue Shield of Alaska,Ketchikan Gateway Borough,"Ketchikan Gateway, AK",AK,02130
"Moda Health Plan, Inc.",Kodiak Island Borough,"Kodiak Island, AK",AK,02150
Premera Blue Cross Blue Shield of Alaska,Kodiak Island Borough,"Kodiak Island, AK",AK,02150
"Moda Health Plan, Inc.",Lake and Peninsula Borough,"Lake and Peninsula, AK",AK,02164
Premera Blue Cross Blue Shield of Alaska,Lake and Peninsula Borough,"Lake and Peninsula, AK",AK,02164
Premera Blue Cross Blue Shield of Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna, AK",AK,02170
"Moda Health Plan, Inc.",Matanuska-Susitna Borough,"Matanuska-Susitna, AK",AK,02170
"Moda Health Plan, Inc.",Nome Census Area,"Nome Census, AK",AK,02180
Premera Blue Cross Blue Shield of Alaska,Nome Census Area,"Nome Census, AK",AK,02180
Premera Blue Cross Blue Shield of Alaska,North Slope Borough,"North Slope, AK",AK,02185
"Moda Health Plan, Inc.",North Slope Borough,"North Slope, AK",AK,02185
"Moda Health Plan, Inc.",Northwest Arctic Borough,"Northwest Arctic, AK",AK,02188
Premera Blue Cross Blue Shield of Alaska,Northwest Arctic Borough,"Northwest Arctic, AK",AK,02188
Premera Blue Cross Blue Shield of Alaska,Petersburg Census Area,"Petersburg Census, AK",AK,02195
"Moda Health Plan, Inc.",Petersburg Census Area,"Petersburg Census, AK",AK,02195
Premera Blue Cross Blue Shield of Alaska,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census, AK",AK,02198
"Moda Health Plan, Inc.",Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census, AK",AK,02198
"Moda Health Plan, Inc.",Sitka City and Borough,"Sitka City and, AK",AK,02220
Premera Blue Cross Blue Shield of Alaska,Sitka City and Borough,"Sitka City and, AK",AK,02220
"Moda Health Plan, Inc.",Skagway Municipality,"Skagway, AK",AK,02230
Premera Blue Cross Blue Shield of Alaska,Skagway Municipality,"Skagway, AK",AK,02230
"Moda Health Plan, Inc.",Southeast Fairbanks Census Area,"Southeast Fairbanks Census, AK",AK,02240
Premera Blue Cross Blue Shield of Alaska,Southeast Fairbanks Census Area,"Southeast Fairbanks Census, AK",AK,02240
"Moda Health Plan, Inc.",Valdez-Cordova Census Area,"Valdez-Cordova Census, AK",AK,02261
Premera Blue Cross Blue Shield of Alaska,Valdez-Cordova Census Area,"Valdez-Cordova Census, AK",AK,02261
"Moda Health Plan, Inc.",Wade Hampton Census Area,"Wade Hampton Census, AK",AK,02270
Premera Blue Cross Blue Shield of Alaska,Wade Hampton Census Area,"Wade Hampton Census, AK",AK,02270
Premera Blue Cross Blue Shield of Alaska,Wrangell City and Borough,"Wrangell City and, AK",AK,02275
"Moda Health Plan, Inc.",Wrangell City and Borough,"Wrangell City and, AK",AK,02275
Premera Blue Cross Blue Shield of Alaska,Yakutat City and Borough,"Yakutat City and, AK",AK,02282
"Moda Health Plan, Inc.",Yakutat City and Borough,"Yakutat City and, AK",AK,02282
"Moda Health Plan, Inc.",Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census, AK",AK,02290
Premera Blue Cross Blue Shield of Alaska,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census, AK",AK,02290
MERITUS MUTUAL HEALTH PARTNERS,Apache County,"Apache, AZ",AZ,04001
Health Choice Insurance Co.,Apache County,"Apache, AZ",AZ,04001
Health Net Life Insurance Company,Apache County,"Apache, AZ",AZ,04001
Aetna,Apache County,"Apache, AZ",AZ,04001
Cigna Healthcare,Apache County,"Apache, AZ",AZ,04001
"Blue Cross Blue Shield of Arizona, Inc.",Apache County,"Apache, AZ",AZ,04001
MERITUS MUTUAL HEALTH PARTNERS,Cochise County,"Cochise, AZ",AZ,04003
University of Arizona Health Plans - University Healthcare Marketplace,Cochise County,"Cochise, AZ",AZ,04003
Cigna Healthcare,Cochise County,"Cochise, AZ",AZ,04003
Aetna,Cochise County,"Cochise, AZ",AZ,04003
"Blue Cross Blue Shield of Arizona, Inc.",Cochise County,"Cochise, AZ",AZ,04003
Health Net Life Insurance Company,Cochise County,"Cochise, AZ",AZ,04003
Aetna,Coconino County,"Coconino, AZ",AZ,04005
MERITUS MUTUAL HEALTH PARTNERS,Coconino County,"Coconino, AZ",AZ,04005
Health Choice Insurance Co.,Coconino County,"Coconino, AZ",AZ,04005
"Blue Cross Blue Shield of Arizona, Inc.",Coconino County,"Coconino, AZ",AZ,04005
Health Net Life Insurance Company,Coconino County,"Coconino, AZ",AZ,04005
Cigna Healthcare,Coconino County,"Coconino, AZ",AZ,04005
MERITUS MUTUAL HEALTH PARTNERS,Gila County,"Gila, AZ",AZ,04007
Health Net Life Insurance Company,Gila County,"Gila, AZ",AZ,04007
"Blue Cross Blue Shield of Arizona, Inc.",Gila County,"Gila, AZ",AZ,04007
Health Choice Insurance Co.,Gila County,"Gila, AZ",AZ,04007
Cigna Healthcare,Gila County,"Gila, AZ",AZ,04007
Aetna,Gila County,"Gila, AZ",AZ,04007
Health Net Life Insurance Company,Graham County,"Graham, AZ",AZ,04009
Cigna Healthcare,Graham County,"Graham, AZ",AZ,04009
MERITUS MUTUAL HEALTH PARTNERS,Graham County,"Graham, AZ",AZ,04009
Aetna,Graham County,"Graham, AZ",AZ,04009
University of Arizona Health Plans - University Healthcare Marketplace,Graham County,"Graham, AZ",AZ,04009
"Blue Cross Blue Shield of Arizona, Inc.",Graham County,"Graham, AZ",AZ,04009
MERITUS MUTUAL HEALTH PARTNERS,Greenlee County,"Greenlee, AZ",AZ,04011
Cigna Healthcare,Greenlee County,"Greenlee, AZ",AZ,04011
Health Net Life Insurance Company,Greenlee County,"Greenlee, AZ",AZ,04011
University of Arizona Health Plans - University Healthcare Marketplace,Greenlee County,"Greenlee, AZ",AZ,04011
"Blue Cross Blue Shield of Arizona, Inc.",Greenlee County,"Greenlee, AZ",AZ,04011
Aetna,Greenlee County,"Greenlee, AZ",AZ,04011
"Blue Cross Blue Shield of Arizona, Inc.",La Paz County,"La Paz, AZ",AZ,04012
MERITUS MUTUAL HEALTH PARTNERS,La Paz County,"La Paz, AZ",AZ,04012
Cigna Healthcare,La Paz County,"La Paz, AZ",AZ,04012
Aetna,La Paz County,"La Paz, AZ",AZ,04012
Health Net Life Insurance Company,La Paz County,"La Paz, AZ",AZ,04012
University of Arizona Health Plans - University Healthcare Marketplace,La Paz County,"La Paz, AZ",AZ,04012
MERITUS MUTUAL HEALTH PARTNERS,Maricopa County,"Maricopa, AZ",AZ,04013
"Health Net of Arizona, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
University of Arizona Health Plans - University Healthcare Marketplace,Maricopa County,"Maricopa, AZ",AZ,04013
"Humana Health Plan, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
Meritus Health Partners,Maricopa County,"Maricopa, AZ",AZ,04013
Health Choice Insurance Co.,Maricopa County,"Maricopa, AZ",AZ,04013
Health Net Life Insurance Company,Maricopa County,"Maricopa, AZ",AZ,04013
"Blue Cross Blue Shield of Arizona, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
Aetna,Maricopa County,"Maricopa, AZ",AZ,04013
Cigna Healthcare,Maricopa County,"Maricopa, AZ",AZ,04013
Cigna Healthcare,Mohave County,"Mohave, AZ",AZ,04015
Aetna,Mohave County,"Mohave, AZ",AZ,04015
MERITUS MUTUAL HEALTH PARTNERS,Mohave County,"Mohave, AZ",AZ,04015
Health Net Life Insurance Company,Mohave County,"Mohave, AZ",AZ,04015
Health Choice Insurance Co.,Mohave County,"Mohave, AZ",AZ,04015
"Blue Cross Blue Shield of Arizona, Inc.",Mohave County,"Mohave, AZ",AZ,04015
Aetna,Navajo County,"Navajo, AZ",AZ,04017
MERITUS MUTUAL HEALTH PARTNERS,Navajo County,"Navajo, AZ",AZ,04017
Health Choice Insurance Co.,Navajo County,"Navajo, AZ",AZ,04017
Cigna Healthcare,Navajo County,"Navajo, AZ",AZ,04017
Health Net Life Insurance Company,Navajo County,"Navajo, AZ",AZ,04017
"Blue Cross Blue Shield of Arizona, Inc.",Navajo County,"Navajo, AZ",AZ,04017
"Humana Health Plan, Inc.",Pima County,"Pima, AZ",AZ,04019
University of Arizona Health Plans - University Healthcare Marketplace,Pima County,"Pima, AZ",AZ,04019
MERITUS MUTUAL HEALTH PARTNERS,Pima County,"Pima, AZ",AZ,04019
"Blue Cross Blue Shield of Arizona, Inc.",Pima County,"Pima, AZ",AZ,04019
Health Choice Insurance Co.,Pima County,"Pima, AZ",AZ,04019
"Health Net of Arizona, Inc.",Pima County,"Pima, AZ",AZ,04019
Meritus Health Partners,Pima County,"Pima, AZ",AZ,04019
Aetna,Pima County,"Pima, AZ",AZ,04019
Cigna Healthcare,Pima County,"Pima, AZ",AZ,04019
Health Net Life Insurance Company,Pima County,"Pima, AZ",AZ,04019
University of Arizona Health Plans - University Healthcare Marketplace,Pinal County,"Pinal, AZ",AZ,04021
MERITUS MUTUAL HEALTH PARTNERS,Pinal County,"Pinal, AZ",AZ,04021
Health Choice Insurance Co.,Pinal County,"Pinal, AZ",AZ,04021
"Health Net of Arizona, Inc.",Pinal County,"Pinal, AZ",AZ,04021
Health Net Life Insurance Company,Pinal County,"Pinal, AZ",AZ,04021
Aetna,Pinal County,"Pinal, AZ",AZ,04021
Cigna Healthcare,Pinal County,"Pinal, AZ",AZ,04021
"Blue Cross Blue Shield of Arizona, Inc.",Pinal County,"Pinal, AZ",AZ,04021
Health Net Life Insurance Company,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
"Blue Cross Blue Shield of Arizona, Inc.",Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Cigna Healthcare,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
University of Arizona Health Plans - University Healthcare Marketplace,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
MERITUS MUTUAL HEALTH PARTNERS,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Meritus Health Partners,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
Aetna,Santa Cruz County,"Santa Cruz, AZ",AZ,04023
MERITUS MUTUAL HEALTH PARTNERS,Yavapai County,"Yavapai, AZ",AZ,04025
University of Arizona Health Plans - University Healthcare Marketplace,Yavapai County,"Yavapai, AZ",AZ,04025
Health Net Life Insurance Company,Yavapai County,"Yavapai, AZ",AZ,04025
Aetna,Yavapai County,"Yavapai, AZ",AZ,04025
Cigna Healthcare,Yavapai County,"Yavapai, AZ",AZ,04025
"Blue Cross Blue Shield of Arizona, Inc.",Yavapai County,"Yavapai, AZ",AZ,04025
Aetna,Yuma County,"Yuma, AZ",AZ,04027
Health Net Life Insurance Company,Yuma County,"Yuma, AZ",AZ,04027
Cigna Healthcare,Yuma County,"Yuma, AZ",AZ,04027
"Blue Cross Blue Shield of Arizona, Inc.",Yuma County,"Yuma, AZ",AZ,04027
MERITUS MUTUAL HEALTH PARTNERS,Yuma County,"Yuma, AZ",AZ,04027
University of Arizona Health Plans - University Healthcare Marketplace,Yuma County,"Yuma, AZ",AZ,04027
Arkansas Blue Cross and Blue Shield,Arkansas County,"Arkansas, AR",AR,05001
Arkansas Blue Cross and Blue Shield,Ashley County,"Ashley, AR",AR,05003
QualChoice Health Insurance,Baxter County,"Baxter, AR",AR,05005
Ambetter of Arkansas,Baxter County,"Baxter, AR",AR,05005
Arkansas Blue Cross and Blue Shield,Baxter County,"Baxter, AR",AR,05005
QualChoice Health Insurance,Benton County,"Benton, AR",AR,05007
Ambetter of Arkansas,Benton County,"Benton, AR",AR,05007
Arkansas Blue Cross and Blue Shield,Benton County,"Benton, AR",AR,05007
Ambetter of Arkansas,Boone County,"Boone, AR",AR,05009
QualChoice Health Insurance,Boone County,"Boone, AR",AR,05009
Arkansas Blue Cross and Blue Shield,Boone County,"Boone, AR",AR,05009
Arkansas Blue Cross and Blue Shield,Bradley County,"Bradley, AR",AR,05011
Arkansas Blue Cross and Blue Shield,Calhoun County,"Calhoun, AR",AR,05013
Arkansas Blue Cross and Blue Shield,Carroll County,"Carroll, AR",AR,05015
QualChoice Health Insurance,Carroll County,"Carroll, AR",AR,05015
Ambetter of Arkansas,Carroll County,"Carroll, AR",AR,05015
Arkansas Blue Cross and Blue Shield,Chicot County,"Chicot, AR",AR,05017
QualChoice Health Insurance,Clark County,"Clark, AR",AR,05019
Arkansas Blue Cross and Blue Shield,Clark County,"Clark, AR",AR,05019
Arkansas Blue Cross and Blue Shield,Clay County,"Clay, AR",AR,05021
QualChoice Health Insurance,Clay County,"Clay, AR",AR,05021
QualChoice Health Insurance,Cleburne County,"Cleburne, AR",AR,05023
Ambetter of Arkansas,Cleburne County,"Cleburne, AR",AR,05023
Arkansas Blue Cross and Blue Shield,Cleburne County,"Cleburne, AR",AR,05023
Arkansas Blue Cross and Blue Shield,Cleveland County,"Cleveland, AR",AR,05025
Arkansas Blue Cross and Blue Shield,Columbia County,"Columbia, AR",AR,05027
Arkansas Blue Cross and Blue Shield,Conway County,"Conway, AR",AR,05029
QualChoice Health Insurance,Conway County,"Conway, AR",AR,05029
Ambetter of Arkansas,Conway County,"Conway, AR",AR,05029
QualChoice Health Insurance,Craighead County,"Craighead, AR",AR,05031
Arkansas Blue Cross and Blue Shield,Craighead County,"Craighead, AR",AR,05031
QualChoice Health Insurance,Crawford County,"Crawford, AR",AR,05033
Arkansas Blue Cross and Blue Shield,Crawford County,"Crawford, AR",AR,05033
Ambetter of Arkansas,Crawford County,"Crawford, AR",AR,05033
QualChoice Health Insurance,Crittenden County,"Crittenden, AR",AR,05035
Arkansas Blue Cross and Blue Shield,Crittenden County,"Crittenden, AR",AR,05035
QualChoice Health Insurance,Cross County,"Cross, AR",AR,05037
Arkansas Blue Cross and Blue Shield,Cross County,"Cross, AR",AR,05037
Arkansas Blue Cross and Blue Shield,Dallas County,"Dallas, AR",AR,05039
Arkansas Blue Cross and Blue Shield,Desha County,"Desha, AR",AR,05041
Arkansas Blue Cross and Blue Shield,Drew County,"Drew, AR",AR,05043
Ambetter of Arkansas,Faulkner County,"Faulkner, AR",AR,05045
Arkansas Blue Cross and Blue Shield,Faulkner County,"Faulkner, AR",AR,05045
QualChoice Health Insurance,Faulkner County,"Faulkner, AR",AR,05045
QualChoice Health Insurance,Franklin County,"Franklin, AR",AR,05047
Ambetter of Arkansas,Franklin County,"Franklin, AR",AR,05047
Arkansas Blue Cross and Blue Shield,Franklin County,"Franklin, AR",AR,05047
Arkansas Blue Cross and Blue Shield,Fulton County,"Fulton, AR",AR,05049
QualChoice Health Insurance,Fulton County,"Fulton, AR",AR,05049
Arkansas Blue Cross and Blue Shield,Garland County,"Garland, AR",AR,05051
QualChoice Health Insurance,Garland County,"Garland, AR",AR,05051
QualChoice Health Insurance,Grant County,"Grant, AR",AR,05053
Arkansas Blue Cross and Blue Shield,Grant County,"Grant, AR",AR,05053
Ambetter of Arkansas,Grant County,"Grant, AR",AR,05053
Arkansas Blue Cross and Blue Shield,Greene County,"Greene, AR",AR,05055
QualChoice Health Insurance,Greene County,"Greene, AR",AR,05055
Arkansas Blue Cross and Blue Shield,Hempstead County,"Hempstead, AR",AR,05057
Arkansas Blue Cross and Blue Shield,Hot Spring County,"Hot Spring, AR",AR,05059
QualChoice Health Insurance,Hot Spring County,"Hot Spring, AR",AR,05059
Arkansas Blue Cross and Blue Shield,Howard County,"Howard, AR",AR,05061
Arkansas Blue Cross and Blue Shield,Independence County,"Independence, AR",AR,05063
QualChoice Health Insurance,Independence County,"Independence, AR",AR,05063
QualChoice Health Insurance,Izard County,"Izard, AR",AR,05065
Arkansas Blue Cross and Blue Shield,Izard County,"Izard, AR",AR,05065
Arkansas Blue Cross and Blue Shield,Jackson County,"Jackson, AR",AR,05067
QualChoice Health Insurance,Jackson County,"Jackson, AR",AR,05067
Arkansas Blue Cross and Blue Shield,Jefferson County,"Jefferson, AR",AR,05069
QualChoice Health Insurance,Johnson County,"Johnson, AR",AR,05071
Ambetter of Arkansas,Johnson County,"Johnson, AR",AR,05071
Arkansas Blue Cross and Blue Shield,Johnson County,"Johnson, AR",AR,05071
Arkansas Blue Cross and Blue Shield,Lafayette County,"Lafayette, AR",AR,05073
QualChoice Health Insurance,Lawrence County,"Lawrence, AR",AR,05075
Arkansas Blue Cross and Blue Shield,Lawrence County,"Lawrence, AR",AR,05075
Arkansas Blue Cross and Blue Shield,Lee County,"Lee, AR",AR,05077
Arkansas Blue Cross and Blue Shield,Lincoln County,"Lincoln, AR",AR,05079
Arkansas Blue Cross and Blue Shield,Little River County,"Little River, AR",AR,05081
Ambetter of Arkansas,Logan County,"Logan, AR",AR,05083
Arkansas Blue Cross and Blue Shield,Logan County,"Logan, AR",AR,05083
QualChoice Health Insurance,Logan County,"Logan, AR",AR,05083
QualChoice Health Insurance,Lonoke County,"Lonoke, AR",AR,05085
Arkansas Blue Cross and Blue Shield,Lonoke County,"Lonoke, AR",AR,05085
Ambetter of Arkansas,Lonoke County,"Lonoke, AR",AR,05085
Arkansas Blue Cross and Blue Shield,Madison County,"Madison, AR",AR,05087
QualChoice Health Insurance,Madison County,"Madison, AR",AR,05087
Ambetter of Arkansas,Madison County,"Madison, AR",AR,05087
QualChoice Health Insurance,Marion County,"Marion, AR",AR,05089
Ambetter of Arkansas,Marion County,"Marion, AR",AR,05089
Arkansas Blue Cross and Blue Shield,Marion County,"Marion, AR",AR,05089
Arkansas Blue Cross and Blue Shield,Miller County,"Miller, AR",AR,05091
QualChoice Health Insurance,Mississippi County,"Mississippi, AR",AR,05093
Arkansas Blue Cross and Blue Shield,Mississippi County,"Mississippi, AR",AR,05093
Arkansas Blue Cross and Blue Shield,Monroe County,"Monroe, AR",AR,05095
Arkansas Blue Cross and Blue Shield,Montgomery County,"Montgomery, AR",AR,05097
QualChoice Health Insurance,Montgomery County,"Montgomery, AR",AR,05097
Arkansas Blue Cross and Blue Shield,Nevada County,"Nevada, AR",AR,05099
QualChoice Health Insurance,Newton County,"Newton, AR",AR,05101
Ambetter of Arkansas,Newton County,"Newton, AR",AR,05101
Arkansas Blue Cross and Blue Shield,Newton County,"Newton, AR",AR,05101
Arkansas Blue Cross and Blue Shield,Ouachita County,"Ouachita, AR",AR,05103
Ambetter of Arkansas,Perry County,"Perry, AR",AR,05105
QualChoice Health Insurance,Perry County,"Perry, AR",AR,05105
Arkansas Blue Cross and Blue Shield,Perry County,"Perry, AR",AR,05105
Arkansas Blue Cross and Blue Shield,Phillips County,"Phillips, AR",AR,05107
QualChoice Health Insurance,Pike County,"Pike, AR",AR,05109
Arkansas Blue Cross and Blue Shield,Pike County,"Pike, AR",AR,05109
QualChoice Health Insurance,Poinsett County,"Poinsett, AR",AR,05111
Arkansas Blue Cross and Blue Shield,Poinsett County,"Poinsett, AR",AR,05111
Arkansas Blue Cross and Blue Shield,Polk County,"Polk, AR",AR,05113
Ambetter of Arkansas,Polk County,"Polk, AR",AR,05113
QualChoice Health Insurance,Polk County,"Polk, AR",AR,05113
Ambetter of Arkansas,Pope County,"Pope, AR",AR,05115
QualChoice Health Insurance,Pope County,"Pope, AR",AR,05115
Arkansas Blue Cross and Blue Shield,Pope County,"Pope, AR",AR,05115
Arkansas Blue Cross and Blue Shield,Prairie County,"Prairie, AR",AR,05117
QualChoice Health Insurance,Prairie County,"Prairie, AR",AR,05117
Ambetter of Arkansas,Prairie County,"Prairie, AR",AR,05117
Arkansas Blue Cross and Blue Shield,Pulaski County,"Pulaski, AR",AR,05119
QualChoice Health Insurance,Pulaski County,"Pulaski, AR",AR,05119
Ambetter of Arkansas,Pulaski County,"Pulaski, AR",AR,05119
QualChoice Health Insurance,Randolph County,"Randolph, AR",AR,05121
Arkansas Blue Cross and Blue Shield,Randolph County,"Randolph, AR",AR,05121
Arkansas Blue Cross and Blue Shield,St. Francis County,"St. Francis, AR",AR,05123
QualChoice Health Insurance,St. Francis County,"St. Francis, AR",AR,05123
