i,c,id,s,f
Blue Cross and Blue Shield of Alabama,Lee County,"Lee, AL",AL,01081
Blue Cross and Blue Shield of Alabama,Limestone County,"Limestone, AL",AL,01083
Blue Cross and Blue Shield of Alabama,Lowndes County,"Lowndes, AL",AL,01085
Blue Cross and Blue Shield of Alabama,Macon County,"Macon, AL",AL,01087
Blue Cross and Blue Shield of Alabama,Madison County,"Madison, AL",AL,01089
Blue Cross and Blue Shield of Alabama,Marengo County,"Marengo, AL",AL,01091
Blue Cross and Blue Shield of Alabama,Marion County,"Marion, AL",AL,01093
Blue Cross and Blue Shield of Alabama,Marshall County,"Marshall, AL",AL,01095
Blue Cross and Blue Shield of Alabama,Mobile County,"Mobile, AL",AL,01097
Blue Cross and Blue Shield of Alabama,Monroe County,"Monroe, AL",AL,01099
Blue Cross and Blue Shield of Alabama,Montgomery County,"Montgomery, AL",AL,01101
Blue Cross and Blue Shield of Alabama,Morgan County,"Morgan, AL",AL,01103
Blue Cross and Blue Shield of Alabama,Perry County,"Perry, AL",AL,01105
Blue Cross and Blue Shield of Alabama,Pickens County,"Pickens, AL",AL,01107
Blue Cross and Blue Shield of Alabama,Pike County,"Pike, AL",AL,01109
Blue Cross and Blue Shield of Alabama,Randolph County,"Randolph, AL",AL,01111
Blue Cross and Blue Shield of Alabama,Russell County,"Russell, AL",AL,01113
Blue Cross and Blue Shield of Alabama,St. Clair County,"St. Clair, AL",AL,01115
Blue Cross and Blue Shield of Alabama,Shelby County,"Shelby, AL",AL,01117
Blue Cross and Blue Shield of Alabama,Sumter County,"Sumter, AL",AL,01119
Blue Cross and Blue Shield of Alabama,Talladega County,"Talladega, AL",AL,01121
Blue Cross and Blue Shield of Alabama,Tallapoosa County,"Tallapoosa, AL",AL,01123
Blue Cross and Blue Shield of Alabama,Tuscaloosa County,"Tuscaloosa, AL",AL,01125
Blue Cross and Blue Shield of Alabama,Walker County,"Walker, AL",AL,01127
Blue Cross and Blue Shield of Alabama,Washington County,"Washington, AL",AL,01129
Blue Cross and Blue Shield of Alabama,Wilcox County,"Wilcox, AL",AL,01131
Blue Cross and Blue Shield of Alabama,Winston County,"Winston, AL",AL,01133
Premera Blue Cross Blue Shield of Alaska,Aleutians East Borough,"Aleutians East, AK",AK,02013
Premera Blue Cross Blue Shield of Alaska,Aleutians West Census Area,"Aleutians West Census, AK",AK,02016
Premera Blue Cross Blue Shield of Alaska,Anchorage Municipality,"Anchorage, AK",AK,02020
Premera Blue Cross Blue Shield of Alaska,Bethel Census Area,"Bethel Census, AK",AK,02050
Premera Blue Cross Blue Shield of Alaska,Bristol Bay Borough,"Bristol Bay, AK",AK,02060
Premera Blue Cross Blue Shield of Alaska,Denali Borough,"Denali, AK",AK,02068
Premera Blue Cross Blue Shield of Alaska,Dillingham Census Area,"Dillingham Census, AK",AK,02070
Premera Blue Cross Blue Shield of Alaska,Fairbanks North Star Borough,"Fairbanks North Star, AK",AK,02090
Premera Blue Cross Blue Shield of Alaska,Haines Borough,"Haines, AK",AK,02100
Premera Blue Cross Blue Shield of Alaska,Hoonah-Angoon Census Area,"Hoonah-Angoon Census, AK",AK,02105
Premera Blue Cross Blue Shield of Alaska,Juneau City and Borough,"Juneau City and, AK",AK,02110
Premera Blue Cross Blue Shield of Alaska,Kenai Peninsula Borough,"Kenai Peninsula, AK",AK,02122
Premera Blue Cross Blue Shield of Alaska,Ketchikan Gateway Borough,"Ketchikan Gateway, AK",AK,02130
Premera Blue Cross Blue Shield of Alaska,Kodiak Island Borough,"Kodiak Island, AK",AK,02150
Premera Blue Cross Blue Shield of Alaska,Lake and Peninsula Borough,"Lake and Peninsula, AK",AK,02164
Premera Blue Cross Blue Shield of Alaska,Matanuska-Susitna Borough,"Matanuska-Susitna, AK",AK,02170
Premera Blue Cross Blue Shield of Alaska,Nome Census Area,"Nome Census, AK",AK,02180
Premera Blue Cross Blue Shield of Alaska,North Slope Borough,"North Slope, AK",AK,02185
Premera Blue Cross Blue Shield of Alaska,Northwest Arctic Borough,"Northwest Arctic, AK",AK,02188
Premera Blue Cross Blue Shield of Alaska,Petersburg Census Area,"Petersburg Census, AK",AK,02195
Premera Blue Cross Blue Shield of Alaska,Prince of Wales-Hyder Census Area,"Prince of Wales-Hyder Census, AK",AK,02198
Premera Blue Cross Blue Shield of Alaska,Sitka City and Borough,"Sitka City and, AK",AK,02220
Premera Blue Cross Blue Shield of Alaska,Skagway Municipality,"Skagway, AK",AK,02230
Premera Blue Cross Blue Shield of Alaska,Southeast Fairbanks Census Area,"Southeast Fairbanks Census, AK",AK,02240
Premera Blue Cross Blue Shield of Alaska,Valdez-Cordova Census Area,"Valdez-Cordova Census, AK",AK,02261
Premera Blue Cross Blue Shield of Alaska,Wade Hampton Census Area,"Wade Hampton Census, AK",AK,02270
Premera Blue Cross Blue Shield of Alaska,Wrangell City and Borough,"Wrangell City and, AK",AK,02275
Premera Blue Cross Blue Shield of Alaska,Yakutat City and Borough,"Yakutat City and, AK",AK,02282
Premera Blue Cross Blue Shield of Alaska,Yukon-Koyukuk Census Area,"Yukon-Koyukuk Census, AK",AK,02290
"Blue Cross and Blue Shield of Arizona, Inc.",Apache County,"Apache, AZ",AZ,04001
Health Choice Insurance Co.,Apache County,"Apache, AZ",AZ,04001
"Blue Cross and Blue Shield of Arizona, Inc.",Cochise County,"Cochise, AZ",AZ,04003
Health Choice Insurance Co.,Coconino County,"Coconino, AZ",AZ,04005
"Blue Cross and Blue Shield of Arizona, Inc.",Coconino County,"Coconino, AZ",AZ,04005
"Blue Cross and Blue Shield of Arizona, Inc.",Gila County,"Gila, AZ",AZ,04007
Health Choice Insurance Co.,Gila County,"Gila, AZ",AZ,04007
"Blue Cross and Blue Shield of Arizona, Inc.",Graham County,"Graham, AZ",AZ,04009
"Blue Cross and Blue Shield of Arizona, Inc.",Greenlee County,"Greenlee, AZ",AZ,04011
"Blue Cross and Blue Shield of Arizona, Inc.",La Paz County,"La Paz, AZ",AZ,04012
"Humana Health Plan, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
Health Choice Insurance Co.,Maricopa County,"Maricopa, AZ",AZ,04013
"Phoenix Health Plans, Inc.",Maricopa County,"Maricopa, AZ",AZ,04013
"Cigna HealthCare of Arizona, Inc",Maricopa County,"Maricopa, AZ",AZ,04013
Health Choice Insurance Co.,Mohave County,"Mohave, AZ",AZ,04015
"Blue Cross and Blue Shield of Arizona, Inc.",Mohave County,"Mohave, AZ",AZ,04015
Health Choice Insurance Co.,Navajo County,"Navajo, AZ",AZ,04017
"Blue Cross and Blue Shield of Arizona, Inc.",Navajo County,"Navajo, AZ",AZ,04017
"Humana Health Plan, Inc.",Pima County,"Pima, AZ",AZ,04019
"Blue Cross and Blue Shield of Arizona, Inc.",Pima County,"Pima, AZ",AZ,04019
Health Choice Insurance Co.,Pima County,"Pima, AZ",AZ,04019
"Blue Cross and Blue Shield of Arizona, Inc.",Santa Cruz County,"Santa Cruz, AZ",AZ,04023
"Blue Cross and Blue Shield of Arizona, Inc.",Yavapai County,"Yavapai, AZ",AZ,04025
"Blue Cross and Blue Shield of Arizona, Inc.",Yuma County,"Yuma, AZ",AZ,04027
"QCA Health Plan, Inc.",Arkansas County,"Arkansas, AR",AR,05001
Celtic Insurance Company,Arkansas County,"Arkansas, AR",AR,05001
"QualChoice Life & Health Insurance Company, Inc.",Arkansas County,"Arkansas, AR",AR,05001
USAble Mutual Insurance Company,Arkansas County,"Arkansas, AR",AR,05001
USAble Mutual Insurance Company,Ashley County,"Ashley, AR",AR,05003
Celtic Insurance Company,Ashley County,"Ashley, AR",AR,05003
"QualChoice Life & Health Insurance Company, Inc.",Ashley County,"Ashley, AR",AR,05003
"QCA Health Plan, Inc.",Ashley County,"Ashley, AR",AR,05003
"QualChoice Life & Health Insurance Company, Inc.",Baxter County,"Baxter, AR",AR,05005
USAble Mutual Insurance Company,Baxter County,"Baxter, AR",AR,05005
Celtic Insurance Company,Baxter County,"Baxter, AR",AR,05005
"QCA Health Plan, Inc.",Baxter County,"Baxter, AR",AR,05005
USAble Mutual Insurance Company,Benton County,"Benton, AR",AR,05007
"QCA Health Plan, Inc.",Benton County,"Benton, AR",AR,05007
Celtic Insurance Company,Benton County,"Benton, AR",AR,05007
"QualChoice Life & Health Insurance Company, Inc.",Benton County,"Benton, AR",AR,05007
USAble Mutual Insurance Company,Boone County,"Boone, AR",AR,05009
Celtic Insurance Company,Boone County,"Boone, AR",AR,05009
"QCA Health Plan, Inc.",Boone County,"Boone, AR",AR,05009
"QualChoice Life & Health Insurance Company, Inc.",Boone County,"Boone, AR",AR,05009
USAble Mutual Insurance Company,Bradley County,"Bradley, AR",AR,05011
"QualChoice Life & Health Insurance Company, Inc.",Bradley County,"Bradley, AR",AR,05011
Celtic Insurance Company,Bradley County,"Bradley, AR",AR,05011
"QCA Health Plan, Inc.",Bradley County,"Bradley, AR",AR,05011
Celtic Insurance Company,Calhoun County,"Calhoun, AR",AR,05013
"QCA Health Plan, Inc.",Calhoun County,"Calhoun, AR",AR,05013
USAble Mutual Insurance Company,Calhoun County,"Calhoun, AR",AR,05013
"QualChoice Life & Health Insurance Company, Inc.",Calhoun County,"Calhoun, AR",AR,05013
"QualChoice Life & Health Insurance Company, Inc.",Carroll County,"Carroll, AR",AR,05015
USAble Mutual Insurance Company,Carroll County,"Carroll, AR",AR,05015
Celtic Insurance Company,Carroll County,"Carroll, AR",AR,05015
"QCA Health Plan, Inc.",Carroll County,"Carroll, AR",AR,05015
Celtic Insurance Company,Chicot County,"Chicot, AR",AR,05017
USAble Mutual Insurance Company,Chicot County,"Chicot, AR",AR,05017
"QualChoice Life & Health Insurance Company, Inc.",Chicot County,"Chicot, AR",AR,05017
"QCA Health Plan, Inc.",Chicot County,"Chicot, AR",AR,05017
"QualChoice Life & Health Insurance Company, Inc.",Clark County,"Clark, AR",AR,05019
"QCA Health Plan, Inc.",Clark County,"Clark, AR",AR,05019
Celtic Insurance Company,Clark County,"Clark, AR",AR,05019
USAble Mutual Insurance Company,Clark County,"Clark, AR",AR,05019
Celtic Insurance Company,Clay County,"Clay, AR",AR,05021
USAble Mutual Insurance Company,Clay County,"Clay, AR",AR,05021
"QCA Health Plan, Inc.",Clay County,"Clay, AR",AR,05021
"QualChoice Life & Health Insurance Company, Inc.",Clay County,"Clay, AR",AR,05021
Celtic Insurance Company,Cleburne County,"Cleburne, AR",AR,05023
"QCA Health Plan, Inc.",Cleburne County,"Cleburne, AR",AR,05023
"QualChoice Life & Health Insurance Company, Inc.",Cleburne County,"Cleburne, AR",AR,05023
USAble Mutual Insurance Company,Cleburne County,"Cleburne, AR",AR,05023
USAble Mutual Insurance Company,Cleveland County,"Cleveland, AR",AR,05025
"QCA Health Plan, Inc.",Cleveland County,"Cleveland, AR",AR,05025
Celtic Insurance Company,Cleveland County,"Cleveland, AR",AR,05025
"QualChoice Life & Health Insurance Company, Inc.",Cleveland County,"Cleveland, AR",AR,05025
USAble Mutual Insurance Company,Columbia County,"Columbia, AR",AR,05027
"QualChoice Life & Health Insurance Company, Inc.",Columbia County,"Columbia, AR",AR,05027
"QCA Health Plan, Inc.",Columbia County,"Columbia, AR",AR,05027
Celtic Insurance Company,Columbia County,"Columbia, AR",AR,05027
"QualChoice Life & Health Insurance Company, Inc.",Conway County,"Conway, AR",AR,05029
Celtic Insurance Company,Conway County,"Conway, AR",AR,05029
"QCA Health Plan, Inc.",Conway County,"Conway, AR",AR,05029
USAble Mutual Insurance Company,Conway County,"Conway, AR",AR,05029
"QCA Health Plan, Inc.",Craighead County,"Craighead, AR",AR,05031
Celtic Insurance Company,Craighead County,"Craighead, AR",AR,05031
"QualChoice Life & Health Insurance Company, Inc.",Craighead County,"Craighead, AR",AR,05031
USAble Mutual Insurance Company,Craighead County,"Craighead, AR",AR,05031
Celtic Insurance Company,Crawford County,"Crawford, AR",AR,05033
"QCA Health Plan, Inc.",Crawford County,"Crawford, AR",AR,05033
USAble Mutual Insurance Company,Crawford County,"Crawford, AR",AR,05033
"QualChoice Life & Health Insurance Company, Inc.",Crawford County,"Crawford, AR",AR,05033
"QCA Health Plan, Inc.",Crittenden County,"Crittenden, AR",AR,05035
USAble Mutual Insurance Company,Crittenden County,"Crittenden, AR",AR,05035
"QualChoice Life & Health Insurance Company, Inc.",Crittenden County,"Crittenden, AR",AR,05035
Celtic Insurance Company,Crittenden County,"Crittenden, AR",AR,05035
"QualChoice Life & Health Insurance Company, Inc.",Cross County,"Cross, AR",AR,05037
USAble Mutual Insurance Company,Cross County,"Cross, AR",AR,05037
Celtic Insurance Company,Cross County,"Cross, AR",AR,05037
"QCA Health Plan, Inc.",Cross County,"Cross, AR",AR,05037
Celtic Insurance Company,Dallas County,"Dallas, AR",AR,05039
"QCA Health Plan, Inc.",Dallas County,"Dallas, AR",AR,05039
"QualChoice Life & Health Insurance Company, Inc.",Dallas County,"Dallas, AR",AR,05039
USAble Mutual Insurance Company,Dallas County,"Dallas, AR",AR,05039
Celtic Insurance Company,Desha County,"Desha, AR",AR,05041
"QCA Health Plan, Inc.",Desha County,"Desha, AR",AR,05041
"QualChoice Life & Health Insurance Company, Inc.",Desha County,"Desha, AR",AR,05041
USAble Mutual Insurance Company,Desha County,"Desha, AR",AR,05041
USAble Mutual Insurance Company,Drew County,"Drew, AR",AR,05043
Celtic Insurance Company,Drew County,"Drew, AR",AR,05043
"QCA Health Plan, Inc.",Drew County,"Drew, AR",AR,05043
"QualChoice Life & Health Insurance Company, Inc.",Drew County,"Drew, AR",AR,05043
"QCA Health Plan, Inc.",Faulkner County,"Faulkner, AR",AR,05045
USAble Mutual Insurance Company,Faulkner County,"Faulkner, AR",AR,05045
Celtic Insurance Company,Faulkner County,"Faulkner, AR",AR,05045
"QualChoice Life & Health Insurance Company, Inc.",Faulkner County,"Faulkner, AR",AR,05045
"QualChoice Life & Health Insurance Company, Inc.",Franklin County,"Franklin, AR",AR,05047
USAble Mutual Insurance Company,Franklin County,"Franklin, AR",AR,05047
"QCA Health Plan, Inc.",Franklin County,"Franklin, AR",AR,05047
Celtic Insurance Company,Franklin County,"Franklin, AR",AR,05047
"QCA Health Plan, Inc.",Fulton County,"Fulton, AR",AR,05049
Celtic Insurance Company,Fulton County,"Fulton, AR",AR,05049
"QualChoice Life & Health Insurance Company, Inc.",Fulton County,"Fulton, AR",AR,05049
USAble Mutual Insurance Company,Fulton County,"Fulton, AR",AR,05049
Celtic Insurance Company,Garland County,"Garland, AR",AR,05051
"QCA Health Plan, Inc.",Garland County,"Garland, AR",AR,05051
"QualChoice Life & Health Insurance Company, Inc.",Garland County,"Garland, AR",AR,05051
USAble Mutual Insurance Company,Garland County,"Garland, AR",AR,05051
"QualChoice Life & Health Insurance Company, Inc.",Grant County,"Grant, AR",AR,05053
USAble Mutual Insurance Company,Grant County,"Grant, AR",AR,05053
"QCA Health Plan, Inc.",Grant County,"Grant, AR",AR,05053
Celtic Insurance Company,Grant County,"Grant, AR",AR,05053
"QualChoice Life & Health Insurance Company, Inc.",Greene County,"Greene, AR",AR,05055
Celtic Insurance Company,Greene County,"Greene, AR",AR,05055
USAble Mutual Insurance Company,Greene County,"Greene, AR",AR,05055
"QCA Health Plan, Inc.",Greene County,"Greene, AR",AR,05055
"QCA Health Plan, Inc.",Hempstead County,"Hempstead, AR",AR,05057
USAble Mutual Insurance Company,Hempstead County,"Hempstead, AR",AR,05057
"QualChoice Life & Health Insurance Company, Inc.",Hempstead County,"Hempstead, AR",AR,05057
Celtic Insurance Company,Hempstead County,"Hempstead, AR",AR,05057
Celtic Insurance Company,Hot Spring County,"Hot Spring, AR",AR,05059
"QualChoice Life & Health Insurance Company, Inc.",Hot Spring County,"Hot Spring, AR",AR,05059
"QCA Health Plan, Inc.",Hot Spring County,"Hot Spring, AR",AR,05059
USAble Mutual Insurance Company,Hot Spring County,"Hot Spring, AR",AR,05059
"QualChoice Life & Health Insurance Company, Inc.",Howard County,"Howard, AR",AR,05061
"QCA Health Plan, Inc.",Howard County,"Howard, AR",AR,05061
USAble Mutual Insurance Company,Howard County,"Howard, AR",AR,05061
Celtic Insurance Company,Howard County,"Howard, AR",AR,05061
"QCA Health Plan, Inc.",Independence County,"Independence, AR",AR,05063
USAble Mutual Insurance Company,Independence County,"Independence, AR",AR,05063
"QualChoice Life & Health Insurance Company, Inc.",Independence County,"Independence, AR",AR,05063
Celtic Insurance Company,Independence County,"Independence, AR",AR,05063
USAble Mutual Insurance Company,Izard County,"Izard, AR",AR,05065
"QualChoice Life & Health Insurance Company, Inc.",Izard County,"Izard, AR",AR,05065
Celtic Insurance Company,Izard County,"Izard, AR",AR,05065
"QCA Health Plan, Inc.",Izard County,"Izard, AR",AR,05065
"QualChoice Life & Health Insurance Company, Inc.",Jackson County,"Jackson, AR",AR,05067
USAble Mutual Insurance Company,Jackson County,"Jackson, AR",AR,05067
"QCA Health Plan, Inc.",Jackson County,"Jackson, AR",AR,05067
Celtic Insurance Company,Jackson County,"Jackson, AR",AR,05067
"QCA Health Plan, Inc.",Jefferson County,"Jefferson, AR",AR,05069
"QualChoice Life & Health Insurance Company, Inc.",Jefferson County,"Jefferson, AR",AR,05069
USAble Mutual Insurance Company,Jefferson County,"Jefferson, AR",AR,05069
Celtic Insurance Company,Jefferson County,"Jefferson, AR",AR,05069
Celtic Insurance Company,Johnson County,"Johnson, AR",AR,05071
USAble Mutual Insurance Company,Johnson County,"Johnson, AR",AR,05071
"QCA Health Plan, Inc.",Johnson County,"Johnson, AR",AR,05071
"QualChoice Life & Health Insurance Company, Inc.",Johnson County,"Johnson, AR",AR,05071
Celtic Insurance Company,Lafayette County,"Lafayette, AR",AR,05073
"QualChoice Life & Health Insurance Company, Inc.",Lafayette County,"Lafayette, AR",AR,05073
"QCA Health Plan, Inc.",Lafayette County,"Lafayette, AR",AR,05073
USAble Mutual Insurance Company,Lafayette County,"Lafayette, AR",AR,05073
"QCA Health Plan, Inc.",Lawrence County,"Lawrence, AR",AR,05075
Celtic Insurance Company,Lawrence County,"Lawrence, AR",AR,05075
USAble Mutual Insurance Company,Lawrence County,"Lawrence, AR",AR,05075
"QualChoice Life & Health Insurance Company, Inc.",Lawrence County,"Lawrence, AR",AR,05075
"QualChoice Life & Health Insurance Company, Inc.",Lee County,"Lee, AR",AR,05077
"QCA Health Plan, Inc.",Lee County,"Lee, AR",AR,05077
Celtic Insurance Company,Lee County,"Lee, AR",AR,05077
USAble Mutual Insurance Company,Lee County,"Lee, AR",AR,05077
Celtic Insurance Company,Lincoln County,"Lincoln, AR",AR,05079
"QualChoice Life & Health Insurance Company, Inc.",Lincoln County,"Lincoln, AR",AR,05079
"QCA Health Plan, Inc.",Lincoln County,"Lincoln, AR",AR,05079
USAble Mutual Insurance Company,Lincoln County,"Lincoln, AR",AR,05079
Celtic Insurance Company,Little River County,"Little River, AR",AR,05081
"QualChoice Life & Health Insurance Company, Inc.",Little River County,"Little River, AR",AR,05081
"QCA Health Plan, Inc.",Little River County,"Little River, AR",AR,05081
USAble Mutual Insurance Company,Little River County,"Little River, AR",AR,05081
Celtic Insurance Company,Logan County,"Logan, AR",AR,05083
USAble Mutual Insurance Company,Logan County,"Logan, AR",AR,05083
"QCA Health Plan, Inc.",Logan County,"Logan, AR",AR,05083
"QualChoice Life & Health Insurance Company, Inc.",Logan County,"Logan, AR",AR,05083
"QualChoice Life & Health Insurance Company, Inc.",Lonoke County,"Lonoke, AR",AR,05085
USAble Mutual Insurance Company,Lonoke County,"Lonoke, AR",AR,05085
Celtic Insurance Company,Lonoke County,"Lonoke, AR",AR,05085
"QCA Health Plan, Inc.",Lonoke County,"Lonoke, AR",AR,05085
"QCA Health Plan, Inc.",Madison County,"Madison, AR",AR,05087
"QualChoice Life & Health Insurance Company, Inc.",Madison County,"Madison, AR",AR,05087
Celtic Insurance Company,Madison County,"Madison, AR",AR,05087
USAble Mutual Insurance Company,Madison County,"Madison, AR",AR,05087
Celtic Insurance Company,Marion County,"Marion, AR",AR,05089
"QCA Health Plan, Inc.",Marion County,"Marion, AR",AR,05089
USAble Mutual Insurance Company,Marion County,"Marion, AR",AR,05089
"QualChoice Life & Health Insurance Company, Inc.",Marion County,"Marion, AR",AR,05089
USAble Mutual Insurance Company,Miller County,"Miller, AR",AR,05091
"QCA Health Plan, Inc.",Miller County,"Miller, AR",AR,05091
"QualChoice Life & Health Insurance Company, Inc.",Miller County,"Miller, AR",AR,05091
Celtic Insurance Company,Miller County,"Miller, AR",AR,05091
"QCA Health Plan, Inc.",Mississippi County,"Mississippi, AR",AR,05093
Celtic Insurance Company,Mississippi County,"Mississippi, AR",AR,05093
"QualChoice Life & Health Insurance Company, Inc.",Mississippi County,"Mississippi, AR",AR,05093
USAble Mutual Insurance Company,Mississippi County,"Mississippi, AR",AR,05093
"QCA Health Plan, Inc.",Monroe County,"Monroe, AR",AR,05095
"QualChoice Life & Health Insurance Company, Inc.",Monroe County,"Monroe, AR",AR,05095
USAble Mutual Insurance Company,Monroe County,"Monroe, AR",AR,05095
Celtic Insurance Company,Monroe County,"Monroe, AR",AR,05095
"QCA Health Plan, Inc.",Montgomery County,"Montgomery, AR",AR,05097
Celtic Insurance Company,Montgomery County,"Montgomery, AR",AR,05097
"QualChoice Life & Health Insurance Company, Inc.",Montgomery County,"Montgomery, AR",AR,05097
USAble Mutual Insurance Company,Montgomery County,"Montgomery, AR",AR,05097
"QualChoice Life & Health Insurance Company, Inc.",Nevada County,"Nevada, AR",AR,05099
"QCA Health Plan, Inc.",Nevada County,"Nevada, AR",AR,05099
USAble Mutual Insurance Company,Nevada County,"Nevada, AR",AR,05099
Celtic Insurance Company,Nevada County,"Nevada, AR",AR,05099
"QualChoice Life & Health Insurance Company, Inc.",Newton County,"Newton, AR",AR,05101
USAble Mutual Insurance Company,Newton County,"Newton, AR",AR,05101
"QCA Health Plan, Inc.",Newton County,"Newton, AR",AR,05101
Celtic Insurance Company,Newton County,"Newton, AR",AR,05101
Celtic Insurance Company,Ouachita County,"Ouachita, AR",AR,05103
"QualChoice Life & Health Insurance Company, Inc.",Ouachita County,"Ouachita, AR",AR,05103
USAble Mutual Insurance Company,Ouachita County,"Ouachita, AR",AR,05103
"QCA Health Plan, Inc.",Ouachita County,"Ouachita, AR",AR,05103
"QualChoice Life & Health Insurance Company, Inc.",Perry County,"Perry, AR",AR,05105
USAble Mutual Insurance Company,Perry County,"Perry, AR",AR,05105
Celtic Insurance Company,Perry County,"Perry, AR",AR,05105
"QCA Health Plan, Inc.",Perry County,"Perry, AR",AR,05105
USAble Mutual Insurance Company,Phillips County,"Phillips, AR",AR,05107
"QCA Health Plan, Inc.",Phillips County,"Phillips, AR",AR,05107
"QualChoice Life & Health Insurance Company, Inc.",Phillips County,"Phillips, AR",AR,05107
Celtic Insurance Company,Phillips County,"Phillips, AR",AR,05107
"QCA Health Plan, Inc.",Pike County,"Pike, AR",AR,05109
"QualChoice Life & Health Insurance Company, Inc.",Pike County,"Pike, AR",AR,05109
Celtic Insurance Company,Pike County,"Pike, AR",AR,05109
USAble Mutual Insurance Company,Pike County,"Pike, AR",AR,05109
Celtic Insurance Company,Poinsett County,"Poinsett, AR",AR,05111
"QualChoice Life & Health Insurance Company, Inc.",Poinsett County,"Poinsett, AR",AR,05111
USAble Mutual Insurance Company,Poinsett County,"Poinsett, AR",AR,05111
"QCA Health Plan, Inc.",Poinsett County,"Poinsett, AR",AR,05111
"QCA Health Plan, Inc.",Polk County,"Polk, AR",AR,05113
Celtic Insurance Company,Polk County,"Polk, AR",AR,05113
USAble Mutual Insurance Company,Polk County,"Polk, AR",AR,05113
"QualChoice Life & Health Insurance Company, Inc.",Polk County,"Polk, AR",AR,05113
"QCA Health Plan, Inc.",Pope County,"Pope, AR",AR,05115
USAble Mutual Insurance Company,Pope County,"Pope, AR",AR,05115
Celtic Insurance Company,Pope County,"Pope, AR",AR,05115
"QualChoice Life & Health Insurance Company, Inc.",Pope County,"Pope, AR",AR,05115
"QCA Health Plan, Inc.",Prairie County,"Prairie, AR",AR,05117
"QualChoice Life & Health Insurance Company, Inc.",Prairie County,"Prairie, AR",AR,05117
Celtic Insurance Company,Prairie County,"Prairie, AR",AR,05117
USAble Mutual Insurance Company,Prairie County,"Prairie, AR",AR,05117
Celtic Insurance Company,Pulaski County,"Pulaski, AR",AR,05119
USAble Mutual Insurance Company,Pulaski County,"Pulaski, AR",AR,05119
"QualChoice Life & Health Insurance Company, Inc.",Pulaski County,"Pulaski, AR",AR,05119
