County,Number of Issuers,Issuers
"Walker, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Edgecombe, NC",1,['Blue Cross and Blue Shield of NC']
"Fairfield, SC",3,"['Blue Cross and Blue Shield of South Carolina', 'Aetna Health Inc. (a PA corp.)', 'BlueChoice HealthPlan of South Carolina, Inc.']"
"Lynchburg city, VA",4,"['Piedmont Community HealthCare, Inc.', 'HealthKeepers, Inc.', 'Optima Health Plan', 'Piedmont Community HealthCare HMO, Inc.']"
"Braxton, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Haskell, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Wayne, IL",3,"['Health Alliance Medical Plans, Inc.', 'Coventry Health Care of Illinois, Inc.', 'Blue Cross Blue Shield of Illinois']"
"Wayne, IN",3,"['Anthem Ins Companies Inc(Anthem BCBS)', 'MDwise Marketplace, Inc.', 'All Savers Insurance Company']"
"Phillips, AR",5,"['USAble Mutual Insurance Company', 'UnitedHealthcare of Arkansas, Inc.', 'QCA Health Plan, Inc.', 'QualChoice Life & Health Insurance Company, Inc.', 'Celtic Insurance Company']"
"Rolette, ND",3,"['Medica Health Plans', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Claiborne, TN",3,"['UnitedHealthcare Insurance Company', 'Humana Insurance Company', 'BlueCross BlueShield of Tennessee']"
"Wayne, IA",3,"['UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company', 'Aetna Health Inc. (a IA corp.)']"
"Kearney, NE",4,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.']"
"Chase, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'UnitedHealthcare of the Midwest, Inc.']"
"Baker, OR",5,"['LifeWise Health Plan of Oregon', 'PacificSource Health Plans', 'Moda Health Plan, Inc.', 'BridgeSpan Health Company', 'Providence Health Plan']"
"Jackson, OR",5,"['Moda Health Plan, Inc.', 'PacificSource Health Plans', 'BridgeSpan Health Company', 'Providence Health Plan', 'LifeWise Health Plan of Oregon']"
"Cooper, MO",3,"['Coventry Health & Life Insurance Co.', 'Healthy Alliance Life Co(Anthem BCBS)', 'All Savers Insurance Company']"
"Fairfield, OH",8,"['Community Insurance Company(Anthem BCBS)', 'CareSource', 'UnitedHealthcare of Ohio, Inc.', 'Aetna Life Insurance Company', 'MOLINA HEALTHCARE OF OHIO', 'All Savers Insurance Company', 'HealthSpan', 'Medical Health Insuring Corp. of Ohio']"
"Miami, OH",8,"['UnitedHealthcare of Ohio, Inc.', 'Humana Health Plan of Ohio, Inc.', 'Medical Health Insuring Corp. of Ohio', 'Premier Health Plan, Inc.', 'HealthSpan', 'Community Insurance Company(Anthem BCBS)', 'CareSource', 'All Savers Insurance Company']"
"Iberia, LA",4,"['UnitedHealthcare of Louisiana, Inc.', 'Vantage Health Plan, Inc.', 'HMO Louisiana, Inc.', 'Louisiana Health Service & Indemnity Company']"
"Stanton, KS",3,"['UnitedHealthcare of the Midwest, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Fulton, PA",6,"['Highmark Health Insurance Company', 'Aetna Health Inc. (a PA corp.)', 'Keystone Health Plan Central', 'Capital Advantage Assurance Company', 'Geisinger Quality Options', 'Geisinger Health Plan']"
"Saunders, NE",4,"['Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.', 'Coventry Health Care of Nebraska Inc.']"
"Floyd, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Jefferson, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Haywood, NC",3,"['Blue Cross and Blue Shield of NC', 'Aetna Health Inc. (a PA corp.)', 'UnitedHealthcare of North Carolina, Inc']"
"Ochiltree, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Geauga, OH",8,"['UnitedHealthcare of Ohio, Inc.', 'Summa Insurance Company, Inc.', 'CareSource', 'Community Insurance Company(Anthem BCBS)', 'Aetna Life Insurance Company', 'HealthSpan Integrated Care', 'Medical Health Insuring Corp. of Ohio', 'All Savers Insurance Company']"
"Sevier, UT",1,['SelectHealth']
"Tyrrell, NC",1,['Blue Cross and Blue Shield of NC']
"Lafayette, FL",2,"['UnitedHealthcare of Florida, Inc.', 'Blue Cross and Blue Shield of Florida']"
"Butler, MO",3,"['Healthy Alliance Life Co(Anthem BCBS)', 'Coventry Health & Life Insurance Co.', 'All Savers Insurance Company']"
"Terrell, TX",1,['Blue Cross Blue Shield of Texas']
"Rogers, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'UnitedHealthcare of Oklahoma, Inc.']"
"Conway, AR",5,"['QualChoice Life & Health Insurance Company, Inc.', 'Celtic Insurance Company', 'QCA Health Plan, Inc.', 'UnitedHealthcare of Arkansas, Inc.', 'USAble Mutual Insurance Company']"
"Branch, MI",4,"['Priority Health Insurance Company (PHIC)', 'Blue Cross Blue Shield of Michigan Mutual Insurance Company', 'Blue Care Network of Michigan', 'Priority Health']"
"Fairbanks North Star, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Polk, OR",7,"['Kaiser Foundation Healthplan of the NW', 'Providence Health Plan', 'ATRIO Health Plans', 'PacificSource Health Plans', 'Moda Health Plan, Inc.', 'LifeWise Health Plan of Oregon', 'BridgeSpan Health Company']"
"Morris, TX",1,['Blue Cross Blue Shield of Texas']
"Grayson, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Montgomery, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Sheridan, NE",4,"['Blue Cross and Blue Shield of Nebraska', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.', 'Coventry Health Care of Nebraska Inc.']"
"Montgomery, AR",5,"['QCA Health Plan, Inc.', 'Celtic Insurance Company', 'UnitedHealthcare of Arkansas, Inc.', 'QualChoice Life & Health Insurance Company, Inc.', 'USAble Mutual Insurance Company']"
"Sussex, VA",3,"['Optima Health Plan', 'UnitedHealthcare of the Mid-Atlantic Inc', 'HealthKeepers, Inc.']"
"Aleutians West Census, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Dallam, TX",2,"['SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Botetourt, VA",3,"['Optima Health Plan', 'Aetna Life Insurance Company', 'HealthKeepers, Inc.']"
"Pasco, FL",5,"['Blue Cross and Blue Shield of Florida', 'UnitedHealthcare of Florida, Inc.', 'Celtic Insurance Company', 'Health Options, Inc.', 'Humana Medical Plan, Inc.']"
"Sandoval, NM",4,"['Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections', 'CHRISTUS Health Plan', 'Presbyterian Health Plan, Inc.']"
"Shelby, IA",3,"['Aetna Health Inc. (a IA corp.)', 'UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company']"
"Sanpete, UT",1,['SelectHealth']
"McCone, MT",3,"['Blue Cross and Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health Cooperative']"
"Putnam, IN",4,"['Anthem Ins Companies Inc(Anthem BCBS)', 'Indiana University Health Plans, Inc.', 'MDwise Marketplace, Inc.', 'All Savers Insurance Company']"
"Garland, AR",5,"['Celtic Insurance Company', 'QCA Health Plan, Inc.', 'QualChoice Life & Health Insurance Company, Inc.', 'UnitedHealthcare of Arkansas, Inc.', 'USAble Mutual Insurance Company']"
"Shelby, IL",4,"['Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care of Illinois, Inc.', 'Humana Health Plan, Inc.']"
"Shelby, IN",5,"['All Savers Insurance Company', 'CareSource Indiana, Inc.', 'Anthem Ins Companies Inc(Anthem BCBS)', 'MDwise Marketplace, Inc.', 'Indiana University Health Plans, Inc.']"
"Washington, KS",3,"['UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"St. Louis city, MO",4,"['Coventry Health & Life Insurance Co.', 'Healthy Alliance Life Co(Anthem BCBS)', 'All Savers Insurance Company', 'Cigna Health and Life Insurance Company']"
"Ware, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'UnitedHealthcare of Georgia, Inc.']"
"Pinal, AZ",2,"['Blue Cross and Blue Shield of Arizona, Inc.', 'All Savers Insurance Company']"
"Christian, IL",4,"['Humana Health Plan, Inc.', 'Coventry Health Care of Illinois, Inc.', 'Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois']"
"McIntosh, GA",4,"['Aetna Health Inc. (a GA corp.)', 'UnitedHealthcare of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.']"
"Sitka City and, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Bradford, PA",4,"['Geisinger Quality Options', 'Aetna Health Inc. (a PA corp.)', 'Geisinger Health Plan', 'First Priority Life Insurance Company, Inc.']"
"Martin, NC",1,['Blue Cross and Blue Shield of NC']
"Taos, NM",4,"['New Mexico Health Connections', 'CHRISTUS Health Plan', 'Presbyterian Health Plan, Inc.', 'Molina Health Care of New Mexico, Inc.']"
"Wirt, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Wythe, VA",3,"['Aetna Life Insurance Company', 'Optima Health Plan', 'HealthKeepers, Inc.']"
"Ellis, TX",5,"['Cigna Health and Life Insurance Company', 'Insurance Company of Scott & White', 'Aetna Life Insurance Company', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Page, IA",3,"['Aetna Health Inc. (a IA corp.)', 'UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company']"
"Lowndes, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Randolph, AR",5,"['USAble Mutual Insurance Company', 'QualChoice Life & Health Insurance Company, Inc.', 'QCA Health Plan, Inc.', 'Celtic Insurance Company', 'UnitedHealthcare of Arkansas, Inc.']"
"Sumter, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Randolph, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare of Alabama, Inc.']"
"Jones, NC",1,['Blue Cross and Blue Shield of NC']
"Deer Lodge, MT",3,"['Blue Cross and Blue Shield of Montana', 'Montana Health Cooperative', 'PacificSource Health Plans']"
"Barber, KS",3,"['UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Lee, GA",3,"['UnitedHealthcare of Georgia, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'Aetna Health Inc. (a GA corp.)']"
"Crawford, OH",5,"['All Savers Insurance Company', 'UnitedHealthcare of Ohio, Inc.', 'Community Insurance Company(Anthem BCBS)', 'Medical Health Insuring Corp. of Ohio', 'Paramount Insurance Company']"
"George, MS",2,"['UnitedHealthcare of Mississippi, Inc.', 'Ambetter of Magnolia Inc.']"
"Miller, MO",3,"['All Savers Insurance Company', 'Healthy Alliance Life Co(Anthem BCBS)', 'Coventry Health & Life Insurance Co.']"
"Oxford, ME",2,"['Harvard Pilgrim  Health Care Inc.', 'Anthem Health Plans of ME(Anthem BCBS)']"
"Toole, MT",3,"['PacificSource Health Plans', 'Montana Health Cooperative', 'Blue Cross and Blue Shield of Montana']"
"White, AR",5,"['QualChoice Life & Health Insurance Company, Inc.', 'UnitedHealthcare of Arkansas, Inc.', 'Celtic Insurance Company', 'QCA Health Plan, Inc.', 'USAble Mutual Insurance Company']"
"Rush, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Bradford, FL",3,"['Blue Cross and Blue Shield of Florida', 'UnitedHealthcare of Florida, Inc.', 'Health Options, Inc.']"
"Carbon, WY",1,['Blue Cross Blue Shield of Wyoming']
"Ringgold, IA",2,"['Aetna Health Inc. (a IA corp.)', 'Medica Insurance Company']"
"Oceana, MI",4,"['Blue Care Network of Michigan', 'Priority Health Insurance Company (PHIC)', 'Priority Health', 'Blue Cross Blue Shield of Michigan Mutual Insurance Company']"
"Lynn, TX",3,"['All Savers Insurance Company', 'SHA, LLC DBA FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Mathews, VA",3,"['Optima Health Plan', 'HealthKeepers, Inc.', 'Aetna Life Insurance Company']"
"West Baton Rouge, LA",4,"['Vantage Health Plan, Inc.', 'UnitedHealthcare of Louisiana, Inc.', 'Louisiana Health Service & Indemnity Company', 'HMO Louisiana, Inc.']"
"Boone, IA",3,"['Medica Insurance Company', 'Aetna Health Inc. (a IA corp.)', 'UnitedHealthcare of the Midlands, Inc.']"
"Boone, IL",4,"['Blue Cross Blue Shield of Illinois', 'Humana Health Plan, Inc.', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care of Illinois, Inc.']"
"Anderson, TX",1,['Blue Cross Blue Shield of Texas']
"Boone, IN",7,"['Anthem Ins Companies Inc(Anthem BCBS)', 'CareSource Indiana, Inc.', 'Celtic Insurance Company', 'Physicians Health Plan of Northern Indiana, Inc.', 'Indiana University Health Plans, Inc.', 'MDwise Marketplace, Inc.', 'All Savers Insurance Company']"
"Sullivan, NH",4,"['Celtic Insurance Company', 'Matthew Thornton Hlth Plan(Anthem BCBS)', 'Minuteman Health, Inc', 'Harvard Pilgrim Health Care of NE']"
"Marion, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Emanuel, GA",4,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'UnitedHealthcare of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.', 'Aetna Health Inc. (a GA corp.)']"
"Raleigh, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chickasaw, IA",3,"['Aetna Health Inc. (a IA corp.)', 'Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.']"
"Cibola, NM",4,"['Presbyterian Health Plan, Inc.', 'Molina Health Care of New Mexico, Inc.', 'CHRISTUS Health Plan', 'New Mexico Health Connections']"
"Powder River, MT",3,"['PacificSource Health Plans', 'Montana Health Cooperative', 'Blue Cross and Blue Shield of Montana']"
"Irwin, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.', 'UnitedHealthcare of Georgia, Inc.']"
"Perry, PA",7,"['Highmark Health Insurance Company', 'Aetna Health Inc. (a PA corp.)', 'Highmark Select Resources Inc.', 'Geisinger Quality Options', 'Capital Advantage Assurance Company', 'Geisinger Health Plan', 'Keystone Health Plan Central']"
"Baxter, AR",5,"['QualChoice Life & Health Insurance Company, Inc.', 'UnitedHealthcare of Arkansas, Inc.', 'USAble Mutual Insurance Company', 'Celtic Insurance Company', 'QCA Health Plan, Inc.']"
"Saline, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'UnitedHealthcare of the Midwest, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Racine, WI",6,"['Common Ground Healthcare Cooperative', 'WPS Health Plan, Inc.', 'All Savers Insurance Company', 'Managed Health Services Insurance Corporation', 'Molina Healthcare of Wisconsin, Inc.', 'Network Health Plan']"
"Effingham, GA",4,"['UnitedHealthcare of Georgia, Inc.', 'Humana Employers Health Plan of Georgia, Inc.', 'Aetna Health Inc. (a GA corp.)', 'Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.']"
"Menard, TX",3,"['Insurance Company of Scott & White', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Penobscot, ME",2,"['Harvard Pilgrim  Health Care Inc.', 'Anthem Health Plans of ME(Anthem BCBS)']"
"Buchanan, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Wise, TX",2,"['Blue Cross Blue Shield of Texas', 'All Savers Insurance Company']"
"Hall, NE",4,"['UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company', 'Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Douglas, MO",3,"['All Savers Insurance Company', 'Coventry Health and Life', 'Healthy Alliance Life Co(Anthem BCBS)']"
"Lawrence, SD",2,"['Sanford Health Plan', 'Avera Health Plans, Inc.']"
"Phelps, NE",4,"['UnitedHealthcare of the Midlands, Inc.', 'Medica Insurance Company', 'Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Kingman, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'UnitedHealthcare of the Midwest, Inc.']"
"Falls, TX",5,"['Scott and White Health Plan', 'Blue Cross Blue Shield of Texas', 'SHA, LLC DBA FirstCare Health Plans', 'Aetna Life Insurance Company', 'Insurance Company of Scott & White']"
"Mills, IA",3,"['Medica Insurance Company', 'UnitedHealthcare of the Midlands, Inc.', 'Aetna Health Inc. (a IA corp.)']"
"Collin, TX",8,"['Aetna Life Insurance Company', 'Molina Healthcare of Texas', 'Oscar Insurance Company of Texas', 'Blue Cross Blue Shield of Texas', 'Insurance Company of Scott & White', 'All Savers Insurance Company', 'Scott and White Health Plan', 'Cigna Health and Life Insurance Company']"
"Houston, TN",2,"['BlueCross BlueShield of Tennessee', 'UnitedHealthcare Insurance Company']"
"Belmont, OH",7,"['CareSource', 'Medical Health Insuring Corp. of Ohio', 'Community Insurance Company(Anthem BCBS)', 'Aetna Life Insurance Company', 'UnitedHealthcare of Ohio, Inc.', 'All Savers Insurance Company', 'HealthSpan']"
"Tipton, TN",4,"['Humana Insurance Company', 'UnitedHealthcare Insurance Company', 'BlueCross BlueShield of Tennessee', 'Cigna Health and Life Insurance Company']"
"Manassas Park city, VA",4,"['Innovation Health Insurance Company', 'UnitedHealthcare of the Mid-Atlantic Inc', 'Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.', 'HealthKeepers, Inc.']"
