County,Number of Issuers,Issuers
"McClain, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Sequoyah, OK",2,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth']"
"Box Elder, UT",4,"['SelectHealth', 'Altius Health Plans Inc.', 'Arches Health Plan', 'BridgeSpan Health Company']"
"Clark, AR",4,"['QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield', 'QC Life and Health', 'Ambetter of Arkansas']"
"Hodgeman, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Perry, OH",3,"['Anthem Blue Cross and Blue Shield', 'InHealth Mutual', 'MedMutual']"
"Prince of Wales-Hyder Census, AK",2,"['Premera Blue Cross Blue Shield of Alaska', 'Moda Health']"
"Marshall, TN",1,['BlueCross BlueShield of Tennessee']
"Brown, TX",1,['Blue Cross and Blue Shield of Texas']
"Logan, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Warren, GA",3,"['Humana, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare']"
"Grundy, MO",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Jasper, IA",1,['Coventry Health Care of Iowa Inc.']
"Jasper, IN",3,"['MDwise Marketplace', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Jasper, IL",4,"['Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company']"
"Rockingham, NC",2,"['Blue Cross and Blue Shield of NC', 'UnitedHealthcare']"
"Ouachita, AR",4,"['Arkansas Blue Cross and Blue Shield', 'QC Life and Health', 'Ambetter of Arkansas', 'QualChoice Health Insurance']"
"Geneva, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"Keokuk, IA",1,['Coventry Health Care of Iowa Inc.']
"Scotland, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Menard, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois', 'Coventry Health Care']"
"Hot Springs, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Lunenburg, VA",3,"['Optima Health', 'HealthKeepers, Inc.', 'Piedmont Community HealthCare']"
"Stanton, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"DeKalb, IN",4,"['PHP', 'UnitedHealthcare', 'Ambetter from MHS', 'Anthem Blue Cross and Blue Shield']"
"Sully, SD",3,"['Sanford Health Plan', 'DAKOTACARE', 'Avera Health Plans, Inc.']"
"DeKalb, IL",4,"['Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois', 'Coventry Health Care']"
"Angelina, TX",1,['Blue Cross and Blue Shield of Texas']
"Mississippi, MO",3,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Coventry Health Care']"
"Yellowstone, MT",3,"['PacificSource Health Plans', 'Montana Health CO-OP', 'Blue Cross and Blue Shield of Montana']"
"Grant, LA",3,"['Blue Cross Blue Shield of Louisiana', 'UnitedHealthcare', 'Vantage Health Plan']"
"DeKalb, GA",7,"['Ambetter from Peach State Health Plan', 'Cigna Healthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare', 'Humana, Inc.', 'Coventry Health Care of Georgia, Inc.', 'Kaiser Permanente']"
"Walker, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Edgecombe, NC",1,['Blue Cross and Blue Shield of NC']
"Fairfield, SC",4,"['BlueChoice HealthPlan', ""Consumers' Choice Health Plan"", 'Coventry Health Care of the Carolinas, Inc.', 'BlueCross BlueShield of South Carolina']"
"Lynchburg city, VA",3,"['Optima Health', 'Piedmont Community HealthCare', 'HealthKeepers, Inc.']"
"Braxton, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Haskell, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Wayne, IL",4,"['Health Alliance Medical Plans, Inc.', 'Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Coventry Health Care']"
"Wayne, IN",3,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'MDwise Marketplace']"
"Phillips, AR",4,"['QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Rolette, ND",3,"['Medica', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Claiborne, TN",2,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee']"
"Wayne, IA",1,['Coventry Health Care of Iowa Inc.']
"Kearney, NE",2,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska']"
"Chase, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Baker, OR",7,"['Health Republic', 'LifeWise Health Plan of Oregon', 'PacificSource Health Plans', ""Oregon's Health CO-OP"", 'Moda Health Plan, Inc.', 'BridgeSpan Health Company', 'Providence Health Plan']"
"Jackson, OR",7,"['Moda Health Plan, Inc.', ""Oregon's Health CO-OP"", 'PacificSource Health Plans', 'LifeWise Health Plan of Oregon', 'Health Republic', 'BridgeSpan Health Company', 'Providence Health Plan']"
"Cooper, MO",3,"['Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Coventry Health Care']"
"Fairfield, OH",7,"['Aetna', 'MedMutual', 'CareSource', 'Anthem Blue Cross and Blue Shield', 'InHealth Mutual', 'UnitedHealthcare', 'Molina Marketplace']"
"Miami, OH",7,"['InHealth Mutual', 'HealthSpan', 'Anthem Blue Cross and Blue Shield', 'MedMutual', 'Premier Health Plan', 'CareSource', 'Humana, Inc.']"
"Iberia, LA",3,"['Blue Cross Blue Shield of Louisiana', 'UnitedHealthcare', 'Vantage Health Plan']"
"Stanton, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Fulton, PA",7,"['HealthAmerica Pennsylvania, Inc.', 'Capital BlueCross', 'Geisinger Choice', 'Highmark Inc.', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Highmark Health Insurance Company', 'Geisinger Health Plan']"
"Saunders, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Floyd, TX",2,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas']"
"Jefferson, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Haywood, NC",3,"['Blue Cross and Blue Shield of NC', 'Coventry Health Care of the Carolinas, Inc.', 'UnitedHealthcare']"
"Ochiltree, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Geauga, OH",8,"['InHealth Mutual', 'UnitedHealthcare', 'Aetna', 'MedMutual', 'CareSource', 'HealthSpan Integrated Care', 'SummaCare Inc', 'Anthem Blue Cross and Blue Shield']"
"Sevier, UT",4,"['Altius Health Plans Inc.', 'BridgeSpan Health Company', 'Arches Health Plan', 'SelectHealth']"
"Tyrrell, NC",1,['Blue Cross and Blue Shield of NC']
"Lafayette, FL",2,"['Florida Blue (BlueCross BlueShield FL)', 'UnitedHealthcare']"
"Butler, MO",3,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Terrell, TX",1,['Blue Cross and Blue Shield of Texas']
"Rogers, OK",3,"['CommunityCare of Oklahoma', 'GlobalHealth', 'Blue Cross and Blue Shield of Oklahoma']"
"Conway, AR",4,"['Arkansas Blue Cross and Blue Shield', 'Ambetter of Arkansas', 'QualChoice Health Insurance', 'QC Life and Health']"
"Branch, MI",3,"['Blue Cross Blue Shield of Michigan', 'Blue Care Network of Michigan', 'Priority Health']"
"Fairbanks North Star, AK",2,"['Moda Health', 'Premera Blue Cross Blue Shield of Alaska']"
"Polk, OR",9,"['Health Republic', 'Providence Health Plan', 'ATRIO Health Plans', ""Oregon's Health CO-OP"", 'PacificSource Health Plans', 'Moda Health Plan, Inc.', 'LifeWise Health Plan of Oregon', 'Kaiser Permanente', 'BridgeSpan Health Company']"
"Morris, TX",1,['Blue Cross and Blue Shield of Texas']
"Grayson, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Montgomery, AL",2,"['UnitedHealthcare', 'Blue Cross and Blue Shield of Alabama']"
"Sheridan, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Montgomery, AR",4,"['QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'Ambetter of Arkansas', 'QualChoice Health Insurance']"
"Sussex, VA",2,"['Optima Health', 'HealthKeepers, Inc.']"
"Aleutians West Census, AK",2,"['Moda Health', 'Premera Blue Cross Blue Shield of Alaska']"
"Dallam, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Botetourt, VA",3,"['Optima Health', 'HealthKeepers, Inc.', 'Aetna Life Insurance Company']"
"Pasco, FL",5,"['Humana, Inc.', 'Florida Blue (BlueCross BlueShield FL)', 'Florida Blue HMO (a BlueCross BlueShield FL company)', 'Cigna Healthcare', 'UnitedHealthcare']"
"Sandoval, NM",5,"['Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'CHRISTUS Health Plan NM', 'Blue Cross and Blue Shield of New Mexico', 'New Mexico Health Connections']"
"Shelby, IA",1,['Coventry Health Care of Iowa Inc.']
"Sanpete, UT",4,"['BridgeSpan Health Company', 'Arches Health Plan', 'SelectHealth', 'Altius Health Plans Inc.']"
"McCone, MT",3,"['Blue Cross and Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health CO-OP']"
"Putnam, IN",3,"['MDwise Marketplace', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare']"
"Garland, AR",4,"['Ambetter of Arkansas', 'Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'QC Life and Health']"
"Shelby, IL",4,"['Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care']"
"Shelby, IN",4,"['UnitedHealthcare', 'CareSource', 'MDwise Marketplace', 'Anthem Blue Cross and Blue Shield']"
"Washington, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"St. Louis city, MO",4,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Cigna Healthcare']"
"Ware, GA",2,"['Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare']"
"Pinal, AZ",8,"['University of Arizona Health Plans - University Healthcare Marketplace', 'Blue Cross Blue Shield of Arizona, Inc.', 'MERITUS MUTUAL HEALTH PARTNERS', 'Health Choice Insurance Co.', 'Aetna', 'Health Net', 'Cigna Healthcare', 'United Health One']"
"Christian, IL",4,"['Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross and Blue Shield of Illinois']"
"McIntosh, GA",3,"['UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'Humana, Inc.']"
"Sitka City and, AK",2,"['Premera Blue Cross Blue Shield of Alaska', 'Moda Health']"
"Bradford, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Geisinger Health Plan', 'Geisinger Choice', 'Blue Cross of Northeastern Pennsylvania']"
"Martin, NC",1,['Blue Cross and Blue Shield of NC']
"Taos, NM",5,"['Blue Cross and Blue Shield of New Mexico', 'CHRISTUS Health Plan NM', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan', 'New Mexico Health Connections']"
"Wirt, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Wythe, VA",3,"['Aetna Life Insurance Company', 'Optima Health', 'HealthKeepers, Inc.']"
"Ellis, TX",4,"['Cigna Healthcare', 'Blue Cross and Blue Shield of Texas', 'Aetna', 'Scott and White Health Plan']"
"Page, IA",1,['Coventry Health Care of Iowa Inc.']
"Lowndes, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Randolph, AR",4,"['QualChoice Health Insurance', 'QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'Ambetter of Arkansas']"
"Sumter, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Randolph, AL",2,"['Blue Cross and Blue Shield of Alabama', 'UnitedHealthcare']"
"Jones, NC",1,['Blue Cross and Blue Shield of NC']
"Deer Lodge, MT",3,"['Blue Cross and Blue Shield of Montana', 'Montana Health CO-OP', 'PacificSource Health Plans']"
"Barber, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Lee, GA",3,"['Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare', 'Coventry Health Care of Georgia, Inc.']"
"Crawford, OH",4,"['InHealth Mutual', 'MedMutual', 'Anthem Blue Cross and Blue Shield', 'Paramount Insurance Company']"
"George, MS",1,['Ambetter from Magnolia Health']
"Miller, MO",3,"['Coventry Health Care', 'UnitedHealthcare', 'Anthem Blue Cross and Blue Shield']"
"Oxford, ME",3,"['Harvard Pilgrim  Health Care Inc.', 'Maine Community Health Options', 'Anthem Blue Cross and Blue Shield']"
"Toole, MT",3,"['PacificSource Health Plans', 'Montana Health CO-OP', 'Blue Cross and Blue Shield of Montana']"
"White, AR",4,"['QC Life and Health', 'Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Rush, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Coventry Health and Life']"
"Bradford, FL",3,"['Florida Blue (BlueCross BlueShield FL)', 'Florida Blue HMO (a BlueCross BlueShield FL company)', 'UnitedHealthcare']"
"Carbon, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Ringgold, IA",1,['Coventry Health Care of Iowa Inc.']
"Oceana, MI",4,"['Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan', 'Priority Health', 'Consumers Mutual Insurance of Michigan']"
"Lynn, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Mathews, VA",3,"['HealthKeepers, Inc.', 'Aetna Life Insurance Company', 'Optima Health']"
"West Baton Rouge, LA",3,"['HMO Louisiana', 'Vantage Health Plan', 'Blue Cross Blue Shield of Louisiana']"
"Boone, IA",1,['Coventry Health Care of Iowa Inc.']
"Boone, IL",5,"['Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Humana, Inc.', 'Coventry Health Care']"
"Anderson, TX",1,['Blue Cross and Blue Shield of Texas']
"Boone, IN",6,"['PHP', 'MDwise Marketplace', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'Ambetter from MHS', 'CareSource']"
"Sullivan, NH",4,"['Community Health Options', 'Minuteman Health, Inc', 'Anthem Blue Cross and Blue Shield', 'Harvard Pilgrim Health Care of NE']"
"Marion, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Emanuel, GA",4,"['UnitedHealthcare', 'Humana, Inc.', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'Coventry Health Care of Georgia, Inc.']"
"Raleigh, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chickasaw, IA",1,['Coventry Health Care of Iowa Inc.']
"Cibola, NM",5,"['Blue Cross and Blue Shield of New Mexico', 'CHRISTUS Health Plan NM', 'Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections']"
"Powder River, MT",3,"['Montana Health CO-OP', 'PacificSource Health Plans', 'Blue Cross and Blue Shield of Montana']"
"Irwin, GA",2,"['UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Perry, PA",7,"['Highmark Health Insurance Company', 'Capital BlueCross', 'Highmark Inc.', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Geisinger Health Plan', 'Geisinger Choice', 'HealthAmerica Pennsylvania, Inc.']"
"Baxter, AR",4,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'QC Life and Health', 'Ambetter of Arkansas']"
"Saline, KS",4,"['Coventry Health and Life', 'Coventry Health Care Of Kansas Inc', 'Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.']"
"Racine, WI",6,"['Anthem Blue Cross and Blue Shield', 'Ambetter from MHS Health Wisconsin', 'Common Ground Healthcare Cooperative', 'Molina Marketplace', 'Arise Health Plan', 'UnitedHealthcare']"
"Effingham, GA",4,"['Coventry Health Care of Georgia, Inc.', 'Humana, Inc.', 'UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Menard, TX",2,"['Scott and White Health Plan', 'Blue Cross and Blue Shield of Texas']"
"Penobscot, ME",3,"['Harvard Pilgrim  Health Care Inc.', 'Anthem Blue Cross and Blue Shield', 'Maine Community Health Options']"
"Buchanan, VA",2,"['HealthKeepers, Inc.', 'Optima Health']"
"Wise, TX",3,"['Blue Cross and Blue Shield of Texas', 'Cigna Healthcare', 'UnitedHealthcare']"
"Hall, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Douglas, MO",2,"['Coventry Health and Life', 'Anthem Blue Cross and Blue Shield']"
"Lawrence, SD",3,"['DAKOTACARE', 'Avera Health Plans, Inc.', 'Sanford Health Plan']"
"Phelps, NE",2,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.']"
"Kingman, KS",4,"['Coventry Health Care Of Kansas Inc', 'Coventry Health and Life', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Falls, TX",4,"['FirstCare Health Plans', 'Blue Cross and Blue Shield of Texas', 'Scott and White Health Plan', 'Aetna']"
"Mills, IA",1,['Coventry Health Care of Iowa Inc.']
"Collin, TX",6,"['Cigna Healthcare', 'Molina Marketplace', 'Aetna', 'Blue Cross and Blue Shield of Texas', 'UnitedHealthcare', 'Scott and White Health Plan']"
"Houston, TN",1,['BlueCross BlueShield of Tennessee']
"Belmont, OH",4,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'Aetna', 'InHealth Mutual']"
"Tipton, TN",3,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Manassas Park city, VA",2,"['Kaiser Permanente', 'HealthKeepers, Inc.']"
"Houston, TX",2,"['Blue Cross and Blue Shield of Texas', 'FirstCare Health Plans']"
"Greene, MS",2,"['Ambetter from Magnolia Health', 'UnitedHealthcare']"
"Mason, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"San Augustine, TX",1,['Blue Cross and Blue Shield of Texas']
"Jenkins, GA",3,"['Humana, Inc.', 'UnitedHealthcare', 'Blue Cross Blue Shield Healthcare Plan of Georgia']"
"Currituck, NC",1,['Blue Cross and Blue Shield of NC']
"Doniphan, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'BlueCross BlueShield Kansas Solutions, Inc.', 'Coventry Health and Life']"
"Hardin, TN",1,['BlueCross BlueShield of Tennessee']
"Okmulgee, OK",3,"['Blue Cross and Blue Shield of Oklahoma', 'GlobalHealth', 'CommunityCare of Oklahoma']"
"Culpeper, VA",3,"['Optima Health', 'HealthKeepers, Inc.', 'Kaiser Permanente']"
"Greene, MO",3,"['Anthem Blue Cross and Blue Shield', 'Humana, Inc.', 'Coventry Health and Life']"
"Greeley, KS",3,"['BlueCross BlueShield Kansas Solutions, Inc.', 'Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Schuyler, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Wayne, PA",4,"['Geisinger Choice', 'Geisinger Health Plan', 'HealthAmerica Pennsylvania, Inc.', 'Blue Cross of Northeastern Pennsylvania']"
"Socorro, NM",5,"['Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections', 'Blue Cross and Blue Shield of New Mexico', 'CHRISTUS Health Plan NM']"
"Catron, NM",5,"['Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections', 'CHRISTUS Health Plan NM', 'Blue Cross and Blue Shield of New Mexico']"
"Apache, AZ",7,"['Health Net', 'MERITUS MUTUAL HEALTH PARTNERS', 'Health Choice Insurance Co.', 'Aetna', 'Cigna Healthcare', 'Blue Cross Blue Shield of Arizona, Inc.', 'United Health One']"
"Pike, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Blue Cross of Northeastern Pennsylvania', 'Geisinger Health Plan', 'Geisinger Choice']"
"McHenry, IL",4,"['Humana, Inc.', 'Coventry Health Care', 'Blue Cross and Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company']"
"Story, IA",1,['Coventry Health Care of Iowa Inc.']
"Gallia, OH",4,"['InHealth Mutual', 'Anthem Blue Cross and Blue Shield', 'MedMutual', 'Aetna']"
"Refugio, TX",2,"['Blue Cross and Blue Shield of Texas', 'Humana, Inc.']"
"Union, TN",2,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee']"
"Tucker, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Cocke, TN",2,"['Humana, Inc.', 'BlueCross BlueShield of Tennessee']"
"Hudspeth, TX",1,['Blue Cross and Blue Shield of Texas']
"Hardin, TX",3,"['Humana, Inc.', 'Aetna', 'Blue Cross and Blue Shield of Texas']"
"Luce, MI",2,"['Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Summit, OH",9,"['Aetna', 'SummaCare Inc', 'Anthem Blue Cross and Blue Shield', 'UnitedHealthcare', 'CareSource', 'Ambetter from Buckeye Health Plan', 'InHealth Mutual', 'HealthSpan Integrated Care', 'MedMutual']"
"Forsyth, GA",7,"['UnitedHealthcare', 'Coventry Health Care of Georgia, Inc.', 'Ambetter from Peach State Health Plan', 'Kaiser Permanente', 'Alliant Health Plans', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'Humana, Inc.']"
"Harris, GA",5,"['Humana, Inc.', 'Ambetter from Peach State Health Plan', 'Blue Cross Blue Shield Healthcare Plan of Georgia', 'UnitedHealthcare', 'Coventry Health Care of Georgia, Inc.']"
"Lackawanna, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Geisinger Choice', 'Geisinger Health Plan', 'Blue Cross of Northeastern Pennsylvania']"
"Quitman, MS",2,"['UnitedHealthcare', 'Ambetter from Magnolia Health']"
"Ramsey, ND",3,"['Sanford Health Plan', 'Blue Cross Blue Shield of North Dakota', 'Medica']"
"Josephine, OR",8,"['LifeWise Health Plan of Oregon', 'PacificSource Health Plans', 'Moda Health Plan, Inc.', 'Providence Health Plan', ""Oregon's Health CO-OP"", 'BridgeSpan Health Company', 'Health Republic', 'ATRIO Health Plans']"
"Carroll, MO",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Le Flore, OK",1,['Blue Cross and Blue Shield of Oklahoma']
"Carroll, MS",2,"['UnitedHealthcare', 'Humana, Inc.']"
"Adams, WI",5,"['Group Health Cooperative- SCW', 'Security Health Plan', 'Unity Health Insurance', 'UnitedHealthcare', 'Dean Health Plan']"
"Delaware, PA",3,"['UnitedHealthcare', 'Aetna', 'Independence Blue Cross']"
"Musselshell, MT",3,"['PacificSource Health Plans', 'Blue Cross and Blue Shield of Montana', 'Montana Health CO-OP']"
"Ashland, OH",6,"['SummaCare Inc', 'Anthem Blue Cross and Blue Shield', 'CareSource', 'InHealth Mutual', 'Paramount Insurance Company', 'MedMutual']"
