County,Number of Issuers,Issuers
"Childress, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Orange, TX",4,"['Aetna', 'Humana Health Plan of Texas, Inc.', 'Blue Cross Blue Shield of Texas', 'Community Health Choice']"
"Lycoming, PA",4,"['Blue Cross of Northeastern Pennsylvania', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Choice', 'Geisinger Health Plan']"
"Norfolk city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Mineral, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chester, TN",2,"['Community Health Alliance', 'BlueCross BlueShield of Tennessee']"
"McCulloch, TX",3,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas', 'Scott and White Health Plan']"
"Hidalgo, TX",3,"['Blue Cross Blue Shield of Texas', 'Humana Insurance Company', 'Molina Marketplace']"
"McClain, OK",4,"['Coventry Health and Life', 'Aetna', 'GlobalHealth', 'Blue Cross Blue Shield of Oklahoma']"
"Sequoyah, OK",3,"['Blue Cross Blue Shield of Oklahoma', 'GlobalHealth', 'Coventry Health and Life']"
"Box Elder, UT",4,"['SelectHealth', 'Arches Health Plan', 'Altius Health Plans Inc.', 'BridgeSpan Health Company']"
"Clark, AR",2,"['QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield']"
"Hodgeman, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Perry, OH",2,"['Anthem Blue Cross and Blue Shield', 'MedMutual']"
"Prince of Wales-Hyder Census, AK",2,"['Premera Blue Cross Blue Shield of Alaska', 'Moda Health Plan, Inc.']"
"Marshall, TN",2,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Brown, TX",1,['Blue Cross Blue Shield of Texas']
"Logan, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Warren, GA",2,"['Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
"Grundy, MO",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Jasper, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Jasper, IN",3,"['MDwise Marketplace', 'PHP', 'Anthem Blue Cross and Blue Shield']"
"Jasper, IL",4,"['Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Blue Cross Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company']"
"Rockingham, NC",1,['Blue Cross and Blue Shield of NC']
"Ouachita, AR",1,['Arkansas Blue Cross and Blue Shield']
"Geneva, AL",1,['Blue Cross and Blue Shield of Alabama']
"Keokuk, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Scotland, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Menard, IL",4,"['Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care', 'Blue Cross Blue Shield of Illinois']"
"Hot Springs, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Lunenburg, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Stanton, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.', 'CoOportunity Health']"
"DeKalb, IN",3,"['PHP', 'Ambetter from MHS', 'Anthem Blue Cross and Blue Shield']"
"Sully, SD",3,"['Sanford Health Plan', 'DAKOTACARE', 'Avera Health Plans, Inc.']"
"DeKalb, IL",4,"['Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care']"
"Angelina, TX",1,['Blue Cross Blue Shield of Texas']
"Mississippi, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Yellowstone, MT",3,"['Blue Cross Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health Cooperative']"
"Grant, LA",3,"['Vantage Health Plan, Inc.', 'Louisiana Health Cooperative', 'Blue Cross Blue Shield of Louisiana']"
"Tooele, UT",4,"['BridgeSpan Health Company', 'Altius Health Plans Inc.', 'SelectHealth', 'Arches Health Plan']"
"DeKalb, GA",3,"['Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.', 'Kaiser Permanente']"
"Walker, AL",1,['Blue Cross and Blue Shield of Alabama']
"Edgecombe, NC",1,['Blue Cross and Blue Shield of NC']
"Fairfield, SC",4,"['BlueChoice HealthPlan', 'BlueCross BlueShield of South Carolina', ""Consumers' Choice Health Plan"", 'Coventry Health Care of the Carolinas, Inc.']"
"Lynchburg city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Braxton, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Haskell, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Wayne, IL",3,"['Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company']"
"Wayne, IN",2,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace']"
"Phillips, AR",1,['Arkansas Blue Cross and Blue Shield']
"Rolette, ND",3,"['Medica Health Plans', 'Blue Cross Blue Shield of North Dakota', 'Sanford Health Plan']"
"Claiborne, TN",3,"['Humana Insurance Company', 'Community Health Alliance', 'BlueCross BlueShield of Tennessee']"
"Wayne, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Kearney, NE",3,"['Coventry Health Care of Nebraska Inc.', 'Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health']"
"Chase, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life', 'Coventry Health Care Of Kansas Inc']"
"Hughes, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Cooper, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Fairfield, OH",4,"['MedMutual', 'CareSource', 'Anthem Blue Cross and Blue Shield', 'MOLINA HEALTHCARE OF OHIO']"
"Miami, OH",4,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'HealthSpan', 'CareSource']"
"Iberia, LA",3,"['Vantage Health Plan, Inc.', 'Blue Cross Blue Shield of Louisiana', 'Louisiana Health Cooperative']"
"Stanton, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Fulton, PA",7,"['HealthAmerica Pennsylvania, Inc.', 'Capital BlueCross', 'Geisinger Choice', 'Highmark Inc.', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Highmark Health Insurance Company', 'Geisinger Health Plan']"
"Saunders, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.', 'CoOportunity Health']"
"Floyd, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Jefferson, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Haywood, NC",2,"['Coventry Health Care of the Carolinas, Inc.', 'Blue Cross and Blue Shield of NC']"
"Ochiltree, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Geauga, OH",5,"['MedMutual', 'CareSource', 'SummaCare Inc', 'Anthem Blue Cross and Blue Shield', 'Kaiser Permanente']"
"Sevier, UT",4,"['Altius Health Plans Inc.', 'BridgeSpan Health Company', 'Arches Health Plan', 'SelectHealth']"
"Tyrrell, NC",1,['Blue Cross and Blue Shield of NC']
"Lafayette, FL",1,['Florida Blue (BlueCross BlueShield FL)']
"Butler, MO",2,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield']"
"Terrell, TX",1,['Blue Cross Blue Shield of Texas']
"Rogers, OK",5,"['CommunityCare of Oklahoma', 'Blue Cross Blue Shield of Oklahoma', 'Coventry Health Care of Kansas, Inc.', 'Aetna', 'GlobalHealth']"
"Conway, AR",3,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Branch, MI",3,"['Blue Cross Blue Shield of Michigan', 'Blue Care Network of Michigan', 'Priority Health']"
"Fairbanks North Star, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Morris, TX",1,['Blue Cross Blue Shield of Texas']
"Grayson, VA",1,"['HealthKeepers, Inc.']"
"Montgomery, AL",1,['Blue Cross and Blue Shield of Alabama']
"Sheridan, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'Coventry Health Care of Nebraska Inc.', 'CoOportunity Health']"
"Montgomery, AR",2,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Sussex, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Aleutians West Census, AK",2,"['Premera Blue Cross Blue Shield of Alaska', 'Moda Health Plan, Inc.']"
"Dallam, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Botetourt, VA",4,"['Coventry Health Care of Virginia, Inc', 'Aetna Life Insurance Company', 'Optima Health Plan', 'HealthKeepers, Inc.']"
"Pasco, FL",6,"['Coventry Health Care of Florida, Inc.', 'Florida Blue (BlueCross BlueShield FL)', 'Aetna', 'Florida Blue HMO (a BlueCross BlueShield FL company)', 'Cigna Healthcare', 'Humana Medical Plan, Inc.']"
"Sandoval, NM",4,"['Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections', 'Blue Cross Blue Shield of New Mexico']"
"Shelby, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Sanpete, UT",4,"['Arches Health Plan', 'SelectHealth', 'BridgeSpan Health Company', 'Altius Health Plans Inc.']"
"McCone, MT",3,"['Blue Cross Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health Cooperative']"
"Putnam, IN",2,"['Anthem Blue Cross and Blue Shield', 'MDwise Marketplace']"
"Garland, AR",2,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Shelby, IL",4,"['Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care']"
"Shelby, IN",2,"['MDwise Marketplace', 'Anthem Blue Cross and Blue Shield']"
"Washington, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Pickens, AL",1,['Blue Cross and Blue Shield of Alabama']
"St. Louis city, MO",2,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield']"
"Ware, GA",1,['Blue Cross and Blue Shield of Georgia']
"Pinal, AZ",8,"['University of Arizona Health Plans - University Healthcare Marketplace', 'MERITUS MUTUAL HEALTH PARTNERS', 'Health Choice Insurance Co.', 'Health Net of Arizona, Inc.', 'Health Net Life Insurance Company', 'Aetna', 'Cigna Healthcare', 'Blue Cross Blue Shield of Arizona, Inc.']"
"Christian, IL",4,"['Health Alliance Medical Plans, Inc.', 'Blue Cross Blue Shield of Illinois', 'Coventry Health Care', 'Land of Lincoln Mutual Health Insurance Company']"
"McIntosh, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Sitka City and, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Bradford, PA",4,"['Blue Cross of Northeastern Pennsylvania', 'HealthAmerica Pennsylvania, Inc.', 'Geisinger Health Plan', 'Geisinger Choice']"
"Martin, NC",1,['Blue Cross and Blue Shield of NC']
"Taos, NM",4,"['Presbyterian Health Plan', 'Blue Cross Blue Shield of New Mexico', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections']"
"Wirt, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Wythe, VA",2,"['Aetna Life Insurance Company', 'HealthKeepers, Inc.']"
"Ellis, TX",3,"['Cigna Healthcare', 'Blue Cross Blue Shield of Texas', 'Aetna']"
"Page, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Lowndes, AL",1,['Blue Cross and Blue Shield of Alabama']
"Randolph, AR",2,"['QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield']"
"Sumter, AL",1,['Blue Cross and Blue Shield of Alabama']
"Randolph, AL",1,['Blue Cross and Blue Shield of Alabama']
"Jones, NC",1,['Blue Cross and Blue Shield of NC']
"Deer Lodge, MT",3,"['Montana Health Cooperative', 'Blue Cross Blue Shield of Montana', 'PacificSource Health Plans']"
"Barber, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Lee, GA",1,['Blue Cross and Blue Shield of Georgia']
"Crawford, OH",3,"['MedMutual', 'Anthem Blue Cross and Blue Shield', 'Paramount Insurance Company']"
"George, MS",1,['Ambetter from Magnolia Health Plan']
"Miller, MO",2,"['Coventry Health Care', 'Anthem Blue Cross and Blue Shield']"
"Oxford, ME",2,"['Maine Community Health Options', 'Anthem Blue Cross and Blue Shield']"
"Toole, MT",3,"['PacificSource Health Plans', 'Blue Cross Blue Shield of Montana', 'Montana Health Cooperative']"
"White, AR",3,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance', 'Ambetter of Arkansas']"
"Rush, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Twin Falls, ID",4,"['PacificSource Health Plans', 'SelectHealth', 'BridgeSpan Health Company', 'Blue Cross of Idaho']"
"Bradford, FL",2,"['Florida Blue (BlueCross BlueShield FL)', 'Florida Blue HMO (a BlueCross BlueShield FL company)']"
"Carbon, WY",2,"['Blue Cross Blue Shield of Wyoming', 'WINhealth Partners']"
"Ringgold, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Oceana, MI",4,"['Blue Cross Blue Shield of Michigan', 'Blue Care Network of Michigan', 'Priority Health', 'Consumers Mutual Insurance of Michigan']"
"Lynn, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Benewah, ID",3,"['PacificSource Health Plans', 'BridgeSpan Health Company', 'Blue Cross of Idaho']"
"Mathews, VA",3,"['Optima Health Plan', 'HealthKeepers, Inc.', 'Aetna Life Insurance Company']"
"West Baton Rouge, LA",4,"['Vantage Health Plan, Inc.', 'HMO Louisiana', 'Louisiana Health Cooperative', 'Blue Cross Blue Shield of Louisiana']"
"Boone, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Boone, IL",4,"['Blue Cross Blue Shield of Illinois', 'Land of Lincoln Mutual Health Insurance Company', 'Health Alliance Medical Plans, Inc.', 'Coventry Health Care']"
"Anderson, TX",1,['Blue Cross Blue Shield of Texas']
"Boone, IN",3,"['PHP', 'MDwise Marketplace', 'Anthem Blue Cross and Blue Shield']"
"Sullivan, NH",1,['Anthem Blue Cross and Blue Shield']
"Marion, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Emanuel, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Raleigh, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Chickasaw, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Cibola, NM",4,"['Blue Cross Blue Shield of New Mexico', 'Molina Health Care of New Mexico, Inc.', 'Presbyterian Health Plan', 'New Mexico Health Connections']"
"Powder River, MT",3,"['Blue Cross Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health Cooperative']"
"Irwin, GA",1,['Blue Cross and Blue Shield of Georgia']
"Perry, PA",7,"['Highmark Health Insurance Company', 'Geisinger Choice', 'Geisinger Health Plan', 'Keystone Health Plan Central, A Capital BlueCross Company', 'Highmark Inc.', 'Capital BlueCross', 'HealthAmerica Pennsylvania, Inc.']"
"Baxter, AR",3,"['QualChoice Health Insurance', 'Ambetter of Arkansas', 'Arkansas Blue Cross and Blue Shield']"
"Saline, KS",3,"['Coventry Health and Life', 'Coventry Health Care Of Kansas Inc', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Racine, WI",4,"['Anthem Blue Cross and Blue Shield', 'Common Ground Healthcare Cooperative', 'Arise Health Plan', 'Molina Healthcare of Wisconsin, Inc.']"
"Effingham, GA",2,"['Humana Employers Health Plan of Georgia, Inc.', 'Blue Cross and Blue Shield of Georgia']"
"Menard, TX",2,"['Scott and White Health Plan', 'Blue Cross Blue Shield of Texas']"
"Penobscot, ME",2,"['Anthem Blue Cross and Blue Shield', 'Maine Community Health Options']"
"Buchanan, VA",1,"['HealthKeepers, Inc.']"
"Wise, TX",2,"['Blue Cross Blue Shield of Texas', 'Cigna Healthcare']"
"Hall, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health', 'Coventry Health Care of Nebraska Inc.']"
"Douglas, MO",2,"['Coventry Health and Life', 'Anthem Blue Cross and Blue Shield']"
"Lawrence, SD",3,"['Sanford Health Plan', 'Avera Health Plans, Inc.', 'DAKOTACARE']"
"Phelps, NE",3,"['Blue Cross and Blue Shield of Nebraska', 'CoOportunity Health', 'Coventry Health Care of Nebraska Inc.']"
"Kingman, KS",3,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health Care Of Kansas Inc', 'Coventry Health and Life']"
"Falls, TX",4,"['FirstCare Health Plans', 'Scott and White Health Plan', 'Blue Cross Blue Shield of Texas', 'Aetna']"
"Mills, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Collin, TX",4,"['Cigna Healthcare', 'Molina Marketplace', 'Blue Cross Blue Shield of Texas', 'Aetna']"
"Houston, TN",2,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Belmont, OH",3,"['Anthem Blue Cross and Blue Shield', 'MedMutual', 'Coventry Health and Life']"
"Tipton, TN",4,"['Humana Insurance Company', 'Community Health Alliance', 'BlueCross BlueShield of Tennessee', 'Cigna Healthcare']"
"Manassas Park city, VA",2,"['Kaiser Permanente', 'HealthKeepers, Inc.']"
"Houston, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Greene, MS",1,['Ambetter from Magnolia Health Plan']
"Mason, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"San Augustine, TX",1,['Blue Cross Blue Shield of Texas']
"Jenkins, GA",2,"['Blue Cross and Blue Shield of Georgia', 'Humana Employers Health Plan of Georgia, Inc.']"
"Currituck, NC",1,['Blue Cross and Blue Shield of NC']
"Doniphan, KS",2,"['Blue Cross and Blue Shield of Kansas, Inc.', 'Coventry Health and Life']"
"Hardin, TN",2,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Okmulgee, OK",3,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health Care of Kansas, Inc.', 'GlobalHealth']"
"Culpeper, VA",3,"['Optima Health Plan', 'HealthKeepers, Inc.', 'Kaiser Permanente']"
"Greene, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health and Life']"
"Greeley, KS",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Schuyler, MO",2,"['Anthem Blue Cross and Blue Shield', 'Coventry Health Care']"
"Wayne, PA",4,"['Geisinger Choice', 'Geisinger Health Plan', 'HealthAmerica Pennsylvania, Inc.', 'Blue Cross of Northeastern Pennsylvania']"
"Socorro, NM",4,"['Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'Blue Cross Blue Shield of New Mexico', 'New Mexico Health Connections']"
"Catron, NM",4,"['Blue Cross Blue Shield of New Mexico', 'Presbyterian Health Plan', 'Molina Health Care of New Mexico, Inc.', 'New Mexico Health Connections']"
"Apache, AZ",6,"['MERITUS MUTUAL HEALTH PARTNERS', 'Health Choice Insurance Co.', 'Health Net Life Insurance Company', 'Aetna', 'Cigna Healthcare', 'Blue Cross Blue Shield of Arizona, Inc.']"
"Pike, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Blue Cross of Northeastern Pennsylvania', 'Geisinger Health Plan', 'Geisinger Choice']"
"McHenry, IL",5,"['Aetna', 'Humana Health Plan, Inc.', 'Blue Cross Blue Shield of Illinois', 'Humana Insurance Company', 'Land of Lincoln Mutual Health Insurance Company']"
"Story, IA",2,"['Coventry Health Care of Iowa Inc.', 'CoOportunity Health']"
"Gallia, OH",3,"['Coventry Health and Life', 'Anthem Blue Cross and Blue Shield', 'MedMutual']"
"Refugio, TX",2,"['Blue Cross Blue Shield of Texas', 'Humana Health Plan of Texas, Inc.']"
"Union, TN",3,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance', 'Humana Insurance Company']"
"Tucker, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Cocke, TN",3,"['Humana Insurance Company', 'Community Health Alliance', 'BlueCross BlueShield of Tennessee']"
"Hudspeth, TX",1,['Blue Cross Blue Shield of Texas']
"Hardin, TX",3,"['Aetna', 'Humana Health Plan of Texas, Inc.', 'Blue Cross Blue Shield of Texas']"
"Luce, MI",2,"['Blue Cross Blue Shield of Michigan', 'Consumers Mutual Insurance of Michigan']"
"Summit, OH",6,"['SummaCare Inc', 'Anthem Blue Cross and Blue Shield', 'Ambetter from Buckeye Community Health Plan', 'Kaiser Permanente', 'CareSource', 'MedMutual']"
"Forsyth, GA",4,"['Blue Cross and Blue Shield of Georgia', 'Kaiser Permanente', 'Alliant Health Plans', 'Humana Employers Health Plan of Georgia, Inc.']"
"Harris, GA",3,"['Blue Cross and Blue Shield of Georgia', 'Ambetter from Peach State Health Plan', 'Humana Employers Health Plan of Georgia, Inc.']"
"Lackawanna, PA",4,"['HealthAmerica Pennsylvania, Inc.', 'Geisinger Choice', 'Geisinger Health Plan', 'Blue Cross of Northeastern Pennsylvania']"
"Quitman, MS",1,['Ambetter from Magnolia Health Plan']
"Ramsey, ND",3,"['Sanford Health Plan', 'Blue Cross Blue Shield of North Dakota', 'Medica Health Plans']"
"Pittsylvania, VA",2,"['Coventry Health Care of Virginia, Inc', 'HealthKeepers, Inc.']"
"Carroll, MO",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas City']"
"Le Flore, OK",2,"['Coventry Health and Life', 'Blue Cross Blue Shield of Oklahoma']"
"Carroll, MS",1,['Humana Insurance Company']
"Adams, WI",2,"['Security Health Plan', 'Dean Health Plan']"
"Delaware, PA",2,"['Independence Blue Cross', 'Aetna']"
"Musselshell, MT",3,"['Blue Cross Blue Shield of Montana', 'PacificSource Health Plans', 'Montana Health Cooperative']"
"Ashland, OH",4,"['SummaCare Inc', 'Anthem Blue Cross and Blue Shield', 'Paramount Insurance Company', 'MedMutual']"
"Floyd, GA",3,"['Blue Cross and Blue Shield of Georgia', 'Alliant Health Plans', 'Humana Employers Health Plan of Georgia, Inc.']"
"Allendale, SC",3,"['BlueChoice HealthPlan', ""Consumers' Choice Health Plan"", 'BlueCross BlueShield of South Carolina']"
"Garza, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Cannon, TN",1,['BlueCross BlueShield of Tennessee']
"Hendry, FL",2,"['Florida Blue HMO (a BlueCross BlueShield FL company)', 'Florida Blue (BlueCross BlueShield FL)']"
"Clay, KS",2,"['Coventry Health and Life', 'Blue Cross and Blue Shield of Kansas, Inc.']"
"Johnson, IA",2,"['CoOportunity Health', 'Coventry Health Care of Iowa Inc.']"
"Hansford, TX",2,"['Blue Cross Blue Shield of Texas', 'FirstCare Health Plans']"
"Doddridge, WV",1,['Highmark Blue Cross Blue Shield West Virginia']
"Miner, SD",3,"['Avera Health Plans, Inc.', 'Sanford Health Plan', 'DAKOTACARE']"
"Wayne, UT",4,"['Arches Health Plan', 'Altius Health Plans Inc.', 'SelectHealth', 'BridgeSpan Health Company']"
"Johnson, IL",3,"['Blue Cross Blue Shield of Illinois', 'Health Alliance Medical Plans, Inc.', 'Land of Lincoln Mutual Health Insurance Company']"
"Bristol Bay, AK",2,"['Moda Health Plan, Inc.', 'Premera Blue Cross Blue Shield of Alaska']"
"Amite, MS",1,['Humana Insurance Company']
"Covington city, VA",2,"['Optima Health Plan', 'HealthKeepers, Inc.']"
"Castro, TX",2,"['FirstCare Health Plans', 'Blue Cross Blue Shield of Texas']"
"Decatur, TN",2,"['BlueCross BlueShield of Tennessee', 'Community Health Alliance']"
"Atoka, OK",2,"['Blue Cross Blue Shield of Oklahoma', 'Coventry Health and Life']"
"Fluvanna, VA",3,"['Optima Health Plan', 'HealthKeepers, Inc.', 'Coventry Health Care of Virginia, Inc']"
"Woodruff, AR",2,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Oliver, ND",3,"['Sanford Health Plan', 'Blue Cross Blue Shield of North Dakota', 'Medica Health Plans']"
"Morehouse, LA",3,"['Blue Cross Blue Shield of Louisiana', 'Vantage Health Plan, Inc.', 'Louisiana Health Cooperative']"
"Searcy, AR",3,"['Ambetter of Arkansas', 'QualChoice Health Insurance', 'Arkansas Blue Cross and Blue Shield']"
"Pitt, NC",1,['Blue Cross and Blue Shield of NC']
"Calhoun, MI",4,"['Blue Care Network of Michigan', 'Blue Cross Blue Shield of Michigan', 'Meridian Health Plan of Michigan, Inc.', 'Priority Health']"
"Henry, MO",2,"['Blue Cross and Blue Shield of Kansas City', 'Coventry Health and Life']"
"Rains, TX",1,['Blue Cross Blue Shield of Texas']
"Clay, AR",2,"['Arkansas Blue Cross and Blue Shield', 'QualChoice Health Insurance']"
"Grant, SD",3,"['Avera Health Plans, Inc.', 'DAKOTACARE', 'Sanford Health Plan']"
"Cullman, AL",1,['Blue Cross and Blue Shield of Alabama']
"Llano, TX",4,"['Aetna', 'FirstCare Health Plans', 'Scott and White Health Plan', 'Blue Cross Blue Shield of Texas']"
