Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
010021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360,DALE,3347742601,Acute Care Hospitals,Government - Hospital District or Authority,true,"126 HOSPITAL AVE
OZARK, AL 36360
(31.451350713000068, -85.63094293699999)"
010022,CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,2569275531,Acute Care Hospitals,Voluntary non-profit - Private,true,"400 NORTHWOOD DR
CENTRE, AL 35960
(34.16275020900002, -85.64348979299996)"
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,3342882100,Acute Care Hospitals,Voluntary non-profit - Church,true,"2105 EAST SOUTH BOULEVARD
MONTGOMERY, AL 36116
(32.32718605800005, -86.27659061099996)"
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,3342938000,Acute Care Hospitals,Voluntary non-profit - Private,true,"1725 PINE STREET
MONTGOMERY, AL 36106
(32.36658118200006, -86.28577143999996)"
010029,EAST ALABAMA MEDICAL CENTER,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,3347493411,Acute Care Hospitals,Government - Hospital District or Authority,true,"2000 PEPPERELL PARKWAY
OPELIKA, AL 36801
(32.63808805900004, -85.40445272799997)"
010032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,true,"209 NORTH MAIN STREET
WEDOWEE, AL 36278
(33.31155057800004, -85.48497697399995)"
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059344011,Acute Care Hospitals,Government - State,true,"619 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.50902324400005, -86.79972854499994)"
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,3342836541,Acute Care Hospitals,Voluntary non-profit - Private,true,"805 FRIENDSHIP ROAD
TALLASSEE, AL 36078
(32.534927776000075, -85.90985375199995)"
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,2567372000,Acute Care Hospitals,Government - Hospital District or Authority,true,"1912 ALABAMA HIGHWAY 157
CULLMAN, AL 35058
(34.19859606700004, -86.80404845899994)"
010036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,3342228466,Acute Care Hospitals,Proprietary,true,"849 SOUTH THREE NOTCH STREET
ANDALUSIA, AL 36420
"
010038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,CALHOUN,2562358900,Acute Care Hospitals,Proprietary,true,"301 EAST 18TH ST
ANNISTON, AL 36201
(33.667678057000046, -85.83426678999996)"
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,2562651000,Acute Care Hospitals,Government - Hospital District or Authority,true,"101 SIVLEY RD
HUNTSVILLE, AL 35801
(34.72108061800003, -86.58128515799996)"
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,2564944000,Acute Care Hospitals,Proprietary,true,"1007 GOODYEAR AVENUE
GADSDEN, AL 35903
(34.00938024200008, -85.96778839099994)"
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,2059216200,Acute Care Hospitals,Voluntary non-profit - Private,true,"1256 MILITARY STREET SOUTH
HAMILTON, AL 35570
(34.12668982400004, -87.98987352799998)"
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,true,"1653 TEMPLE AVENUE NORTH
FAYETTE, AL 35555
(33.70769618400004, -87.82377536299998)"
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,2565435200,Acute Care Hospitals,Proprietary,true,"600 SOUTH THIRD STREET
GADSDEN, AL 35901
(34.00337850600005, -86.00409109099996)"
010047,GEORGIANA MEDICAL CENTER,515 N MIRANDA AVENUE,GEORGIANA,AL,36033,BUTLER,3343762205,Acute Care Hospitals,Proprietary,true,"515 N MIRANDA AVENUE
GEORGIANA, AL 36033
(31.636361081000075, -86.74277274699995)"
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,3343470584,Acute Care Hospitals,Proprietary,true,"400 N EDWARDS STREET
ENTERPRISE, AL 36330
(31.318719619000035, -85.85572776899994)"
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,2053723388,Acute Care Hospitals,Government - Local,true,"509 WILSON AVENUE
EUTAW, AL 35462
(32.84235320400006, -87.89002235799995)"
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Proprietary,true,"201 MARIARDEN ROAD
DADEVILLE, AL 36853
(32.81867788400007, -85.74161727099994)"
010054,DECATUR MORGAN HOSPITAL-PARKWAY CAMPUS,1874 BELTLINE RD SW,DECATUR,AL,35601,MORGAN,2563502211,Acute Care Hospitals,Proprietary,true,"1874 BELTLINE RD SW
DECATUR, AL 35601
(34.57574902700003, -87.01654568799995)"
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,HOUSTON,3347935000,Acute Care Hospitals,Proprietary,true,"4370 WEST MAIN STREET
DOTHAN, AL 36305
"
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,2059397000,Acute Care Hospitals,Voluntary non-profit - Private,true,"810 ST VINCENT'S DRIVE
BIRMINGHAM, AL 35205
(33.50797325600007, -86.78874763899995)"
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,2059264881,Acute Care Hospitals,Government - Hospital District or Authority,true,"208 PIERSON AVE
CENTREVILLE, AL 35042
(32.95133452600004, -87.14764515199994)"
010059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,2569742200,Acute Care Hospitals,Government - Hospital District or Authority,true,"202 HOSPITAL STREET
MOULTON, AL 35650
(34.482945975000064, -87.28600283599997)"
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,2562594444,Acute Care Hospitals,Government - Hospital District or Authority,true,"380 WOODS COVE ROAD
SCOTTSBORO, AL 35768
(34.66168264100003, -86.04673208299994)"
010062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,3346843655,Acute Care Hospitals,Government - Hospital District or Authority,true,"1200 W MAPLE AVENUE
GENEVA, AL 36340
(31.04804746900004, -85.89112586699997)"
010065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,2563297100,Acute Care Hospitals,Voluntary non-profit - Private,true,"3316 HIGHWAY 280
ALEXANDER CITY, AL 35010
(32.931334950000064, -85.96878845399993)"
010069,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,3346887271,Acute Care Hospitals,Government - Hospital District or Authority,true,"820 W WASHINGTON ST
EUFAULA, AL 36027
(31.88801827700007, -85.15606109899994)"
010073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,2563542131,Acute Care Hospitals,Government - Hospital District or Authority,true,"83825 HIGHWAY 9 P O BOX 1270
ASHLAND, AL 36251
(33.27665890500003, -85.82361169599994)"
010078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,true,"400 EAST 10TH STREET
ANNISTON, AL 36207
(33.657075605000045, -85.82345700699994)"
010079,ATHENS-LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,2562339292,Acute Care Hospitals,Government - Hospital District or Authority,true,"700 WEST MARKET STREET
ATHENS, AL 35611
(34.80357778700005, -86.97837640099993)"
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,2519493400,Acute Care Hospitals,Proprietary,true,"1613 NORTH MCKENZIE STREET
FOLEY, AL 36535
(30.425680471000078, -87.68324211899994)"
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,2563412000,Acute Care Hospitals,Government - Hospital District or Authority,true,"1201 7TH STREET SE
DECATUR, AL 35601
(34.59115554700003, -86.97263926799997)"
010086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,MARION,2054877736,Acute Care Hospitals,Proprietary,true,"1530 U S HIGHWAY 43
WINFIELD, AL 35594
"
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,2514717110,Acute Care Hospitals,Government - State,true,"2451 FILLINGIM STREET
MOBILE, AL 36617
(30.708153140000036, -88.09899576799995)"
010089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,2053874000,Acute Care Hospitals,Voluntary non-profit - Private,true,"3400 HIGHWAY 78 EAST
JASPER, AL 35502
"
010090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,2516331000,Acute Care Hospitals,Voluntary non-profit - Church,true,"6801 AIRPORT BOULEVARD
MOBILE, AL 36608
(30.68208912600005, -88.19924246199997)"
010091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,2512753191,Acute Care Hospitals,Government - Hospital District or Authority,true,"295 JACKSON HWY S
GROVE HILL, AL 36451
"
010092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,2057597111,Acute Care Hospitals,Government - Hospital District or Authority,true,"809 UNIVERSITY BOULEVARD EAST
TUSCALOOSA, AL 35401
(33.20617336400005, -87.52548321599994)"
010095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,3346243024,Acute Care Hospitals,Government - Local,true,"508 GREEN STREET
GREENSBORO, AL 36744
(32.694750111000076, -87.58692229699994)"
010097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,3345674311,Acute Care Hospitals,Government - State,true,"500 HOSPITAL DRIVE
WETUMPKA, AL 36092
(32.55226755500007, -86.18703624199998)"
010099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,2518678061,Acute Care Hospitals,Government - Hospital District or Authority,true,"1301 BELLEVILLE AVENUE
BREWTON, AL 36426
(31.127213651000034, -87.07247839899998)"
010100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,2519282375,Acute Care Hospitals,Government - Hospital District or Authority,true,"750 MORPHY AVENUE
FAIRHOPE, AL 36532
(30.519966314000044, -87.88950804299998)"
010101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161,TALLADEGA,2567614542,Acute Care Hospitals,Voluntary non-profit - Private,true,"604 STONE AVENUE
TALLADEGA, AL 35161
(33.43980936100007, -86.09087857499998)"
010102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Government - Hospital District or Authority,false,"317 MCWILLIAMS AVENUE
CAMDEN, AL 36726
"
010103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,2057833800,Acute Care Hospitals,Voluntary non-profit - Church,true,"701 PRINCETON AVENUE SOUTHWEST
BIRMINGHAM, AL 35211
"
010104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,JEFFERSON,2055921000,Acute Care Hospitals,Proprietary,true,"800 MONTCLAIR RD
BIRMINGHAM, AL 35213
(33.51533518400004, -86.74670548499995)"
010108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,3343614267,Acute Care Hospitals,Government - Hospital District or Authority,true,"124 S MEMORIAL DR
PRATTVILLE, AL 36067
"
010109,PICKENS COUNTY MEDICAL CENTER,241 ROBERT K WILSON DRIVE,CARROLLTON,AL,35447,PICKENS,2053678111,Acute Care Hospitals,Government - Hospital District or Authority,true,"241 ROBERT K WILSON DRIVE
CARROLLTON, AL 35447
(33.274750813000026, -88.08964716199995)"
010110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,3347382140,Acute Care Hospitals,Proprietary,true,"102 WEST CONECUH AVENUE
UNION SPRINGS, AL 36089
(32.141250273000026, -85.70150667999997)"
010112,BRYAN W WHITFIELD MEM HOSP INC,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,3342894000,Acute Care Hospitals,Government - Hospital District or Authority,true,"105 HIGHWAY 80 EAST
DEMOPOLIS, AL 36732
(32.50364788300004, -87.83705445699997)"
010113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,MOBILE,2514354700,Acute Care Hospitals,Voluntary non-profit - Private,true,"5 MOBILE INFIRMARY CIRCLE
MOBILE, AL 36652
"
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,JEFFERSON,2054817000,Acute Care Hospitals,Government - Hospital District or Authority,true,"995 9TH AVENUE SOUTHWEST
BESSEMER, AL 35021
(33.373014854000076, -86.99174385199996)"
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,3344184100,Acute Care Hospitals,Proprietary,true,"1015 MEDICAL CENTER PARKWAY
SELMA, AL 36701
(32.43003551100003, -87.05490514999997)"
010120,MONROE COUNTY HOSPITAL,"2016 SOUTH ALABAMA AVENUE, BOX 886",MONROEVILLE,AL,36460,MONROE,2515753111,Acute Care Hospitals,Government - Local,true,"2016 SOUTH ALABAMA AVENUE, BOX 886
MONROEVILLE, AL 36460
"
010125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E     POST OFFICE BOX 780,HALEYVILLE,AL,35565,WINSTON,2054857117,Acute Care Hospitals,Voluntary non-profit - Church,true,"42024 HIGHWAY 195 E POST OFFICE BOX 780
HALEYVILLE, AL 35565
(34.241099199000075, -87.59093156099999)"
010126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,3346705000,Acute Care Hospitals,Government - Federal,true,"1330 HIGHWAY 231 SOUTH
TROY, AL 36081
(31.780395441000053, -85.94585267399998)"
010128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,2512469021,Acute Care Hospitals,Proprietary,true,"220 HOSPITAL DRIVE
JACKSON, AL 36545
(31.530602078000072, -87.89346675299998)"
010129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,2519375521,Acute Care Hospitals,Voluntary non-profit - Private,true,"1815 HAND AVENUE
BAY MINETTE, AL 36507
(30.90193608800007, -87.78311330099996)"
010130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,SAINT CLAIR,2053383301,Acute Care Hospitals,Voluntary non-profit - Private,true,"7063 VETERANS PARKWAY
PELL CITY, AL 35125
(33.604999676000034, -86.30046997699998)"
010131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,2568823100,Acute Care Hospitals,Proprietary,true,"ONE HOSPITAL DR SE
HUNTSVILLE, AL 35801
"
010138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,2053925263,Acute Care Hospitals,Voluntary non-profit - Other,true,"751 DERBY DRIVE
YORK, AL 36925
(32.49162270900007, -88.29593628999999)"
010139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,2058771000,Acute Care Hospitals,Proprietary,true,"2010 BROOKWOOD MEDICAL CENTER DRIVE
BIRMINGHAM, AL 35209
(33.46306652900006, -86.77656110699996)"
010144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,2513449630,Acute Care Hospitals,Proprietary,true,"3719 DAUPHIN STREET
MOBILE, AL 36608
"
010146,RMC JACKSONVILLE,1701 SOUTH PELHAM ROAD,JACKSONVILLE,AL,36265,CALHOUN,2567824538,Acute Care Hospitals,Proprietary,true,"1701 SOUTH PELHAM ROAD
JACKSONVILLE, AL 36265
(33.78560261500007, -85.76124893499997)"
010148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,true,"101 CRESTVIEW AVENUE
EVERGREEN, AL 36401
(31.43103941800007, -86.94130531699994)"
010149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,3342448330,Acute Care Hospitals,Government - Hospital District or Authority,true,"400 TAYLOR ROAD
MONTGOMERY, AL 36117
(32.376357615000074, -86.17186895999998)"
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,2059334515,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"700 SOUTH 19TH STREET
BIRMINGHAM, AL 35233
(33.50902324400005, -86.79972854499994)"
010150,L V STABLER MEMORIAL HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,3343822200,Acute Care Hospitals,Proprietary,true,"29 L V STABLER DRIVE
GREENVILLE, AL 36037
"
010157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,2563861601,Acute Care Hospitals,Government - Hospital District or Authority,true,"201 WEST AVALON AVENUE
MUSCLE SHOALS, AL 35661
(34.744994844000075, -87.67642553599995)"
010158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,2563321611,Acute Care Hospitals,Proprietary,true,"15155 HIGHWAY 43
RUSSELLVILLE, AL 35653
(34.511260994000054, -87.71760501499995)"
010164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,2562495000,Acute Care Hospitals,Voluntary non-profit - Other,true,"315 W HICKORY ST
SYLACAUGA, AL 35150
(33.164645473000064, -86.25412046599996)"
010168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,3347323000,Acute Care Hospitals,Government - State,true,"4401 RIVER CHASE DRIVE
PHENIX CITY, AL 36867
(32.509125106000056, -85.00575018799998)"
010169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,2513682500,Acute Care Hospitals,Government - Hospital District or Authority,true,"401 MEDICAL PARK DRIVE
ATMORE, AL 36502
(31.017000387000053, -87.47965811999995)"
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,3342604100,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"215 PERRY HILL ROAD
MONTGOMERY, AL 36109
(32.37989606800005, -86.24662606199996)"
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,AL,35404,TUSCALOOSA,2055542000,ACUTE CARE - VETERANS ADMINISTRATION,Government Federal,false,"3701 LOOP ROAD
TUSCALOOSA, AL 35404
(33.19321286600007, -87.48836588499995)"
011300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,2518472223,Critical Access Hospitals,Proprietary,true,"14600 ST. STEPHENS AVENUE
CHATOM, AL 36518
(31.459573689000024, -88.23330173799997)"
011302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,2563569532,Critical Access Hospitals,Government - Hospital District or Authority,true,"211 HOSPITAL ROAD
RED BAY, AL 35582
(34.45749636600004, -88.14712255699999)"
011304,CHOCTAW GENERAL HOSPITAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,2054599100,Critical Access Hospitals,Voluntary non-profit - Private,true,"401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL 36904
(32.100342228000045, -88.21280179099995)"
013301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,2514151000,Childrens,Government - State,true,"1700 CENTER STREET
MOBILE, AL 36604
"
020001,PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,AK,99508,ANCHORAGE,9072613675,Acute Care Hospitals,Voluntary non-profit - Church,true,"BOX 196604
ANCHORAGE, AK 99508
(61.205296213000054, -149.81210628299996)"
020006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care Hospitals,Voluntary non-profit - Private,true,"2500 SOUTH WOODWORTH LOOP
PALMER, AK 99645
(61.56200592200008, -149.26054740599997)"
020008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,9077968900,Acute Care Hospitals,Government - Local,true,"3260 HOSPITAL DR
JUNEAU, AK 99801
(58.32944252500005, -134.46585505299998)"
020012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,9074528181,Acute Care Hospitals,Voluntary non-profit - Other,true,"1650 COWLES STREET
FAIRBANKS, AK 99701
(64.83294821500004, -147.73656572899998)"
020017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,9072761131,Acute Care Hospitals,Proprietary,true,"2801 DEBARR ROAD
ANCHORAGE, AK 99508
(61.20975602900006, -149.82899175899996)"
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,9075436300,Acute Care Hospitals,Government - Federal,true,"PO BOX 287
BETHEL, AK 99559
"
020026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,9075632662,Acute Care Hospitals,Government - Federal,true,"4315 DIPLOMACY DR
ANCHORAGE, AK 99508
"
020027,MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,SITKA,9079662411,Acute Care Hospitals,Voluntary non-profit - Private,true,"222 TONGASS DR
SITKA, AK 99835
(57.04952119600006, -135.354821825)"
021303,SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,SITKA,9077473241,Critical Access Hospitals,Government - Local,true,"209 MOLLER DRIVE
SITKA, AK 99835
(57.058676569000056, -135.345220021)"
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND,9074869592,Critical Access Hospitals,Voluntary non-profit - Private,true,"1915 EAST REZANOF DRIVE
KODIAK, AK 99615
"
021308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,9074433311,Critical Access Hospitals,Voluntary non-profit - Private,true,"1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK 99762
(64.49778930600007, -165.40803860899996)"
021309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,true,"P O BOX 130
DILLINGHAM, AK 99576
"
