i,s,c,id
"QualChoice Life & Health Insurance Company, Inc.",AR,Drew,"Drew, AR"
"QCA Health Plan, Inc.",AR,Faulkner,"Faulkner, AR"
USAble Mutual Insurance Company,AR,Faulkner,"Faulkner, AR"
Celtic Insurance Company,AR,Faulkner,"Faulkner, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Faulkner,"Faulkner, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Franklin,"Franklin, AR"
USAble Mutual Insurance Company,AR,Franklin,"Franklin, AR"
"QCA Health Plan, Inc.",AR,Franklin,"Franklin, AR"
Celtic Insurance Company,AR,Franklin,"Franklin, AR"
"QCA Health Plan, Inc.",AR,Fulton,"Fulton, AR"
Celtic Insurance Company,AR,Fulton,"Fulton, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Fulton,"Fulton, AR"
USAble Mutual Insurance Company,AR,Fulton,"Fulton, AR"
Celtic Insurance Company,AR,Garland,"Garland, AR"
"QCA Health Plan, Inc.",AR,Garland,"Garland, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Garland,"Garland, AR"
USAble Mutual Insurance Company,AR,Garland,"Garland, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Grant,"Grant, AR"
USAble Mutual Insurance Company,AR,Grant,"Grant, AR"
"QCA Health Plan, Inc.",AR,Grant,"Grant, AR"
Celtic Insurance Company,AR,Grant,"Grant, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Greene,"Greene, AR"
Celtic Insurance Company,AR,Greene,"Greene, AR"
USAble Mutual Insurance Company,AR,Greene,"Greene, AR"
"QCA Health Plan, Inc.",AR,Greene,"Greene, AR"
"QCA Health Plan, Inc.",AR,Hempstead,"Hempstead, AR"
USAble Mutual Insurance Company,AR,Hempstead,"Hempstead, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Hempstead,"Hempstead, AR"
Celtic Insurance Company,AR,Hempstead,"Hempstead, AR"
Celtic Insurance Company,AR,Hot Spring,"Hot Spring, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Hot Spring,"Hot Spring, AR"
"QCA Health Plan, Inc.",AR,Hot Spring,"Hot Spring, AR"
USAble Mutual Insurance Company,AR,Hot Spring,"Hot Spring, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Howard,"Howard, AR"
"QCA Health Plan, Inc.",AR,Howard,"Howard, AR"
USAble Mutual Insurance Company,AR,Howard,"Howard, AR"
Celtic Insurance Company,AR,Howard,"Howard, AR"
"QCA Health Plan, Inc.",AR,Independence,"Independence, AR"
USAble Mutual Insurance Company,AR,Independence,"Independence, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Independence,"Independence, AR"
Celtic Insurance Company,AR,Independence,"Independence, AR"
USAble Mutual Insurance Company,AR,Izard,"Izard, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Izard,"Izard, AR"
Celtic Insurance Company,AR,Izard,"Izard, AR"
"QCA Health Plan, Inc.",AR,Izard,"Izard, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Jackson,"Jackson, AR"
USAble Mutual Insurance Company,AR,Jackson,"Jackson, AR"
"QCA Health Plan, Inc.",AR,Jackson,"Jackson, AR"
Celtic Insurance Company,AR,Jackson,"Jackson, AR"
"QCA Health Plan, Inc.",AR,Jefferson,"Jefferson, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Jefferson,"Jefferson, AR"
USAble Mutual Insurance Company,AR,Jefferson,"Jefferson, AR"
Celtic Insurance Company,AR,Jefferson,"Jefferson, AR"
Celtic Insurance Company,AR,Johnson,"Johnson, AR"
USAble Mutual Insurance Company,AR,Johnson,"Johnson, AR"
"QCA Health Plan, Inc.",AR,Johnson,"Johnson, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Johnson,"Johnson, AR"
Celtic Insurance Company,AR,Lafayette,"Lafayette, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Lafayette,"Lafayette, AR"
"QCA Health Plan, Inc.",AR,Lafayette,"Lafayette, AR"
USAble Mutual Insurance Company,AR,Lafayette,"Lafayette, AR"
"QCA Health Plan, Inc.",AR,Lawrence,"Lawrence, AR"
Celtic Insurance Company,AR,Lawrence,"Lawrence, AR"
USAble Mutual Insurance Company,AR,Lawrence,"Lawrence, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Lawrence,"Lawrence, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Lee,"Lee, AR"
"QCA Health Plan, Inc.",AR,Lee,"Lee, AR"
Celtic Insurance Company,AR,Lee,"Lee, AR"
USAble Mutual Insurance Company,AR,Lee,"Lee, AR"
Celtic Insurance Company,AR,Lincoln,"Lincoln, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Lincoln,"Lincoln, AR"
"QCA Health Plan, Inc.",AR,Lincoln,"Lincoln, AR"
USAble Mutual Insurance Company,AR,Lincoln,"Lincoln, AR"
Celtic Insurance Company,AR,Little River,"Little River, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Little River,"Little River, AR"
"QCA Health Plan, Inc.",AR,Little River,"Little River, AR"
USAble Mutual Insurance Company,AR,Little River,"Little River, AR"
Celtic Insurance Company,AR,Logan,"Logan, AR"
USAble Mutual Insurance Company,AR,Logan,"Logan, AR"
"QCA Health Plan, Inc.",AR,Logan,"Logan, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Logan,"Logan, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Lonoke,"Lonoke, AR"
USAble Mutual Insurance Company,AR,Lonoke,"Lonoke, AR"
Celtic Insurance Company,AR,Lonoke,"Lonoke, AR"
"QCA Health Plan, Inc.",AR,Lonoke,"Lonoke, AR"
"QCA Health Plan, Inc.",AR,Madison,"Madison, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Madison,"Madison, AR"
Celtic Insurance Company,AR,Madison,"Madison, AR"
USAble Mutual Insurance Company,AR,Madison,"Madison, AR"
Celtic Insurance Company,AR,Marion,"Marion, AR"
"QCA Health Plan, Inc.",AR,Marion,"Marion, AR"
USAble Mutual Insurance Company,AR,Marion,"Marion, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Marion,"Marion, AR"
USAble Mutual Insurance Company,AR,Miller,"Miller, AR"
"QCA Health Plan, Inc.",AR,Miller,"Miller, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Miller,"Miller, AR"
Celtic Insurance Company,AR,Miller,"Miller, AR"
"QCA Health Plan, Inc.",AR,Mississippi,"Mississippi, AR"
Celtic Insurance Company,AR,Mississippi,"Mississippi, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Mississippi,"Mississippi, AR"
USAble Mutual Insurance Company,AR,Mississippi,"Mississippi, AR"
"QCA Health Plan, Inc.",AR,Monroe,"Monroe, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Monroe,"Monroe, AR"
USAble Mutual Insurance Company,AR,Monroe,"Monroe, AR"
Celtic Insurance Company,AR,Monroe,"Monroe, AR"
"QCA Health Plan, Inc.",AR,Montgomery,"Montgomery, AR"
Celtic Insurance Company,AR,Montgomery,"Montgomery, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Montgomery,"Montgomery, AR"
USAble Mutual Insurance Company,AR,Montgomery,"Montgomery, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Nevada,"Nevada, AR"
"QCA Health Plan, Inc.",AR,Nevada,"Nevada, AR"
USAble Mutual Insurance Company,AR,Nevada,"Nevada, AR"
Celtic Insurance Company,AR,Nevada,"Nevada, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Newton,"Newton, AR"
USAble Mutual Insurance Company,AR,Newton,"Newton, AR"
"QCA Health Plan, Inc.",AR,Newton,"Newton, AR"
Celtic Insurance Company,AR,Newton,"Newton, AR"
Celtic Insurance Company,AR,Ouachita,"Ouachita, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Ouachita,"Ouachita, AR"
USAble Mutual Insurance Company,AR,Ouachita,"Ouachita, AR"
"QCA Health Plan, Inc.",AR,Ouachita,"Ouachita, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Perry,"Perry, AR"
USAble Mutual Insurance Company,AR,Perry,"Perry, AR"
Celtic Insurance Company,AR,Perry,"Perry, AR"
"QCA Health Plan, Inc.",AR,Perry,"Perry, AR"
USAble Mutual Insurance Company,AR,Phillips,"Phillips, AR"
"QCA Health Plan, Inc.",AR,Phillips,"Phillips, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Phillips,"Phillips, AR"
Celtic Insurance Company,AR,Phillips,"Phillips, AR"
"QCA Health Plan, Inc.",AR,Pike,"Pike, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Pike,"Pike, AR"
Celtic Insurance Company,AR,Pike,"Pike, AR"
USAble Mutual Insurance Company,AR,Pike,"Pike, AR"
Celtic Insurance Company,AR,Poinsett,"Poinsett, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Poinsett,"Poinsett, AR"
USAble Mutual Insurance Company,AR,Poinsett,"Poinsett, AR"
"QCA Health Plan, Inc.",AR,Poinsett,"Poinsett, AR"
"QCA Health Plan, Inc.",AR,Polk,"Polk, AR"
Celtic Insurance Company,AR,Polk,"Polk, AR"
USAble Mutual Insurance Company,AR,Polk,"Polk, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Polk,"Polk, AR"
"QCA Health Plan, Inc.",AR,Pope,"Pope, AR"
USAble Mutual Insurance Company,AR,Pope,"Pope, AR"
Celtic Insurance Company,AR,Pope,"Pope, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Pope,"Pope, AR"
"QCA Health Plan, Inc.",AR,Prairie,"Prairie, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Prairie,"Prairie, AR"
Celtic Insurance Company,AR,Prairie,"Prairie, AR"
USAble Mutual Insurance Company,AR,Prairie,"Prairie, AR"
Celtic Insurance Company,AR,Pulaski,"Pulaski, AR"
USAble Mutual Insurance Company,AR,Pulaski,"Pulaski, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Pulaski,"Pulaski, AR"
"QCA Health Plan, Inc.",AR,Pulaski,"Pulaski, AR"
USAble Mutual Insurance Company,AR,Randolph,"Randolph, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Randolph,"Randolph, AR"
"QCA Health Plan, Inc.",AR,Randolph,"Randolph, AR"
Celtic Insurance Company,AR,Randolph,"Randolph, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Saline,"Saline, AR"
Celtic Insurance Company,AR,Saline,"Saline, AR"
USAble Mutual Insurance Company,AR,Saline,"Saline, AR"
"QCA Health Plan, Inc.",AR,Saline,"Saline, AR"
"QCA Health Plan, Inc.",AR,Scott,"Scott, AR"
Celtic Insurance Company,AR,Scott,"Scott, AR"
USAble Mutual Insurance Company,AR,Scott,"Scott, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Scott,"Scott, AR"
Celtic Insurance Company,AR,Searcy,"Searcy, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Searcy,"Searcy, AR"
"QCA Health Plan, Inc.",AR,Searcy,"Searcy, AR"
USAble Mutual Insurance Company,AR,Searcy,"Searcy, AR"
Celtic Insurance Company,AR,Sebastian,"Sebastian, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Sebastian,"Sebastian, AR"
USAble Mutual Insurance Company,AR,Sebastian,"Sebastian, AR"
"QCA Health Plan, Inc.",AR,Sebastian,"Sebastian, AR"
"QCA Health Plan, Inc.",AR,Sevier,"Sevier, AR"
USAble Mutual Insurance Company,AR,Sevier,"Sevier, AR"
Celtic Insurance Company,AR,Sevier,"Sevier, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Sevier,"Sevier, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Sharp,"Sharp, AR"
USAble Mutual Insurance Company,AR,Sharp,"Sharp, AR"
"QCA Health Plan, Inc.",AR,Sharp,"Sharp, AR"
Celtic Insurance Company,AR,Sharp,"Sharp, AR"
Celtic Insurance Company,AR,St. Francis,"St. Francis, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,St. Francis,"St. Francis, AR"
"QCA Health Plan, Inc.",AR,St. Francis,"St. Francis, AR"
USAble Mutual Insurance Company,AR,St. Francis,"St. Francis, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Stone,"Stone, AR"
Celtic Insurance Company,AR,Stone,"Stone, AR"
"QCA Health Plan, Inc.",AR,Stone,"Stone, AR"
USAble Mutual Insurance Company,AR,Stone,"Stone, AR"
"QCA Health Plan, Inc.",AR,Union,"Union, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Union,"Union, AR"
Celtic Insurance Company,AR,Union,"Union, AR"
USAble Mutual Insurance Company,AR,Union,"Union, AR"
USAble Mutual Insurance Company,AR,Van Buren,"Van Buren, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Van Buren,"Van Buren, AR"
"QCA Health Plan, Inc.",AR,Van Buren,"Van Buren, AR"
Celtic Insurance Company,AR,Van Buren,"Van Buren, AR"
Celtic Insurance Company,AR,Washington,"Washington, AR"
USAble Mutual Insurance Company,AR,Washington,"Washington, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Washington,"Washington, AR"
"QCA Health Plan, Inc.",AR,Washington,"Washington, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,White,"White, AR"
Celtic Insurance Company,AR,White,"White, AR"
"QCA Health Plan, Inc.",AR,White,"White, AR"
USAble Mutual Insurance Company,AR,White,"White, AR"
Celtic Insurance Company,AR,Woodruff,"Woodruff, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Woodruff,"Woodruff, AR"
"QCA Health Plan, Inc.",AR,Woodruff,"Woodruff, AR"
USAble Mutual Insurance Company,AR,Woodruff,"Woodruff, AR"
"QCA Health Plan, Inc.",AR,Yell,"Yell, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Yell,"Yell, AR"
Celtic Insurance Company,AR,Yell,"Yell, AR"
USAble Mutual Insurance Company,AR,Yell,"Yell, AR"
"Blue Cross and Blue Shield of Arizona, Inc.",AZ,Apache,"Apache, AZ"
Health Choice Insurance Co.,AZ,Apache,"Apache, AZ"
"Blue Cross and Blue Shield of Arizona, Inc.",AZ,Cochise,"Cochise, AZ"
