i,s,c,id
Premera Blue Cross Blue Shield of Alaska,AK,Petersburg Census,"Petersburg Census, AK"
"Moda Health Plan, Inc.",AK,Petersburg Census,"Petersburg Census, AK"
"Moda Health Plan, Inc.",AK,Prince of Wales-Hyder Census,"Prince of Wales-Hyder Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Prince of Wales-Hyder Census,"Prince of Wales-Hyder Census, AK"
"Moda Health Plan, Inc.",AK,Sitka City and,"Sitka City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Sitka City and,"Sitka City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Skagway,"Skagway, AK"
"Moda Health Plan, Inc.",AK,Skagway,"Skagway, AK"
"Moda Health Plan, Inc.",AK,Southeast Fairbanks Census,"Southeast Fairbanks Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Southeast Fairbanks Census,"Southeast Fairbanks Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Valdez-Cordova Census,"Valdez-Cordova Census, AK"
"Moda Health Plan, Inc.",AK,Valdez-Cordova Census,"Valdez-Cordova Census, AK"
"Moda Health Plan, Inc.",AK,Wade Hampton Census,"Wade Hampton Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Wade Hampton Census,"Wade Hampton Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Wrangell City and,"Wrangell City and, AK"
"Moda Health Plan, Inc.",AK,Wrangell City and,"Wrangell City and, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Yakutat City and,"Yakutat City and, AK"
"Moda Health Plan, Inc.",AK,Yakutat City and,"Yakutat City and, AK"
"Moda Health Plan, Inc.",AK,Yukon-Koyukuk Census,"Yukon-Koyukuk Census, AK"
Premera Blue Cross Blue Shield of Alaska,AK,Yukon-Koyukuk Census,"Yukon-Koyukuk Census, AK"
"UnitedHealthcare of Alabama, Inc.",AL,Autauga,"Autauga, AL"
Blue Cross and Blue Shield of Alabama,AL,Autauga,"Autauga, AL"
Blue Cross and Blue Shield of Alabama,AL,Baldwin,"Baldwin, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Baldwin,"Baldwin, AL"
Blue Cross and Blue Shield of Alabama,AL,Barbour,"Barbour, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Barbour,"Barbour, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Bibb,"Bibb, AL"
Blue Cross and Blue Shield of Alabama,AL,Bibb,"Bibb, AL"
Blue Cross and Blue Shield of Alabama,AL,Blount,"Blount, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Blount,"Blount, AL"
Humana Insurance Company,AL,Blount,"Blount, AL"
Blue Cross and Blue Shield of Alabama,AL,Bullock,"Bullock, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Bullock,"Bullock, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Butler,"Butler, AL"
Blue Cross and Blue Shield of Alabama,AL,Butler,"Butler, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Calhoun,"Calhoun, AL"
Blue Cross and Blue Shield of Alabama,AL,Calhoun,"Calhoun, AL"
Blue Cross and Blue Shield of Alabama,AL,Chambers,"Chambers, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Chambers,"Chambers, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Cherokee,"Cherokee, AL"
Blue Cross and Blue Shield of Alabama,AL,Cherokee,"Cherokee, AL"
Blue Cross and Blue Shield of Alabama,AL,Chilton,"Chilton, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Chilton,"Chilton, AL"
Blue Cross and Blue Shield of Alabama,AL,Choctaw,"Choctaw, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Choctaw,"Choctaw, AL"
Blue Cross and Blue Shield of Alabama,AL,Clarke,"Clarke, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Clarke,"Clarke, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Clay,"Clay, AL"
Blue Cross and Blue Shield of Alabama,AL,Clay,"Clay, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Cleburne,"Cleburne, AL"
Blue Cross and Blue Shield of Alabama,AL,Cleburne,"Cleburne, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Coffee,"Coffee, AL"
Blue Cross and Blue Shield of Alabama,AL,Coffee,"Coffee, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Colbert,"Colbert, AL"
Blue Cross and Blue Shield of Alabama,AL,Colbert,"Colbert, AL"
Blue Cross and Blue Shield of Alabama,AL,Conecuh,"Conecuh, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Conecuh,"Conecuh, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Coosa,"Coosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Coosa,"Coosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Covington,"Covington, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Covington,"Covington, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Crenshaw,"Crenshaw, AL"
Blue Cross and Blue Shield of Alabama,AL,Crenshaw,"Crenshaw, AL"
Blue Cross and Blue Shield of Alabama,AL,Cullman,"Cullman, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Cullman,"Cullman, AL"
Blue Cross and Blue Shield of Alabama,AL,Dale,"Dale, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Dale,"Dale, AL"
Blue Cross and Blue Shield of Alabama,AL,Dallas,"Dallas, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Dallas,"Dallas, AL"
Blue Cross and Blue Shield of Alabama,AL,DeKalb,"DeKalb, AL"
"UnitedHealthcare of Alabama, Inc.",AL,DeKalb,"DeKalb, AL"
Blue Cross and Blue Shield of Alabama,AL,Elmore,"Elmore, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Elmore,"Elmore, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Escambia,"Escambia, AL"
Blue Cross and Blue Shield of Alabama,AL,Escambia,"Escambia, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Etowah,"Etowah, AL"
Blue Cross and Blue Shield of Alabama,AL,Etowah,"Etowah, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Fayette,"Fayette, AL"
Blue Cross and Blue Shield of Alabama,AL,Fayette,"Fayette, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Franklin,"Franklin, AL"
Blue Cross and Blue Shield of Alabama,AL,Franklin,"Franklin, AL"
Blue Cross and Blue Shield of Alabama,AL,Geneva,"Geneva, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Geneva,"Geneva, AL"
Blue Cross and Blue Shield of Alabama,AL,Greene,"Greene, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Greene,"Greene, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Hale,"Hale, AL"
Blue Cross and Blue Shield of Alabama,AL,Hale,"Hale, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Henry,"Henry, AL"
Blue Cross and Blue Shield of Alabama,AL,Henry,"Henry, AL"
Blue Cross and Blue Shield of Alabama,AL,Houston,"Houston, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Houston,"Houston, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Jackson,"Jackson, AL"
Blue Cross and Blue Shield of Alabama,AL,Jackson,"Jackson, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Jefferson,"Jefferson, AL"
Blue Cross and Blue Shield of Alabama,AL,Jefferson,"Jefferson, AL"
Humana Insurance Company,AL,Jefferson,"Jefferson, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Lamar,"Lamar, AL"
Blue Cross and Blue Shield of Alabama,AL,Lamar,"Lamar, AL"
Blue Cross and Blue Shield of Alabama,AL,Lauderdale,"Lauderdale, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Lauderdale,"Lauderdale, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Lawrence,"Lawrence, AL"
Blue Cross and Blue Shield of Alabama,AL,Lawrence,"Lawrence, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Lee,"Lee, AL"
Blue Cross and Blue Shield of Alabama,AL,Lee,"Lee, AL"
Blue Cross and Blue Shield of Alabama,AL,Limestone,"Limestone, AL"
Humana Insurance Company,AL,Limestone,"Limestone, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Limestone,"Limestone, AL"
Blue Cross and Blue Shield of Alabama,AL,Lowndes,"Lowndes, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Lowndes,"Lowndes, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Macon,"Macon, AL"
Blue Cross and Blue Shield of Alabama,AL,Macon,"Macon, AL"
Humana Insurance Company,AL,Madison,"Madison, AL"
Blue Cross and Blue Shield of Alabama,AL,Madison,"Madison, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Madison,"Madison, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Marengo,"Marengo, AL"
Blue Cross and Blue Shield of Alabama,AL,Marengo,"Marengo, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Marion,"Marion, AL"
Blue Cross and Blue Shield of Alabama,AL,Marion,"Marion, AL"
Blue Cross and Blue Shield of Alabama,AL,Marshall,"Marshall, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Marshall,"Marshall, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Mobile,"Mobile, AL"
Blue Cross and Blue Shield of Alabama,AL,Mobile,"Mobile, AL"
Blue Cross and Blue Shield of Alabama,AL,Monroe,"Monroe, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Monroe,"Monroe, AL"
Blue Cross and Blue Shield of Alabama,AL,Montgomery,"Montgomery, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Montgomery,"Montgomery, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Morgan,"Morgan, AL"
Humana Insurance Company,AL,Morgan,"Morgan, AL"
Blue Cross and Blue Shield of Alabama,AL,Morgan,"Morgan, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Perry,"Perry, AL"
Blue Cross and Blue Shield of Alabama,AL,Perry,"Perry, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Pickens,"Pickens, AL"
Blue Cross and Blue Shield of Alabama,AL,Pickens,"Pickens, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Pike,"Pike, AL"
Blue Cross and Blue Shield of Alabama,AL,Pike,"Pike, AL"
Blue Cross and Blue Shield of Alabama,AL,Randolph,"Randolph, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Randolph,"Randolph, AL"
Blue Cross and Blue Shield of Alabama,AL,Russell,"Russell, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Russell,"Russell, AL"
Blue Cross and Blue Shield of Alabama,AL,Shelby,"Shelby, AL"
Humana Insurance Company,AL,Shelby,"Shelby, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Shelby,"Shelby, AL"
Blue Cross and Blue Shield of Alabama,AL,St. Clair,"St. Clair, AL"
Humana Insurance Company,AL,St. Clair,"St. Clair, AL"
"UnitedHealthcare of Alabama, Inc.",AL,St. Clair,"St. Clair, AL"
Blue Cross and Blue Shield of Alabama,AL,Sumter,"Sumter, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Sumter,"Sumter, AL"
Blue Cross and Blue Shield of Alabama,AL,Talladega,"Talladega, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Talladega,"Talladega, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Tallapoosa,"Tallapoosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Tallapoosa,"Tallapoosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Tuscaloosa,"Tuscaloosa, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Tuscaloosa,"Tuscaloosa, AL"
Blue Cross and Blue Shield of Alabama,AL,Walker,"Walker, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Walker,"Walker, AL"
Blue Cross and Blue Shield of Alabama,AL,Washington,"Washington, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Washington,"Washington, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Wilcox,"Wilcox, AL"
Blue Cross and Blue Shield of Alabama,AL,Wilcox,"Wilcox, AL"
Blue Cross and Blue Shield of Alabama,AL,Winston,"Winston, AL"
"UnitedHealthcare of Alabama, Inc.",AL,Winston,"Winston, AL"
"QCA Health Plan, Inc.",AR,Arkansas,"Arkansas, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Arkansas,"Arkansas, AR"
Celtic Insurance Company,AR,Arkansas,"Arkansas, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Arkansas,"Arkansas, AR"
USAble Mutual Insurance Company,AR,Arkansas,"Arkansas, AR"
USAble Mutual Insurance Company,AR,Ashley,"Ashley, AR"
Celtic Insurance Company,AR,Ashley,"Ashley, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Ashley,"Ashley, AR"
"QCA Health Plan, Inc.",AR,Ashley,"Ashley, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Ashley,"Ashley, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Baxter,"Baxter, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Baxter,"Baxter, AR"
USAble Mutual Insurance Company,AR,Baxter,"Baxter, AR"
Celtic Insurance Company,AR,Baxter,"Baxter, AR"
"QCA Health Plan, Inc.",AR,Baxter,"Baxter, AR"
USAble Mutual Insurance Company,AR,Benton,"Benton, AR"
"QCA Health Plan, Inc.",AR,Benton,"Benton, AR"
Celtic Insurance Company,AR,Benton,"Benton, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Benton,"Benton, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Benton,"Benton, AR"
USAble Mutual Insurance Company,AR,Boone,"Boone, AR"
Celtic Insurance Company,AR,Boone,"Boone, AR"
"QCA Health Plan, Inc.",AR,Boone,"Boone, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Boone,"Boone, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Boone,"Boone, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Bradley,"Bradley, AR"
USAble Mutual Insurance Company,AR,Bradley,"Bradley, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Bradley,"Bradley, AR"
Celtic Insurance Company,AR,Bradley,"Bradley, AR"
"QCA Health Plan, Inc.",AR,Bradley,"Bradley, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Calhoun,"Calhoun, AR"
Celtic Insurance Company,AR,Calhoun,"Calhoun, AR"
"QCA Health Plan, Inc.",AR,Calhoun,"Calhoun, AR"
USAble Mutual Insurance Company,AR,Calhoun,"Calhoun, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Calhoun,"Calhoun, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Carroll,"Carroll, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Carroll,"Carroll, AR"
USAble Mutual Insurance Company,AR,Carroll,"Carroll, AR"
Celtic Insurance Company,AR,Carroll,"Carroll, AR"
"QCA Health Plan, Inc.",AR,Carroll,"Carroll, AR"
Celtic Insurance Company,AR,Chicot,"Chicot, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Chicot,"Chicot, AR"
USAble Mutual Insurance Company,AR,Chicot,"Chicot, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Chicot,"Chicot, AR"
"QCA Health Plan, Inc.",AR,Chicot,"Chicot, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Clark,"Clark, AR"
"QCA Health Plan, Inc.",AR,Clark,"Clark, AR"
Celtic Insurance Company,AR,Clark,"Clark, AR"
USAble Mutual Insurance Company,AR,Clark,"Clark, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Clark,"Clark, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Clay,"Clay, AR"
Celtic Insurance Company,AR,Clay,"Clay, AR"
USAble Mutual Insurance Company,AR,Clay,"Clay, AR"
"QCA Health Plan, Inc.",AR,Clay,"Clay, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Clay,"Clay, AR"
Celtic Insurance Company,AR,Cleburne,"Cleburne, AR"
"QCA Health Plan, Inc.",AR,Cleburne,"Cleburne, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Cleburne,"Cleburne, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Cleburne,"Cleburne, AR"
USAble Mutual Insurance Company,AR,Cleburne,"Cleburne, AR"
USAble Mutual Insurance Company,AR,Cleveland,"Cleveland, AR"
"QCA Health Plan, Inc.",AR,Cleveland,"Cleveland, AR"
Celtic Insurance Company,AR,Cleveland,"Cleveland, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Cleveland,"Cleveland, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Cleveland,"Cleveland, AR"
USAble Mutual Insurance Company,AR,Columbia,"Columbia, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Columbia,"Columbia, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Columbia,"Columbia, AR"
"QCA Health Plan, Inc.",AR,Columbia,"Columbia, AR"
Celtic Insurance Company,AR,Columbia,"Columbia, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Conway,"Conway, AR"
Celtic Insurance Company,AR,Conway,"Conway, AR"
"QCA Health Plan, Inc.",AR,Conway,"Conway, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Conway,"Conway, AR"
USAble Mutual Insurance Company,AR,Conway,"Conway, AR"
"QCA Health Plan, Inc.",AR,Craighead,"Craighead, AR"
Celtic Insurance Company,AR,Craighead,"Craighead, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Craighead,"Craighead, AR"
USAble Mutual Insurance Company,AR,Craighead,"Craighead, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Craighead,"Craighead, AR"
Celtic Insurance Company,AR,Crawford,"Crawford, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Crawford,"Crawford, AR"
"QCA Health Plan, Inc.",AR,Crawford,"Crawford, AR"
USAble Mutual Insurance Company,AR,Crawford,"Crawford, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Crawford,"Crawford, AR"
"QCA Health Plan, Inc.",AR,Crittenden,"Crittenden, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Crittenden,"Crittenden, AR"
USAble Mutual Insurance Company,AR,Crittenden,"Crittenden, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Crittenden,"Crittenden, AR"
Celtic Insurance Company,AR,Crittenden,"Crittenden, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Cross,"Cross, AR"
USAble Mutual Insurance Company,AR,Cross,"Cross, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Cross,"Cross, AR"
Celtic Insurance Company,AR,Cross,"Cross, AR"
"QCA Health Plan, Inc.",AR,Cross,"Cross, AR"
Celtic Insurance Company,AR,Dallas,"Dallas, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Dallas,"Dallas, AR"
"QCA Health Plan, Inc.",AR,Dallas,"Dallas, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Dallas,"Dallas, AR"
USAble Mutual Insurance Company,AR,Dallas,"Dallas, AR"
Celtic Insurance Company,AR,Desha,"Desha, AR"
"QCA Health Plan, Inc.",AR,Desha,"Desha, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Desha,"Desha, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Desha,"Desha, AR"
USAble Mutual Insurance Company,AR,Desha,"Desha, AR"
USAble Mutual Insurance Company,AR,Drew,"Drew, AR"
Celtic Insurance Company,AR,Drew,"Drew, AR"
"QCA Health Plan, Inc.",AR,Drew,"Drew, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Drew,"Drew, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Drew,"Drew, AR"
"QCA Health Plan, Inc.",AR,Faulkner,"Faulkner, AR"
USAble Mutual Insurance Company,AR,Faulkner,"Faulkner, AR"
Celtic Insurance Company,AR,Faulkner,"Faulkner, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Faulkner,"Faulkner, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Faulkner,"Faulkner, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Franklin,"Franklin, AR"
USAble Mutual Insurance Company,AR,Franklin,"Franklin, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Franklin,"Franklin, AR"
"QCA Health Plan, Inc.",AR,Franklin,"Franklin, AR"
Celtic Insurance Company,AR,Franklin,"Franklin, AR"
"QCA Health Plan, Inc.",AR,Fulton,"Fulton, AR"
Celtic Insurance Company,AR,Fulton,"Fulton, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Fulton,"Fulton, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Fulton,"Fulton, AR"
USAble Mutual Insurance Company,AR,Fulton,"Fulton, AR"
Celtic Insurance Company,AR,Garland,"Garland, AR"
"QCA Health Plan, Inc.",AR,Garland,"Garland, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Garland,"Garland, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Garland,"Garland, AR"
USAble Mutual Insurance Company,AR,Garland,"Garland, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Grant,"Grant, AR"
USAble Mutual Insurance Company,AR,Grant,"Grant, AR"
"QCA Health Plan, Inc.",AR,Grant,"Grant, AR"
Celtic Insurance Company,AR,Grant,"Grant, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Grant,"Grant, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Greene,"Greene, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Greene,"Greene, AR"
Celtic Insurance Company,AR,Greene,"Greene, AR"
USAble Mutual Insurance Company,AR,Greene,"Greene, AR"
"QCA Health Plan, Inc.",AR,Greene,"Greene, AR"
"QCA Health Plan, Inc.",AR,Hempstead,"Hempstead, AR"
USAble Mutual Insurance Company,AR,Hempstead,"Hempstead, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Hempstead,"Hempstead, AR"
Celtic Insurance Company,AR,Hempstead,"Hempstead, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Hempstead,"Hempstead, AR"
Celtic Insurance Company,AR,Hot Spring,"Hot Spring, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Hot Spring,"Hot Spring, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Hot Spring,"Hot Spring, AR"
"QCA Health Plan, Inc.",AR,Hot Spring,"Hot Spring, AR"
USAble Mutual Insurance Company,AR,Hot Spring,"Hot Spring, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Howard,"Howard, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Howard,"Howard, AR"
"QCA Health Plan, Inc.",AR,Howard,"Howard, AR"
USAble Mutual Insurance Company,AR,Howard,"Howard, AR"
Celtic Insurance Company,AR,Howard,"Howard, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Independence,"Independence, AR"
"QCA Health Plan, Inc.",AR,Independence,"Independence, AR"
USAble Mutual Insurance Company,AR,Independence,"Independence, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Independence,"Independence, AR"
Celtic Insurance Company,AR,Independence,"Independence, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Izard,"Izard, AR"
USAble Mutual Insurance Company,AR,Izard,"Izard, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Izard,"Izard, AR"
Celtic Insurance Company,AR,Izard,"Izard, AR"
"QCA Health Plan, Inc.",AR,Izard,"Izard, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Jackson,"Jackson, AR"
USAble Mutual Insurance Company,AR,Jackson,"Jackson, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Jackson,"Jackson, AR"
"QCA Health Plan, Inc.",AR,Jackson,"Jackson, AR"
Celtic Insurance Company,AR,Jackson,"Jackson, AR"
"QCA Health Plan, Inc.",AR,Jefferson,"Jefferson, AR"
"QualChoice Life & Health Insurance Company, Inc.",AR,Jefferson,"Jefferson, AR"
USAble Mutual Insurance Company,AR,Jefferson,"Jefferson, AR"
Celtic Insurance Company,AR,Jefferson,"Jefferson, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Jefferson,"Jefferson, AR"
"UnitedHealthcare of Arkansas, Inc.",AR,Johnson,"Johnson, AR"
Celtic Insurance Company,AR,Johnson,"Johnson, AR"
