i,s,c,id
QualChoice Health Insurance,AR,Washington,"Washington, AR"
Arkansas Blue Cross and Blue Shield,AR,Washington,"Washington, AR"
Arkansas Blue Cross and Blue Shield,AR,White,"White, AR"
QualChoice Health Insurance,AR,White,"White, AR"
Ambetter of Arkansas,AR,White,"White, AR"
Arkansas Blue Cross and Blue Shield,AR,Woodruff,"Woodruff, AR"
QualChoice Health Insurance,AR,Woodruff,"Woodruff, AR"
Ambetter of Arkansas,AR,Yell,"Yell, AR"
Arkansas Blue Cross and Blue Shield,AR,Yell,"Yell, AR"
QualChoice Health Insurance,AR,Yell,"Yell, AR"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Apache,"Apache, AZ"
Health Choice Insurance Co.,AZ,Apache,"Apache, AZ"
Health Net Life Insurance Company,AZ,Apache,"Apache, AZ"
Aetna,AZ,Apache,"Apache, AZ"
Cigna Healthcare,AZ,Apache,"Apache, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Apache,"Apache, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Cochise,"Cochise, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Cochise,"Cochise, AZ"
Cigna Healthcare,AZ,Cochise,"Cochise, AZ"
Aetna,AZ,Cochise,"Cochise, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Cochise,"Cochise, AZ"
Health Net Life Insurance Company,AZ,Cochise,"Cochise, AZ"
Aetna,AZ,Coconino,"Coconino, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Coconino,"Coconino, AZ"
Health Choice Insurance Co.,AZ,Coconino,"Coconino, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Coconino,"Coconino, AZ"
Health Net Life Insurance Company,AZ,Coconino,"Coconino, AZ"
Cigna Healthcare,AZ,Coconino,"Coconino, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Gila,"Gila, AZ"
Health Net Life Insurance Company,AZ,Gila,"Gila, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Gila,"Gila, AZ"
Health Choice Insurance Co.,AZ,Gila,"Gila, AZ"
Cigna Healthcare,AZ,Gila,"Gila, AZ"
Aetna,AZ,Gila,"Gila, AZ"
Health Net Life Insurance Company,AZ,Graham,"Graham, AZ"
Cigna Healthcare,AZ,Graham,"Graham, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Graham,"Graham, AZ"
Aetna,AZ,Graham,"Graham, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Graham,"Graham, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Graham,"Graham, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Greenlee,"Greenlee, AZ"
Cigna Healthcare,AZ,Greenlee,"Greenlee, AZ"
Health Net Life Insurance Company,AZ,Greenlee,"Greenlee, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Greenlee,"Greenlee, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Greenlee,"Greenlee, AZ"
Aetna,AZ,Greenlee,"Greenlee, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,La Paz,"La Paz, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,La Paz,"La Paz, AZ"
Cigna Healthcare,AZ,La Paz,"La Paz, AZ"
Aetna,AZ,La Paz,"La Paz, AZ"
Health Net Life Insurance Company,AZ,La Paz,"La Paz, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,La Paz,"La Paz, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Maricopa,"Maricopa, AZ"
"Health Net of Arizona, Inc.",AZ,Maricopa,"Maricopa, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Maricopa,"Maricopa, AZ"
"Humana Health Plan, Inc.",AZ,Maricopa,"Maricopa, AZ"
Meritus Health Partners,AZ,Maricopa,"Maricopa, AZ"
Health Choice Insurance Co.,AZ,Maricopa,"Maricopa, AZ"
Health Net Life Insurance Company,AZ,Maricopa,"Maricopa, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Maricopa,"Maricopa, AZ"
Aetna,AZ,Maricopa,"Maricopa, AZ"
Cigna Healthcare,AZ,Maricopa,"Maricopa, AZ"
Cigna Healthcare,AZ,Mohave,"Mohave, AZ"
Aetna,AZ,Mohave,"Mohave, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Mohave,"Mohave, AZ"
Health Net Life Insurance Company,AZ,Mohave,"Mohave, AZ"
Health Choice Insurance Co.,AZ,Mohave,"Mohave, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Mohave,"Mohave, AZ"
Aetna,AZ,Navajo,"Navajo, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Navajo,"Navajo, AZ"
Health Choice Insurance Co.,AZ,Navajo,"Navajo, AZ"
Cigna Healthcare,AZ,Navajo,"Navajo, AZ"
Health Net Life Insurance Company,AZ,Navajo,"Navajo, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Navajo,"Navajo, AZ"
"Humana Health Plan, Inc.",AZ,Pima,"Pima, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Pima,"Pima, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Pima,"Pima, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Pima,"Pima, AZ"
Health Choice Insurance Co.,AZ,Pima,"Pima, AZ"
"Health Net of Arizona, Inc.",AZ,Pima,"Pima, AZ"
Meritus Health Partners,AZ,Pima,"Pima, AZ"
Aetna,AZ,Pima,"Pima, AZ"
Cigna Healthcare,AZ,Pima,"Pima, AZ"
Health Net Life Insurance Company,AZ,Pima,"Pima, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Pinal,"Pinal, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Pinal,"Pinal, AZ"
Health Choice Insurance Co.,AZ,Pinal,"Pinal, AZ"
"Health Net of Arizona, Inc.",AZ,Pinal,"Pinal, AZ"
Health Net Life Insurance Company,AZ,Pinal,"Pinal, AZ"
Aetna,AZ,Pinal,"Pinal, AZ"
Cigna Healthcare,AZ,Pinal,"Pinal, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Pinal,"Pinal, AZ"
Health Net Life Insurance Company,AZ,Santa Cruz,"Santa Cruz, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Santa Cruz,"Santa Cruz, AZ"
Cigna Healthcare,AZ,Santa Cruz,"Santa Cruz, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Santa Cruz,"Santa Cruz, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Santa Cruz,"Santa Cruz, AZ"
Meritus Health Partners,AZ,Santa Cruz,"Santa Cruz, AZ"
Aetna,AZ,Santa Cruz,"Santa Cruz, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Yavapai,"Yavapai, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Yavapai,"Yavapai, AZ"
Health Net Life Insurance Company,AZ,Yavapai,"Yavapai, AZ"
Aetna,AZ,Yavapai,"Yavapai, AZ"
Cigna Healthcare,AZ,Yavapai,"Yavapai, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Yavapai,"Yavapai, AZ"
Aetna,AZ,Yuma,"Yuma, AZ"
Health Net Life Insurance Company,AZ,Yuma,"Yuma, AZ"
Cigna Healthcare,AZ,Yuma,"Yuma, AZ"
"Blue Cross Blue Shield of Arizona, Inc.",AZ,Yuma,"Yuma, AZ"
MERITUS MUTUAL HEALTH PARTNERS,AZ,Yuma,"Yuma, AZ"
University of Arizona Health Plans - University Healthcare Marketplace,AZ,Yuma,"Yuma, AZ"
Highmark BCBSD Inc.,DE,Kent,"Kent, DE"
Coventry Health Care,DE,Kent,"Kent, DE"
Coventry Health Care,DE,New Castle,"New Castle, DE"
Highmark BCBSD Inc.,DE,New Castle,"New Castle, DE"
Highmark BCBSD Inc.,DE,Sussex,"Sussex, DE"
